gene,score,validation,label
ABCA1,0.999071,False,-1
ABCA12,0.30796054,False,-1
ABCC4,0.9990777,False,1
ABHD3,0.9874521,False,-1
ABLIM1,0.9772364,False,-1
ABR,0.968869,False,-1
ABTB2,0.8147562,False,-1
ACACB,0.6139655,False,-1
ACKR3,0.8645686,False,-1
ACSL1,0.72572833,False,-1
ACSM3,0.78373593,False,-1
ACSS3,0.978213,False,-1
ACTA2,0.600198,False,-1
ACVR1,0.87869126,False,-1
ADA,0.81347597,False,-1
ADAM12,0.9995179,False,1
ADAM33,0.8991996,False,-1
ADAMTS1,0.9982674,False,1
ADAMTS17,0.9541146,False,-1
ADAMTS3,0.9948672,False,1
ADAMTS9,0.9805802,False,-1
ADAMTSL3,0.9968464,False,-1
ADCY8,0.97614187,False,-1
ADGRG2,0.8967885,False,-1
ADGRL4,0.9950126,False,-1
ADIPOR2,0.89705133,False,-1
ADIRF,0.74274516,False,-1
ADM,0.9136825,False,-1
ADRA1A,0.059410375,False,-1
ADRA1B,0.7698399,False,-1
AEBP1,0.9818033,False,1
AHCYL1,0.9926156,False,1
AHNAK,0.9287039,False,1
AIM2,0.99955744,False,1
AKAP12,0.85946095,False,-1
AKAP13,0.9243244,False,-1
ALDH1A1,0.8398128,False,-1
ALK,0.0069891294,False,0
ALPK1,0.6407365,False,-1
ALPL,0.533576,False,-1
AMOT,0.5531555,False,-1
AMZ1,0.109809905,False,-1
ANGPT1,0.9313348,False,-1
ANGPT2,0.15497945,False,-1
ANGPTL4,0.9532396,False,-1
ANKFN1,0.97374314,False,-1
ANKUB1,0.03273961,False,-1
ANO6,0.44167918,False,-1
ANOS1,0.5546475,False,-1
ANXA1,0.63270074,False,-1
APCDD1,0.8526522,False,1
APCDD1L,0.95657885,False,-1
APLNR,0.0023703736,False,0
APOL6,0.5212923,False,-1
AQP1,0.9685761,False,-1
AQP4,0.7532024,False,-1
AR,0.8563288,False,-1
ARHGAP15,0.05787606,False,-1
ARHGAP24,0.99844944,False,1
ARHGAP6,0.9263301,False,-1
ARHGEF1,0.6903034,False,-1
ARHGEF10L,0.6419371,False,-1
ARHGEF26,0.7922038,False,-1
ARHGEF38,0.19793701,False,-1
ARHGEF6,0.02551625,False,-1
ARID3A,0.94496614,False,-1
ARID5A,0.16236782,False,-1
ARMC3,0.54384583,False,-1
ARRDC3,0.99021447,False,-1
ASAP3,0.6291747,False,-1
ASB14,0.08561806,False,-1
ASB18,0.47224602,False,-1
ASIC2,0.9350987,False,-1
ASPH,0.9295692,False,-1
ATF3,0.13605945,False,-1
ATOH8,0.034956846,False,-1
ATP10A,0.2895108,False,-1
ATP11C,0.9978179,False,-1
ATP1A2,0.007342447,False,-1
ATP1B3,0.6887732,False,-1
ATP8B1,0.20883426,False,-1
ATRNL1,0.932419,False,-1
AXL,0.7398331,False,-1
B2M,0.005137946,False,0
B3GAT2,0.90311444,False,-1
BACE2,0.20816267,False,-1
BACH1,0.81084895,False,-1
BAG3,0.7826013,False,-1
BAMBI,0.7370533,False,-1
BARD1,0.873824,False,-1
BBOX1,0.46894798,False,-1
BCAR3,0.99589276,False,-1
BCAS2,0.88352585,False,-1
BCL2,0.9328031,False,-1
BCL2L14,0.2683368,False,-1
BCL6,0.6615548,False,1
BDNF,0.7872979,False,-1
BEST1,0.9990609,False,1
BEST3,0.8910626,False,-1
BGN,0.29254726,True,1
BHLHE40,0.8945599,False,-1
BHLHE41,0.6913659,False,-1
BICC1,0.6331246,False,-1
BIRC3,0.9996749,True,1
BMPR1B,0.95041853,False,-1
BMX,0.0011240751,False,0
BNC2,0.9367334,False,-1
BOC,0.8909893,False,-1
BRINP3,0.9977203,False,-1
BTG1,0.75939715,False,-1
BTG2,0.77478355,False,-1
C10orf90,0.8861244,False,-1
C11orf65,0.65403473,False,-1
C12orf56,0.48133013,False,-1
C1QL1,0.9988065,False,1
C1QTNF7,0.17722803,False,-1
C1R,0.5961561,False,-1
C1RL,0.22003984,False,-1
C21orf62,0.23597798,False,-1
C4orf19,0.24283047,False,-1
C5,0.0007443828,False,-1
CA1,0.1452776,False,-1
CACHD1,0.8848961,False,-1
CACNA2D3,0.9357786,False,-1
CACNB2,0.9945463,False,-1
CALCB,0.7652363,False,-1
CASP7,0.3443056,False,-1
CAT,0.4236174,False,-1
CC2D2B,0.78597116,False,-1
CCDC80,0.64122164,False,-1
CCK,0.86202914,False,-1
CCL2,0.9488126,False,-1
CCNG2,0.8348038,False,-1
CD109,0.9620182,False,-1
CD38,0.33246374,False,-1
CD44,0.6537104,False,-1
CD63,0.9896247,False,1
CD82,0.4502147,False,-1
CD9,0.68389875,False,-1
CDC14A,0.6585179,False,-1
CDC42EP4,0.8465535,False,-1
CDH10,0.91827595,False,-1
CDH12,0.08022305,False,-1
CDH23,0.9074973,False,-1
CDH4,0.23772536,False,-1
CDKN1A,0.27361825,False,-1
CEACAM1,0.874075,False,-1
CEBPB,0.92020833,False,-1
CEBPD,0.921052,False,1
CEMIP,0.33100617,False,-1
CGNL1,0.8846395,False,-1
CHI3L1,0.87969005,False,-1
CHRM3,0.942434,False,-1
CHST15,0.89994234,False,-1
CHST3,0.7992432,False,-1
CHST6,0.805522,False,-1
CHST9,0.15615447,False,-1
CHSY1,0.52123654,False,-1
CIITA,0.5648818,False,-1
CLCN5,0.8221728,False,-1
CLDN10,0.84352696,False,-1
CLIC4,0.26948896,False,-1
CLMP,0.6073183,False,-1
CLU,0.97059894,False,-1
CLYBL,0.5004264,False,-1
CNN3,0.44033846,False,-1
CNTLN,0.0010597435,False,-1
CNTN3,0.89373887,False,-1
CNTN4,0.8858444,False,-1
CNTN5,0.14597863,False,-1
CNTNAP5,0.9069161,False,-1
COBLL1,0.5108087,False,-1
COL10A1,0.11580132,False,-1
COL18A1,0.8236947,True,1
COL23A1,0.7740262,False,-1
COL27A1,0.027792608,False,-1
COL4A1,0.49243212,True,0
COL4A2,0.00021150225,False,0
COL5A3,0.74985003,False,-1
COL6A6,0.37347004,False,-1
COLEC12,0.9340164,False,-1
COLGALT2,0.99861646,False,1
COTL1,0.9980013,False,1
CP,0.935039,False,-1
CPM,0.7344727,False,-1
CPNE8,0.40478384,False,-1
CPVL,0.9958054,False,1
CRB2,0.049002364,False,-1
CREB3L2,0.7792071,False,-1
CREB5,0.96617836,False,-1
CREM,0.64191115,False,-1
CRIM1,0.7568613,False,-1
CRISPLD1,0.21077429,False,-1
CRLF1,0.4329073,False,-1
CRYAB,0.8733317,False,-1
CSGALNACT1,0.8350306,False,-1
CSRNP1,0.8657673,False,-1
CSRP1,0.9037743,False,-1
CST3,0.9397389,False,-1
CTNNA2,0.9993426,True,1
CTNS,0.9100824,False,-1
CXCL14,0.93893135,False,-1
CYCS,0.95524204,False,1
CYP3A5,0.81430805,True,0
DAAM2,0.98414296,False,-1
DACH1,0.72764516,False,-1
DBI,0.91046375,False,-1
DCC,0.0008182532,False,0
DCLK2,0.45306173,False,-1
DDIT4,0.91335416,False,-1
DDR2,0.64253145,False,-1
DENND2A,0.83108896,False,-1
DGKB,0.8109285,False,-1
DHRS3,0.97437626,False,-1
DLC1,0.97975427,False,-1
DLGAP1,0.55762774,False,-1
DLGAP2,0.95932484,False,-1
DLL1,0.98258096,False,1
DNAH7,0.98272276,False,-1
DNAJB1,0.9134986,False,-1
DNAJC22,0.9937663,False,-1
DOCK5,0.6032737,False,-1
DPYSL3,0.9978492,False,1
DPYSL5,0.9987639,False,1
DSC2,0.838049,False,-1
DSCAM,0.83532256,False,-1
DTNA,0.70080817,False,-1
DTX3L,0.6060278,False,-1
DUSP1,0.9126228,False,-1
DUSP16,0.9122538,False,-1
DUSP22,0.4071083,True,1
ECM2,0.8800159,False,-1
EFCAB13,0.81669074,False,-1
EFEMP1,0.88487726,False,-1
EFNA1,0.7358735,False,-1
EFNA5,0.9988084,False,1
EGLN3,0.985655,False,-1
EIF4A3,0.49499628,False,-1
ELF1,0.9767804,False,-1
ELK3,0.67941374,False,-1
ELL2,0.62308425,False,-1
ELN,0.80785257,True,1
ELOVL5,0.78187054,False,-1
EMP1,0.70634663,False,-1
EMX2,0.40998834,False,-1
ENTPD2,0.7818092,False,-1
EPAS1,0.20030196,False,-1
EPB41L4A,0.9443697,False,-1
EPHA2,0.83850604,False,-1
EPHA6,0.97793865,False,-1
EPHB1,0.00016890011,False,0
EPN2,0.8583474,False,-1
EPOR,0.022416102,True,1
EPS8,0.9964265,False,-1
ERG,0.69561374,False,-1
ETV6,0.052343428,False,-1
EXPH5,0.9262158,False,-1
EYA1,0.6941151,False,-1
EYA4,0.479526,False,1
EYS,0.2747692,False,-1
EZR,0.9908146,False,1
F3,0.8858359,False,1
F8,0.5893365,False,-1
FABP7,0.56699723,False,1
FAM110B,0.72545207,False,-1
FAM118A,0.67343,False,-1
FAM186A,0.70918477,False,-1
FAM189A2,0.64644146,False,-1
FAM217A,0.40435278,False,-1
FAM89A,0.6664497,False,-1
FAS,0.7722502,False,-1
FAT1,0.70036256,True,1
FAXDC2,0.68928176,False,-1
FGF1,0.62118214,False,-1
FGF14,0.9925644,False,1
FGF2,0.94701964,False,-1
FGFR3,0.939765,False,-1
FIGN,0.8166585,False,-1
FILIP1L,0.09420035,False,-1
FKBP5,0.9539497,False,-1
FLNA,0.7825548,False,-1
FLRT2,0.99498194,False,-1
FMNL3,0.8264905,False,-1
FMO5,0.80931896,False,-1
FN1,0.22366218,False,-1
FNDC3B,0.59213716,False,-1
FOS,0.97529334,False,1
FOSL2,0.06156511,False,0
FOXO1,0.92556965,False,-1
FOXP2,0.5102269,False,0
FREM2,0.6380836,False,-1
FRMD6,0.9988298,False,1
FRMPD3,0.5721519,False,-1
FRMPD4,0.7173354,False,-1
FSIP2,0.7915887,False,-1
FSTL5,0.752048,False,-1
FTH1,0.8435484,False,-1
FTL,0.036647577,False,0
FUT10,0.43869123,False,-1
GABPB1,0.99811375,False,-1
GABRG3,0.99243927,False,1
GADD45A,0.820132,False,1
GADD45B,0.85066974,False,-1
GADD45G,0.0026896961,False,-1
GALNT10,0.3990361,False,-1
GALNT18,0.84616405,False,-1
GALNTL6,0.9123193,False,-1
GEM,0.8254058,False,-1
GFAP,0.90213627,False,-1
GFRA1,0.9986266,False,1
GHR,0.64368373,False,-1
GJA1,0.9507689,False,-1
GJB6,0.8588734,False,-1
GLIPR1L1,0.113866605,False,-1
GLIS3,0.8135296,False,1
GLRX,0.07306732,False,0
GLUL,0.98095316,False,-1
GMPR,0.99174833,False,1
GNA13,0.8730179,False,-1
GNA14,0.94255453,False,-1
GPC4,0.048281416,False,0
GPC5,0.9862662,False,-1
GPC6,0.999263,False,1
GPCPD1,0.99177366,False,-1
GPM6A,0.97130585,False,1
GPR37L1,0.0029266179,False,-1
GREB1L,0.47599527,False,-1
GRIA1,0.7979643,False,1
GRIK1,0.99359035,False,-1
GRIK2,0.9013988,True,0
GRIN3A,0.7322169,False,-1
GRK5,0.33655152,False,-1
GRM3,0.9973678,False,-1
GRM7,0.11634813,False,-1
GRM8,0.008124171,False,0
GSN,0.9693289,False,1
GYG2,0.69883436,False,-1
HAP1,0.6994145,False,-1
HDAC9,0.9128851,False,-1
HDDC2,0.77128243,False,-1
HEG1,0.9125168,False,-1
HELB,0.1894213,False,-1
HEPN1,0.74433005,False,-1
HES1,0.90575397,False,-1
HES5,0.91331017,False,-1
HES6,0.034061126,False,-1
HGF,0.5370143,False,-1
HHIP,0.30054313,False,-1
HIF3A,0.036399264,False,0
HLA-E,0.7987387,False,-1
HMGCS1,0.7724154,False,-1
HPSE2,0.99839264,False,1
HRH1,0.86010516,False,-1
HS3ST3A1,0.37344548,False,-1
HS3ST5,0.8914173,False,-1
HSD11B1,0.7538849,False,-1
HSP90AA1,0.8170022,False,-1
HSPA1A,0.95715576,False,-1
HSPA2,0.8531804,True,1
HSPA5,0.99180144,False,-1
HSPB1,0.94907755,False,-1
HSPB8,0.87965375,False,-1
HSPD1,0.7661736,False,-1
HSPE1-MOB4,0.6150312,False,-1
HSPH1,0.0027387126,True,1
HTR2B,0.14794679,False,-1
ICAM1,0.9993697,False,-1
ID1,0.9283063,False,-1
ID2,0.9680491,False,-1
ID3,0.94134337,False,-1
ID4,0.92108047,False,-1
IDI1,0.81328887,False,-1
IER2,0.8371669,False,-1
IFI16,0.86753535,False,-1
IFITM3,0.97300816,False,1
IFNGR1,0.7348907,False,-1
IFRD1,0.0141915,False,-1
IGFBP5,0.9946701,False,1
IGFBP7,0.65469795,True,1
IKZF1,0.80768806,False,-1
IKZF2,0.93722403,False,-1
IL13RA1,0.001729807,False,0
IL1R1,0.20375395,True,1
IL33,0.9551029,False,-1
IL6R,0.92270976,False,-1
IL6ST,0.9535681,False,1
INPP5D,0.8253979,False,-1
INSIG1,0.41760248,True,1
IQCJ-SCHIP1,0.98994166,False,-1
IQGAP1,0.9987205,False,-1
IQGAP2,0.52297103,False,-1
IRAK2,0.7888564,False,-1
