gene,score,validation,label
A2M,0.47989643,False,1
A4GALT,0.4907109,False,0
AATK,0.48651913,True,0
ABCA1,0.49757615,True,1
ABCA10,0.5128582,True,0
ABCA12,0.45481417,False,0
ABCA2,0.5007364,False,1
ABCA6,0.5049138,False,0
ABCA8,0.5018691,False,0
ABCA9,0.48233792,True,0
ABCB1,0.5289288,True,0
ABCB4,0.4825047,False,0
ABCC4,0.5085553,True,0
ABCC9,0.4855784,False,0
ABCG2,0.4915655,False,1
ABHD15,0.49027258,True,0
ABHD3,0.49045658,True,0
ABI3,0.5043206,True,0
ABI3BP,0.5025173,False,0
ABLIM1,0.51855075,False,0
ABR,0.47743326,False,0
ABTB2,0.47035557,False,0
ACACB,0.4994799,False,0
ACADL,0.5101247,False,0
ACAN,0.5016336,False,1
ACAP1,0.5243364,True,0
ACER2,0.5007364,False,0
ACKR1,0.5092084,False,0
ACOT1,0.48651913,False,0
ACOT11,0.55130583,False,0
ACP7,0.4838487,False,0
ACSBG1,0.50787044,True,0
ACSF2,0.52897257,True,0
ACSL1,0.4910188,False,0
ACSL5,0.50059247,False,0
ACSM3,0.4666665,False,0
ACSM5,0.5251364,False,0
ACSS1,0.5349683,False,0
ACSS3,0.4967745,True,0
ACTA2,0.47959906,False,0
ACTL6A,0.54756165,False,0
ACVR1,0.4738455,True,0
ACVR1C,0.48464304,False,0
ACVRL1,0.46995166,False,0
ADA,0.505388,False,0
ADAM12,0.47562337,False,1
ADAM28,0.47403005,False,0
ADAM33,0.51984847,False,0
ADAMTS1,0.48880953,False,0
ADAMTS12,0.5073413,False,0
ADAMTS14,0.5330079,False,0
ADAMTS15,0.48619327,False,0
ADAMTS17,0.54159087,True,0
ADAMTS18,0.4710039,False,0
ADAMTS19,0.48651913,True,0
ADAMTS20,0.51450044,True,0
ADAMTS3,0.52458054,False,0
ADAMTS4,0.50204337,False,0
ADAMTS6,0.48755226,True,0
ADAMTS7,0.49375555,False,0
ADAMTS9,0.4916832,False,0
ADAMTSL1,0.5259123,False,0
ADAMTSL2,0.54809034,False,0
ADAMTSL3,0.458227,False,0
ADAMTSL4,0.52036357,True,0
ADARB2,0.50916344,False,0
ADCY7,0.5029783,False,0
ADCY8,0.4887175,False,0
ADGRA3,0.4927244,False,0
ADGRD1,0.47124416,False,0
ADGRE2,0.48198217,True,0
ADGRE5,0.50728405,False,0
ADGRF5,0.5056242,False,0
ADGRG1,0.5175679,False,0
ADGRG2,0.4825198,True,0
ADGRG5,0.53340644,False,0
ADGRL2,0.49273175,False,0
ADGRL4,0.5394196,False,0
ADGRV1,0.48787868,True,0
ADH4,0.5106457,False,0
ADIPOR2,0.48610878,False,0
ADIRF,0.5141087,False,0
ADM,0.5515666,False,0
ADORA2B,0.48651913,False,0
ADPGK,0.54120916,False,0
ADRA1A,0.521282,False,0
ADRA1B,0.47526377,True,0
ADRB2,0.4949467,False,1
AEBP1,0.5252648,False,0
AFAP1L1,0.51618725,True,0
AFAP1L2,0.5261448,False,0
AFP,0.50728405,False,0
AGA,0.52222085,True,0
AGBL1,0.47179168,False,0
AGBL3,0.46924877,False,0
AGER,0.5309563,False,1
AGMO,0.5297119,True,0
AGT,0.50728405,False,0
AGTRAP,0.46897477,False,0
AHCY,0.50048304,False,0
AHCYL1,0.462987,False,0
AHCYL2,0.48065227,False,0
AHNAK,0.52214044,False,0
AHR,0.51715416,False,0
AIDA,0.48647588,True,0
AIF1,0.53667426,True,0
AIF1L,0.47586745,False,0
AK7,0.5013262,False,0
AKAP12,0.48626485,False,0
AKAP13,0.52635145,True,0
AKAP3,0.54662246,True,0
AKNA,0.5161518,False,0
AKR1A1,0.5196752,False,0
AKR1C2,0.5049138,False,0
AKR1D1,0.53086936,False,0
ALDH1A1,0.5076774,True,0
ALDH1A2,0.46383348,False,0
ALDH1L1,0.5436583,True,0
ALDH3B1,0.49570152,False,0
ALK,0.48780632,False,0
ALOX15B,0.52703047,False,0
ALOX5,0.49692303,True,1
ALOX5AP,0.49199587,False,0
ALPK1,0.5065107,False,0
ALPK3,0.50728405,False,0
ALPL,0.46759167,False,0
ALX3,0.47950873,True,0
AMER2,0.490168,False,0
AMOT,0.511722,False,0
AMOTL1,0.47036782,False,0
AMOTL2,0.51351666,False,0
AMZ1,0.49480167,False,0
AMZ2,0.48157287,False,0
ANGPT1,0.54470605,True,0
ANGPT2,0.47675222,False,0
ANK1,0.5170952,False,0
ANKDD1A,0.5592937,False,0
ANKFN1,0.49668688,False,0
ANKRD37,0.4965392,False,0
ANKRD44,0.52440214,False,0
ANKRD55,0.490474,False,0
ANKRD65,0.49420488,False,0
ANKS1A,0.5098818,False,0
ANKUB1,0.4683103,True,0
ANLN,0.46989393,True,0
ANO2,0.5242133,False,0
ANO3,0.48073027,False,0
ANO4,0.4931511,True,0
ANO6,0.4862408,False,0
ANOS1,0.5409875,False,0
ANTXR2,0.52549297,True,0
ANXA1,0.49188638,False,0
ANXA2,0.50522935,False,0
ANXA3,0.47542572,False,0
AOAH,0.48358652,False,0
APAF1,0.46391198,False,0
APBB1IP,0.4934271,False,0
APCDD1,0.47875366,False,0
APCDD1L,0.47270042,False,0
APLF,0.52156156,True,0
APLN,0.48996142,False,0
APLNR,0.5049138,True,0
APMAP,0.5482594,True,0
APOBEC2,0.46103838,False,0
APOBEC3G,0.50804746,False,0
APOC1,0.5520654,False,1
APOD,0.5004755,True,1
APOE,0.5067057,False,1
APOL3,0.5202193,False,0
APOLD1,0.4992915,False,0
AQP1,0.52005875,False,0
AR,0.4846739,False,1
ARHGAP10,0.4957501,True,0
ARHGAP15,0.48097232,True,0
ARHGAP18,0.54372275,False,0
ARHGAP22,0.4864657,True,0
ARHGAP24,0.51556283,False,0
ARHGAP25,0.52321947,False,0
ARHGAP26,0.49691758,False,0
ARHGAP27,0.50554687,False,0
ARHGAP28,0.54989296,True,0
ARHGAP29,0.4895849,False,0
ARHGAP30,0.5214985,False,0
ARHGAP31,0.48779613,False,0
ARHGAP4,0.5289288,False,0
ARHGAP42,0.54028726,True,0
ARHGAP6,0.50068563,False,0
ARHGAP9,0.48651913,False,0
ARHGDIB,0.501519,False,0
ARHGEF1,0.49452248,False,0
ARHGEF10L,0.48233256,False,0
ARHGEF26,0.47528735,False,0
ARHGEF28,0.47501627,False,0
ARHGEF38,0.48920503,False,0
ARHGEF4,0.45339414,False,0
ARHGEF40,0.5145199,False,0
ARHGEF6,0.49097043,False,0
ARID3A,0.5001833,False,0
ARID5A,0.49002552,False,0
ARL15,0.49967465,False,0
ARL5A,0.4855612,False,0
ARRB2,0.5165246,False,0
ARRDC2,0.48779243,False,0
ARRDC3,0.5051704,False,0
ARRDC4,0.46654394,False,0
ARSI,0.4964469,False,0
ARSJ,0.4797932,False,1
ART4,0.496699,False,0
ASAP3,0.5355781,True,0
ASB14,0.46997863,False,0
ASB18,0.5141087,False,0
ASIC2,0.51153773,False,0
ASIC4,0.531607,False,0
ASPA,0.4655847,False,0
ASPH,0.47446084,False,0
ASPN,0.47568703,False,0
ASZ1,0.54606843,True,0
ATAD3C,0.5463206,True,0
ATF3,0.4660148,False,0
ATF5,0.5218258,False,0
ATG16L2,0.46614325,False,0
ATOH8,0.4714683,False,0
ATOX1,0.52532774,False,0
ATP10A,0.5040176,False,0
ATP10B,0.50671756,False,0
ATP11C,0.5108623,False,0
ATP13A4,0.48897043,False,0
ATP13A5,0.4915758,False,0
ATP1A2,0.4951845,True,0
ATP1B3,0.47552553,False,0
ATP2A3,0.4661607,False,0
ATP6V0D2,0.48777342,False,0
ATP7B,0.48418912,True,1
ATP8B1,0.4812125,False,0
ATP8B4,0.48473793,False,0
ATRNL1,0.56624997,False,0
AVEN,0.4654359,False,0
AXL,0.5520654,False,0
B2M,0.50979054,False,0
B3GAT2,0.47198522,False,0
B3GNT5,0.46496698,False,0
B4GALT1,0.48495388,False,0
BACE2,0.45103794,True,1
BACH1,0.4916692,True,0
BAG3,0.48180842,True,0
BAIAP2L1,0.46303672,False,0
BAMBI,0.51588285,False,0
BANK1,0.47793743,False,0
BARD1,0.4788413,False,0
BAZ1A,0.4806308,False,0
BBOX1,0.5002934,False,0
BCAM,0.48757228,False,0
BCAN,0.48985317,False,0
BCAR3,0.4776935,False,0
BCAS1,0.5190243,False,0
BCAS2,0.49088532,False,0
BCHE,0.5237674,False,1
BCL11B,0.47203988,False,0
BCL2,0.47318822,False,0
BCL2A1,0.5017537,False,0
BCL2L11,0.46240556,False,0
BCL2L12,0.5101247,False,0
BCL2L14,0.47987399,False,0
BCL3,0.52656114,False,0
BCL6,0.49030608,False,0
BDNF,0.50139844,False,1
BEND7,0.52814114,False,0
BEST1,0.5279297,False,0
BEST3,0.51298606,False,0
BGN,0.5196752,False,0
BHLHE40,0.4873471,False,0
BHLHE41,0.4648319,True,0
BIRC3,0.47547618,False,0
BLM,0.52416736,False,0
BLNK,0.46783334,True,0
BMF,0.5376402,True,0
BMP2,0.49729905,False,0
BMP2K,0.53836095,False,0
BMP5,0.5008975,False,0
BMP6,0.4726381,False,0
BMP7,0.53330445,False,0
BMPER,0.5340764,False,0
BMPR1B,0.50920725,False,0
BMX,0.4861173,False,0
BNC2,0.52054477,False,0
BOC,0.5208351,False,0
BRCA2,0.52832127,False,0
BRINP3,0.5007003,False,0
BROX,0.47737372,False,0
BSG,0.48450977,False,0
BST1,0.54989296,False,0
BTBD11,0.5002205,False,0
BTBD16,0.49353215,True,0
BTBD17,0.48651913,False,0
