gene,score,validation,label
A2M,0.62164557,False,-1
AATK,0.62657356,False,-1
ABCA1,0.6068654,False,-1
ABCA10,0.6267447,False,-1
ABR,0.5627632,False,-1
ACSS3,0.62528294,False,-1
ACTA2,0.62366265,False,-1
ACVR1C,0.52101517,False,-1
ADAM28,0.6255011,False,-1
ADAMTS17,0.62874365,False,-1
ADAMTS19,0.62915343,False,-1
ADAMTS3,0.63040906,False,1
ADAMTS6,0.6237442,False,-1
ADARB2,0.2794564,False,0
ADCY8,0.3651345,False,-1
ADGRV1,0.6168343,False,-1
ADIPOR2,0.6163841,False,-1
ADRA1B,0.59507227,False,-1
AHCYL1,0.53925514,False,1
AHR,0.61912256,False,-1
AKAP13,0.011886112,False,-1
ALDH1A2,0.6093196,False,1
ALK,0.0025299399,False,0
ALX3,0.58826375,False,-1
AMER2,0.6160097,False,-1
AMOTL1,0.43660814,False,1
AMZ1,0.62989,False,-1
ANGPT2,0.6059223,False,-1
ANKDD1A,0.4381377,False,-1
ANKFN1,0.61763936,False,-1
ANKUB1,0.6132931,False,-1
ANO3,0.53045803,False,-1
ANO4,0.6187459,True,1
ANTXR2,0.59596586,False,-1
ANXA1,0.6076938,False,-1
ANXA5,0.6268111,False,-1
APLF,0.47633573,False,-1
ARHGAP10,0.62666595,False,-1
ARHGAP15,0.619285,False,-1
ARHGAP24,0.6404095,False,1
ARHGAP29,0.6230992,False,-1
ARHGAP42,0.01324307,False,-1
ARHGAP6,0.5856458,False,-1
ARHGAP9,0.6192605,False,-1
ARHGEF26,0.605952,False,-1
ARHGEF38,0.622554,False,-1
ARHGEF4,0.35283673,False,-1
ARID3A,0.58251655,False,-1
ARID5A,0.47396705,False,-1
ARL5A,0.6240324,False,-1
ARRDC4,0.22161596,False,-1
ARSJ,0.5945072,False,-1
ASPH,0.62294525,False,-1
ASPN,0.6054978,False,-1
ATF3,0.57270896,False,-1
ATG16L2,0.6093412,False,-1
ATP10A,0.6248724,False,-1
ATP1B3,0.0135225775,False,-1
ATP2C2,0.6282158,False,-1
ATP8B1,0.6197814,False,-1
ATRNL1,0.6262406,False,-1
B3GAT2,0.6196063,False,-1
B3GNT5,0.6154574,False,-1
BAALC,0.42787725,False,-1
BACH1,0.6155673,False,-1
BCAR3,0.596007,False,-1
BCL11B,0.015236691,False,0
BCL2,0.62212646,False,-1
BCL2L14,0.61558604,False,-1
BCL3,0.62659,False,1
BCL6,0.63010955,False,1
BDNF,0.4475223,False,-1
BHLHE40,0.089106515,False,-1
BHLHE41,0.61990714,False,-1
BMP7,0.0009948717,False,-1
BMPER,0.6312137,False,1
BRINP3,0.60746324,False,-1
BSG,0.59585005,True,1
BTG1,0.62574315,False,-1
BTG2,0.47916445,False,-1
BTG3,0.6263415,False,-1
BVES,0.57225865,False,-1
C12orf42,0.47070935,False,-1
C1QTNF7,0.62534213,False,-1
C4BPA,0.372781,False,1
C4orf48,0.5563534,False,-1
CA1,0.61798096,False,-1
CA10,0.5615706,False,-1
CA3,0.6169653,False,-1
CALCRL,0.6295519,False,-1
CALD1,0.019731438,False,0
CALN1,0.62757576,False,-1
CAP1,1.2258632e-05,False,0
CARTPT,0.63466084,False,1
CAV3,0.025081363,False,-1
CCDC102B,0.5182235,False,-1
CCDC141,0.61677814,False,-1
CCDC60,0.018434376,False,-1
CCK,0.6202842,False,-1
CD302,0.58133113,False,-1
CD63,0.63565594,False,1
CDCA7L,0.62251604,False,-1
CDH10,0.6084687,False,-1
CDH13,0.62930554,False,1
CDH18,0.62712425,False,-1
CDH6,0.6076674,False,-1
CDH7,0.44287968,False,-1
CDH8,0.16779745,False,0
CDH9,0.500578,False,-1
CDK18,0.6305948,False,1
CDKN1A,0.6262592,False,-1
CEBPA,0.58975834,False,-1
CEBPB,0.0058341715,False,-1
CEBPD,0.62846476,False,1
CEMIP,0.621567,False,-1
CFAP54,0.00043491853,False,0
CFL2,0.63017374,False,1
CFTR,0.6247551,False,1
CGNL1,0.6143774,False,-1
CHD7,8.626447e-06,False,-1
CHRM2,0.6310728,False,1
CHRM5,0.62642026,False,-1
CHST11,0.6279839,False,-1
CHST15,0.51581514,False,-1
CHST3,0.63074553,False,-1
CHST6,0.0067193154,False,-1
CHST8,0.4686586,False,-1
CHST9,0.13891853,False,-1
CHSY1,0.44712743,False,-1
CLCA4,0.015494362,False,-1
CLMP,0.00092392147,False,-1
CLTCL1,0.6283535,False,-1
CLU,0.0011099783,False,-1
CNN3,0.01857769,False,-1
CNTN3,0.6010031,False,-1
CNTN4,0.62654984,False,-1
CNTN5,0.6264511,False,-1
CNTN6,0.6376507,False,-1
CNTNAP3,0.6215992,False,-1
CNTNAP5,0.62645805,False,-1
COBLL1,0.031854235,False,-1
COL10A1,0.629261,False,-1
COL13A1,0.047654547,False,0
COL18A1,0.6378886,False,1
COL27A1,0.50323045,False,-1
COL4A3,0.5672604,False,-1
COL5A2,0.16055955,False,0
COLGALT2,0.6245621,False,1
CP,0.6239974,False,-1
CPA6,0.6278093,False,-1
CPB2,0.6276431,False,-1
CPO,0.4475383,True,1
CREB3L2,0.6261979,False,-1
CREB5,0.43438235,False,-1
CREBL2,0.62551594,False,-1
CREM,0.35713392,False,-1
CRIM1,0.61028033,False,-1
CSPG4,0.4705739,False,-1
CSRNP1,0.6149301,False,-1
CSRP2,0.41279113,False,-1
CTNS,0.53228706,False,-1
CTSB,0.62453026,False,-1
CTSZ,0.62291276,False,-1
CUX2,0.4916693,False,-1
CYCS,0.6049465,True,1
CYSLTR1,0.6269768,False,-1
DAAM2,0.6321079,False,-1
DAB1,0.36009702,False,1
DACH1,0.62673676,False,-1
DACH2,0.62831175,False,-1
DCBLD1,0.5216327,False,-1
DCC,0.003410692,False,0
DCHS2,0.6289798,False,1
DDAH1,0.6300072,False,1
DENND3,0.49350572,False,-1
DEPTOR,0.6320217,False,1
DERA,0.6044222,False,-1
DGKB,0.61872005,False,-1
DGKG,0.509547,False,-1
DKK2,0.5455879,False,1
DLC1,0.62834966,False,-1
DMRT2,0.5703232,False,-1
DNAH11,0.61991096,False,-1
DNAH17,0.6176659,False,-1
DNAJB1,0.018834671,False,-1
DOCK6,0.6256468,False,-1
DPYSL3,0.62872136,False,1
DPYSL5,0.6301929,False,1
DSCAM,0.6203923,False,-1
DTHD1,0.6287523,False,-1
DTNA,0.6195,False,-1
DUSP1,0.5062992,False,-1
DUSP16,0.62722796,False,-1
DUSP2,0.4778129,False,0
DUSP5,0.5028528,False,-1
DUSP6,0.5266862,True,1
EBF4,0.6312595,False,-1
ECM2,0.62683535,False,-1
EDA,0.61004937,False,-1
EFCAB13,0.6254005,False,-1
EFNA5,0.6293439,True,1
EGR1,0.44476974,False,-1
EGR3,0.5504973,False,-1
EHF,0.6293108,False,-1
EIF4A3,0.07911382,False,-1
ELAVL2,0.39828998,False,-1
ELF1,0.20926216,False,-1
ELK3,0.6207414,False,-1
ELOVL2,0.62513244,False,-1
ELOVL5,0.39108905,False,-1
ELOVL7,0.41533083,True,0
EML4,0.46832246,False,-1
EMX2,0.55526626,False,-1
ENO4,0.6150173,False,-1
ENPP2,0.6237073,False,1
EPB41L4A,0.51978683,False,-1
EPHA3,0.27806154,False,0
EPHA6,1.924105e-07,False,-1
ERG,0.5938366,False,-1
ERMAP,0.4718808,False,-1
ERN1,0.51139104,False,-1
ERRFI1,0.5578914,False,-1
ESR1,0.62384546,False,-1
ESR2,0.62768537,False,-1
ESYT2,0.43334857,False,-1
ETS1,0.62815976,False,-1
ETS2,0.48505422,False,1
ETV6,0.5070933,False,-1
EXPH5,0.59630966,False,-1
EYA1,0.5914447,False,-1
EYS,0.6299936,False,-1
EZH2,0.600064,False,-1
F13A1,0.6252204,False,-1
FAM110B,0.62764776,False,-1
FAM20A,0.056129493,False,-1
FAP,9.1739574e-05,False,0
FAT4,0.5482869,False,-1
FAU,0.6214863,False,-1
FAXDC2,0.6228216,False,-1
FBXL7,0.63813233,False,1
FGD4,0.6151377,False,-1
FGF1,0.4760992,False,-1
FGF10,0.62301105,False,1
FGF14,0.62810427,False,1
FGF7,0.62157923,False,-1
FGFR1,0.6109712,False,1
FILIP1,0.6242923,False,-1
FILIP1L,0.6154431,False,-1
FKBP5,0.59978575,False,-1
FLI1,0.5585308,False,-1
FLNA,0.6263361,False,-1
FMN1,0.41012418,False,-1
FMNL3,0.53559244,False,-1
FMO5,0.61873406,False,-1
FN1,0.6112651,False,-1
FNDC3B,0.5829249,False,-1
FOS,0.1399811,True,1
FOSB,0.55866975,False,1
FOSL2,0.3786899,False,0
FOXO1,0.6281565,False,-1
FOXP2,0.5420186,True,0
FPR3,0.6093693,False,-1
FREM1,0.61987716,False,-1
FRMD6,0.6255423,True,1
FRMPD3,0.59605247,False,-1
FRZB,0.52394515,False,-1
FSIP2,0.08185266,False,-1
FSTL1,0.6302093,False,-1
FSTL5,0.12632208,False,-1
FTH1,0.62000203,False,-1
FTL,0.0055784704,True,0
FZD6,0.62604564,False,-1
GABPB1,0.32750097,False,-1
GABRE,0.0006839057,False,-1
GABRG3,0.63154495,False,1
GAD2,0.61685044,False,-1
GADD45A,0.63484734,False,1
GADD45B,0.12895711,False,-1
GALNT14,0.62758005,False,-1
GATA1,0.62676233,False,1
GCNT1,0.6177625,False,-1
GEM,0.46076143,False,-1
GFRA1,0.6309281,False,1
GHR,0.55207425,False,-1
GK,0.3579966,False,-1
GLI2,0.5978764,False,-1
GLIS3,0.60645765,False,1
GLRA2,0.00080339547,False,0
GLUL,0.5909492,False,-1
GNA13,0.60036135,False,-1
GNA14,0.6232875,False,-1
GNAL,9.2377864e-05,False,0
GNG4,0.592861,False,-1
GOLIM4,0.6309868,False,1
GPCPD1,0.49798074,False,-1
GPR174,0.4595807,False,-1
GPR85,0.5806439,False,-1
GPRIN3,0.6268559,False,-1
GRIA1,0.63076544,False,1
GRIK1,0.018812373,False,-1
GRIK3,0.14626509,False,0
GRIN3A,0.08682562,False,-1
GRIP1,0.6313914,False,1
GRK5,0.61354667,False,-1
GRM1,0.6306893,False,1
GRM3,0.59286207,False,-1
GRM8,0.00053795846,False,0
GULP1,0.6086894,False,1
HCRTR2,0.63007545,False,1
HERPUD1,5.8302496e-05,False,0
HES4,0.003849786,False,0
HES6,0.62796736,False,-1
HEY2,0.6284195,False,1
HGF,0.3741796,False,-1
HHAT,0.3909043,True,1
HHIP,0.6216627,False,-1
HIF1A,0.63133484,False,-1
HMGCS1,0.62313503,False,-1
HMX1,0.58780116,False,-1
HOMER1,0.6254561,False,-1
HPGDS,0.6262527,False,-1
HPSE2,0.62737936,False,1
HRH1,0.62603456,False,-1
HS3ST2,0.5752009,False,-1
HSD11B1,0.08043789,False,-1
HSP90AA1,0.01734225,False,-1
HSPA1A,0.59032094,False,-1
HSPA5,0.6017735,False,-1
HSPB8,0.6091915,False,-1
HSPH1,0.60132027,True,1
HTR1F,0.5324827,False,1
HTR2B,0.6027724,False,-1
HTR2C,0.5997756,False,1
ID2,0.0693222,False,-1
IER5,0.5100384,False,-1
IFIT2,0.6265002,False,-1
IFNGR1,0.41445768,False,-1
IFRD1,0.60811037,False,-1
IGFBP2,0.45122492,False,-1
IGSF6,0.61875767,False,-1
IKZF1,0.59378177,False,-1
IL12RB2,0.5579906,False,-1
IL18,0.6152024,False,-1
IL1RAPL2,0.6080273,False,-1
INHBA,0.5524921,False,-1
IQCH,0.56072706,False,-1
IQCJ-SCHIP1,0.62518954,False,-1
IQGAP1,0.60703075,False,-1
IRF3,0.6273921,False,1
IRF8,0.6273954,False,1
ITGA11,0.4453904,False,-1
ITGAL,0.64082396,False,1
ITGBL1,0.623461,False,1
ITPKB,0.59256136,False,-1
ITPR2,0.62914574,False,1
ITPRIP,0.6289237,False,-1
JDP2,0.5138836,False,-1
JUN,0.580123,False,1
JUNB,0.4924668,False,1
JUP,0.61751616,True,0
KANK2,0.5973899,False,-1
KAT2B,0.45210248,False,-1
KAZN,0.6393244,False,1
KCNB2,0.6222209,False,-1
KCND2,0.6266095,False,-1
KCNH5,0.59294134,False,-1
KCNH7,0.62667173,False,-1
KCNH8,0.6319043,False,-1
KCNIP1,0.20065498,False,-1
KCNJ16,0.5143911,False,-1
KCNK13,0.00025836384,False,-1
KCNK2,0.5724388,False,-1
KCNQ3,0.59947157,False,-1
KCNQ5,0.6197857,False,-1
KCTD8,0.5894741,False,-1
KIAA1217,0.62974113,True,1
KIF26B,0.30764148,False,-1
KITLG,0.0061663203,False,0
KLF2,0.6283717,False,1
KLF3,0.5702163,False,-1
KLF6,0.02684125,False,0
KLHL1,0.48661926,False,-1
KMO,0.50358814,False,-1
LAMA2,0.6117679,False,-1
LAMA4,0.62198806,False,-1
LAMB1,0.55380505,False,-1
LAMC1,0.54540056,False,1
LDB2,0.6025847,False,-1
LDLRAD4,0.56279016,False,-1
LEF1,0.4112483,False,-1
LEPR,0.5211401,False,1
LGI3,0.621639,False,-1
LGR4,0.5976344,False,-1
LHFPL2,0.21854274,False,0
LHFPL3,0.6132023,False,-1
LIMD1,0.6269968,False,-1
LIMS1,0.62062514,True,1
LINGO2,0.3363536,False,0
LIPC,0.6221537,False,1
LIX1,0.58752084,False,-1
LMCD1,0.4439397,False,-1
LMNA,0.6159817,False,-1
LOXL3,0.5017569,False,-1
LPAR6,0.61778444,False,-1
LPGAT1,0.45646712,False,-1
LRFN5,0.6285054,False,-1
LRIG1,0.3558434,False,-1
LRRC4C,0.62645066,False,-1
LRRC63,0.6267583,False,-1
LRRC8A,0.6263715,False,-1
LRRN1,0.6157512,False,-1
LRTM1,0.61948586,False,-1
LURAP1L,0.6215298,False,-1
LUZP2,0.5978297,False,1
MAF,0.21260758,False,-1
MAFB,0.6246412,False,-1
MAFF,0.6025313,False,-1
MAGT1,0.0009720961,False,-1
MAMDC2,0.6154778,False,-1
MAML3,0.49031493,False,-1
MAN2A1,0.6265655,False,-1
MAP3K14,0.00055290404,False,0
MAP3K19,0.569442,False,-1
MAPK4,0.31074426,False,-1
MAPKAPK2,0.20724963,False,1
MBNL3,0.61684036,False,-1
MCL1,0.5200546,False,-1
MCMDC2,0.62663347,False,-1
MDFIC,0.54680765,False,-1
MECOM,0.40203506,False,0
MEF2A,0.63093245,True,1
MEGF11,0.6253295,False,-1
MEI4,0.4835808,False,-1
MEIS1,0.57396674,False,-1
MERTK,0.3682274,False,-1
METRNL,0.60460037,False,-1
MFHAS1,0.15951924,False,0
MFSD4B,0.50775903,False,-1
MGAT1,0.47227663,False,-1
MGAT4C,0.61532366,False,-1
MGME1,0.0069097676,False,-1
MGST1,0.61277807,False,-1
MIDN,0.6107222,True,0
MIOX,0.561079,False,-1
MITF,0.626721,False,-1
MLIP,0.622467,False,-1
MMP16,0.63231647,False,-1
MORC4,0.57703835,False,-1
MPPED2,0.5559898,False,-1
MPZL1,0.5695509,False,1
MSI2,0.4437351,False,1
MSX1,0.03938087,False,0
MTHFD1L,0.3513119,True,1
MTSS1,0.61721855,False,-1
MTUS2,0.6272429,False,-1
MYLIP,0.61750627,False,-1
MYO16,0.6315758,False,1
MYO1B,0.0034141138,False,-1
MYO1E,0.60877836,False,-1
MYO1F,0.5748713,False,-1
MYOCD,0.60134345,False,1
MYOT,0.6066168,False,-1
MYRIP,0.48905423,False,-1
NAMPT,0.628498,False,1
NAT8L,0.61608046,False,-1
NCALD,0.6304979,True,1
NDST4,0.62214005,False,-1
NEDD9,0.47048202,False,-1
NFATC1,0.629119,False,-1
NFATC2,0.62710613,True,1
NFE2L3,0.6216979,False,-1
NFIL3,0.6288337,False,-1
NFKB2,0.5969363,False,-1
NFYA,0.60110897,False,-1
NHS,0.012757169,False,0
NIPAL4,0.5607568,False,-1
NKX6-2,0.6237694,False,-1
NLGN4Y,0.6248621,False,-1
NOS1,0.052746866,False,-1
NPAS4,0.4110365,False,-1
NPFFR2,0.62649536,False,-1
NPNT,0.61200964,False,-1
NR2F2,0.60674417,False,-1
NR4A1,0.0011215039,False,0
NR4A2,0.6230873,False,-1
NR4A3,0.47620997,False,1
NR5A2,0.6026498,False,-1
NRG1,0.627086,False,-1
NRP1,0.5737903,False,-1
NTN4,0.6323903,False,1
NTNG1,0.59472275,False,-1
NTNG2,0.58666176,False,-1
NUP210L,0.61545014,False,-1
NXPH1,0.17475381,False,-1
OARD1,0.55953145,False,-1
OLFM3,0.62675184,False,-1
OLFML2B,0.5006291,False,-1
OMD,0.62124527,False,-1
OPCML,0.6223859,False,-1
OPRM1,0.5771169,False,-1
OSBPL11,0.42162833,False,-1
OSMR,0.62114567,True,0
OVCH2,0.5719782,False,-1
OVOL2,0.6275712,False,-1
P2RY12,0.62035173,False,1
P2RY14,0.61920726,False,-1
P3H2,0.6286329,False,-1
P4HA3,0.63053924,False,-1
PAG1,0.62651074,False,-1
PALLD,0.3583409,False,-1
PAM,0.6134964,True,0
PAPOLG,0.61949486,False,-1
PARD3,0.6328193,True,1
PAWR,0.55351627,False,-1
PAX6,0.4361335,False,1
PAX8,0.6258629,False,-1
PBX3,0.6202936,False,-1
PCDH11X,0.6302708,False,1
PCDH11Y,0.63343537,False,-1
PCDH15,0.1983488,False,-1
PCDH7,0.49297976,False,-1
PCSK5,0.5451517,False,-1
PDE10A,0.5839345,False,-1
PDE1C,0.6285638,False,-1
PDE6B,0.6288725,False,-1
PDE6D,0.4147263,False,-1
PDE7B,0.51075166,False,-1
PDE9A,0.52758324,False,-1
PDGFA,0.62695825,False,-1
PDGFB,0.6286636,False,-1
PDGFC,0.36428544,False,-1
PDZD2,0.624954,False,1
PDZRN4,0.6066368,False,-1
PECAM1,0.6041797,False,-1
PFKFB3,0.5585745,False,1
PHACTR1,0.6290085,False,-1
PHACTR2,0.0022357597,False,0
PHEX,0.6271033,False,-1
PHF21B,0.61513597,False,-1
PIK3CD,0.6301763,False,-1
PIM3,0.6246882,False,-1
PIP5K1B,0.52082646,False,-1
PITPNC1,0.6263557,False,-1
PKD2L2,0.5831822,False,-1
PKP2,0.6210545,False,-1
PLA2G7,0.62975454,False,-1
PLA2R1,0.62691236,False,-1
PLAC9,0.5417471,False,-1
PLCB4,0.6190082,False,-1
PLCL1,0.6301657,False,1
PLEKHH2,0.47879258,False,-1
PLEKHO1,0.5420336,False,-1
PLK3,0.6278558,False,-1
PLOD2,0.62664825,False,-1
PLPP1,0.47667453,False,-1
PLPPR1,0.06327349,False,0
PLS3,0.62679976,False,-1
PLSCR1,0.6261728,False,-1
POSTN,0.61624956,False,-1
POU2F2,0.613807,False,-1
POU6F2,0.6267157,False,-1
PPARD,0.4185508,False,-1
PPARG,0.620495,False,-1
PPFIBP1,0.6264637,False,-1
PPFIBP2,0.0076464675,False,-1
PPP1R15A,0.021308156,False,-1
PPP1R1B,0.64095044,False,-1
PPP1R1C,0.59545356,False,-1
PRDM1,0.13603365,False,-1
PRDM11,0.49861,False,-1
PREX1,0.49810854,False,-1
PREX2,0.45487443,False,-1
PRKAG2,0.6182335,False,-1
PRKCH,0.61743194,False,-1
PRKG1,0.626526,False,-1
PRKG2,0.5935185,False,-1
PRLR,0.62584615,False,-1
PRR16,0.6043221,False,-1
PRRX1,0.6214022,False,-1
PRSS23,0.59161115,False,-1
PSG8,0.6247297,False,-1
PSMA1,0.6209825,False,-1
PTCHD1,0.594907,False,-1
PTGS2,0.48174244,False,-1
PTMA,0.00010796767,False,0
PTPN14,0.27548495,False,-1
PTPN22,0.41623682,False,0
PTPRB,0.6298669,False,-1
PTPRE,0.5222303,False,-1
PTPRM,0.35169217,False,-1
PTPRO,0.62471795,False,-1
PTPRT,0.4269816,False,-1
