gene,score,validation,label
ABCA1,0.5389011,False,-1
ABCA12,0.4479612,False,-1
ABCA6,0.6124721,False,-1
ABCB1,0.6225342,False,-1
ABHD3,0.013288391,False,-1
ABR,0.40555573,False,-1
ACAN,0.61434925,False,-1
ACSL1,0.5355504,False,-1
ACTA2,0.6298362,False,-1
ACVR1,0.52774495,False,-1
ADAMTS20,0.45718792,False,-1
ADAMTSL2,0.586618,False,-1
ADAMTSL3,0.5175004,False,-1
ADARB2,0.60752493,True,0
ADCY2,0.6299629,False,1
ADCY8,0.5791159,False,-1
ADGRG6,0.61309385,False,-1
ADGRL2,0.5539224,False,-1
ADGRL4,0.40360805,False,-1
ADIPOR2,0.23852539,False,-1
AFAP1L2,0.60325056,False,-1
AHCYL1,0.597446,True,1
AHR,0.5207498,False,-1
AKAP12,0.41963464,False,-1
AKAP13,0.61392784,False,-1
ALDH1A2,0.6242455,False,1
ALX3,0.53162944,False,-1
AMOTL1,0.54066604,True,1
AMZ1,0.38836652,False,-1
ANGPT1,0.6283286,False,-1
ANGPT2,0.6261878,False,-1
ANKFN1,0.46811768,False,-1
ANKRD37,0.62673503,False,-1
ANKRD55,0.6262951,False,1
ANKS1A,0.62219334,False,-1
ANKUB1,0.6232501,False,-1
ANO6,0.58853245,False,-1
AOAH,0.2816098,False,-1
AR,0.43882823,False,-1
ARHGAP15,0.6262788,False,-1
ARHGAP22,0.23795275,False,-1
ARHGAP24,0.5329629,False,1
ARHGAP6,0.50708425,False,-1
ARHGEF38,0.6020015,False,-1
ARHGEF4,0.61955005,False,-1
ARHGEF6,0.48905355,False,-1
ARL15,0.526621,False,-1
ARL5A,0.5553993,False,-1
ASIC2,0.4670295,False,-1
ASPH,0.0288962,False,-1
ASPN,0.4607009,False,-1
ATF5,0.36774513,True,0
ATP11C,0.38201383,False,-1
ATP1B3,0.5741926,False,-1
ATP8B1,0.62352353,False,-1
ATRNL1,0.6225252,False,-1
B2M,0.00038546417,False,0
B3GAT2,0.62275136,False,-1
B3GNT5,0.611114,False,-1
BAALC,0.58528453,False,-1
BACE2,0.48165485,False,-1
BACH1,0.6281625,False,-1
BAZ1A,0.52284425,False,-1
BCAN,0.40519315,False,1
BCHE,0.47886974,False,-1
BCL2,0.35221153,False,-1
BCL2L14,0.5936397,False,-1
BCL6,0.16863532,True,1
BDNF,0.3494151,False,-1
BHLHE41,0.12510324,False,-1
BICC1,0.52734846,False,-1
BIRC3,0.62866384,False,1
BLNK,0.63006896,False,1
BMPER,0.6222141,False,1
BMX,0.07875893,False,0
BTBD11,0.542247,False,-1
BTG2,0.5412637,False,-1
C11orf65,0.62657493,False,-1
C12orf75,0.60730696,False,-1
C1QL1,0.6260159,False,1
C1QTNF7,0.6169633,False,-1
C21orf62,0.4237067,False,-1
C2CD2,0.6013182,False,-1
C2orf76,0.51079756,False,-1
C4BPA,0.6383123,False,1
C4orf45,0.5751766,False,-1
C7orf31,0.24653204,False,-1
C8orf34,0.6009514,False,-1
C9orf153,0.07311929,False,-1
CA1,0.62968564,False,-1
CA10,0.50641143,False,-1
CA2,0.56501454,False,-1
CA3,0.61718637,False,-1
CA8,0.5086663,True,0
CACHD1,0.39033803,False,-1
CACNB2,0.6237521,False,-1
CACNG4,0.6040993,False,-1
CALN1,0.4803688,False,-1
CARD14,0.63637584,False,1
CASP8,0.6198019,False,-1
CAV3,0.6216634,False,-1
CBLB,0.49779084,False,-1
CCBE1,0.5705919,False,-1
CCDC150,0.1411957,False,-1
CCDC60,0.61990184,False,-1
CCK,0.5373272,False,-1
CCNE2,0.2831999,True,1
CCNG2,0.6317479,False,-1
CD96,0.21300387,False,-1
CDH10,0.61495525,False,-1
CDH12,0.62067753,False,-1
CDH13,0.62715983,False,1
CDH18,0.5806403,False,-1
CDH20,0.6236231,False,-1
CDH4,0.6244904,False,-1
CDH8,0.4935222,True,0
CDH9,0.6173791,False,-1
CDKN1B,0.62246746,False,-1
CEACAM1,0.60795605,False,-1
CEACAM21,0.052828792,False,-1
CEBPB,0.47097504,False,-1
CEMIP,0.013926999,False,-1
CEP135,0.46559343,False,-1
CEP85,0.628444,False,-1
CFL2,0.62621677,False,1
CFLAR,0.5237884,True,1
CFTR,0.6285173,False,1
CHRDL1,0.62165874,True,1
CHRM2,0.6331493,False,1
CHRM5,0.62914145,False,-1
CHRNA7,0.62294763,False,-1
CHST11,0.575426,False,-1
CHST15,0.55738795,False,-1
CHST9,0.55316836,False,-1
CHSY1,0.61230326,False,-1
CIITA,0.09191508,False,-1
CLIC2,0.37529936,False,-1
CLIC4,0.5264648,False,-1
CLMP,0.09224767,False,-1
CMTM7,0.6199436,False,-1
CMTM8,0.6102991,False,-1
CNN3,0.006828206,False,-1
CNR1,0.5949186,False,-1
CNTLN,0.26385155,False,-1
CNTN4,0.48236457,False,-1
CNTN6,0.62175316,False,-1
CNTNAP5,0.6234903,False,-1
COBLL1,0.27825227,False,-1
COL10A1,0.55650634,False,-1
COL25A1,0.6243343,False,-1
COL4A1,0.003924413,False,0
COL4A2,0.013738417,False,0
COL8A1,0.6226019,False,-1
COLGALT2,0.6102854,False,1
COTL1,0.6248819,False,1
CPA1,0.4125834,False,-1
CPA6,0.44804406,False,-1
CPB2,0.5248955,False,-1
CREB3L2,0.42652574,False,-1
CREM,0.61426675,False,-1
CRHBP,0.62228864,False,1
CRIM1,0.595778,False,-1
CRISPLD1,0.55662435,False,-1
CRISPLD2,0.41203004,False,1
CRLF1,0.5156131,False,-1
CSRNP1,0.5386657,False,-1
CSRP2,0.060188513,False,-1
CTNNA2,0.62692904,False,1
CTSB,0.6225205,False,-1
CTSC,0.00022724521,False,0
CTSZ,0.5395732,False,-1
CTTNBP2NL,0.46589774,False,-1
CUBN,0.0005632441,False,0
CYCS,0.5303013,False,1
CYP1B1,0.002153496,False,0
CYYR1,0.6225259,False,-1
DAB1,0.4620998,True,1
DAP,0.6056623,False,-1
DCBLD1,0.55503523,False,-1
DCC,0.002879887,False,0
DCLK2,0.4611452,False,-1
DDR2,0.5795649,False,-1
DDX60L,0.6215129,False,-1
DGKH,0.62297237,False,-1
DHCR24,0.62207454,False,-1
DHRS3,0.41383564,False,-1
DIO1,0.18958338,True,1
DISP1,0.58886445,False,-1
DKK2,0.6284844,False,1
DLC1,0.6029644,False,-1
DLEU7,0.41202942,False,-1
DLGAP1,0.19882202,False,-1
DNAJA4,0.5974055,False,-1
DNAJB1,0.59009594,False,-1
DOCK11,0.6149227,False,-1
DOCK6,0.62769014,False,-1
DOK6,0.55445135,False,-1
DSCAM,0.6186269,False,-1
DUOX1,0.58400935,False,-1
DUSP1,0.525154,False,-1
DUSP10,0.5936497,False,-1
DUSP16,0.4410567,False,-1
DUSP5,0.030797062,False,-1
DUSP6,0.5340037,False,1
ECM2,0.4212235,False,-1
EFCAB13,0.46527728,False,-1
EFEMP1,0.6225618,False,-1
EGR1,0.11737543,False,-1
EGR3,0.49979728,False,-1
ELAVL2,0.55673885,False,-1
ELF1,0.008568983,False,-1
ELF4,0.39630613,False,0
ELK3,0.62504864,False,-1
ELL2,0.5480382,False,-1
ELOVL2,0.57702404,False,-1
ELOVL5,0.46657377,False,-1
EML4,0.57899123,False,-1
ENO4,0.621881,False,-1
ENPP2,0.6258359,True,1
EPHA3,0.0025475514,False,0
EPHA6,0.58175915,False,-1
EPHA7,0.6089075,False,-1
ERG,0.37460142,False,-1
ESR1,0.59810185,False,-1
ESR2,0.110684395,False,-1
ETFB,0.541483,False,-1
ETS1,0.61954427,False,-1
ETS2,0.6240169,False,1
ETV1,0.6241381,False,-1
ETV6,0.06330537,False,-1
EYA4,0.6284513,False,1
EYS,0.5497069,False,-1
F8,0.57722116,False,-1
FAM186A,0.566977,False,-1
FAM78A,0.41037717,False,-1
FAT1,0.6257279,False,1
FAT3,0.5466314,False,-1
FAU,0.62257564,False,-1
FER1L6,0.35036737,False,-1
FGF1,0.6162533,False,-1
FGF13,0.46227968,False,-1
FGF14,0.5409984,True,1
FGFR1,0.62508214,False,1
FILIP1,1.8667798e-06,False,-1
FILIP1L,0.61475164,False,-1
FLNA,0.62051857,False,-1
FLRT2,0.58654106,False,-1
FMN1,0.5833916,False,-1
FN1,0.5028792,False,-1
FOS,0.4646147,True,1
FOSB,0.49950248,True,1
FOSL2,0.15281719,False,0
FOXO1,0.62004715,False,-1
FOXP2,0.6260376,True,0
FREM1,0.51255715,False,-1
FRMD3,0.3138006,False,-1
FRMD4B,0.62218565,False,-1
FRMPD4,0.5690148,False,-1
FSCN1,0.45462272,False,-1
FSIP2,0.61777395,False,-1
FSTL5,0.5351448,False,-1
FTH1,0.48338646,False,-1
FTL,0.10216042,False,0
FZD6,0.6027379,False,-1
GABPB1,0.009412999,False,-1
GABRA2,0.6230923,False,-1
GABRG3,0.27756292,True,1
GAD1,0.62204725,False,-1
GADD45G,0.57624924,False,-1
GALM,0.5883496,False,-1
GALNT14,0.5399611,False,-1
GALNTL6,0.6210888,False,-1
GATA1,0.36779493,True,1
GCNT1,0.57330275,False,-1
GHR,0.35639164,False,-1
GINS3,0.2682103,False,-1
GLDN,0.47625017,False,-1
GLI2,0.5186435,False,-1
GLIS3,0.6213462,False,1
GLRA2,0.4704623,True,0
GLRX,2.2886e-05,False,0
GLUL,0.6094536,False,-1
GNA13,0.5846596,False,-1
GNB4,0.48942342,False,-1
GNG12,0.60652757,False,-1
GNG4,0.33380544,False,-1
GPC4,5.4004877e-06,False,0
GPC6,0.6063938,True,1
GPRIN3,0.008701607,False,-1
GRAMD1A,0.5333724,False,-1
GRB10,0.547947,False,-1
GRB2,0.48067284,False,1
GREB1L,0.5942603,False,-1
GRIA1,0.6309592,False,1
GRID2,0.6207964,False,-1
GRIK2,0.002573934,False,0
GRIN3A,0.38008478,False,-1
GRIP1,0.6225879,True,1
GRK5,0.57579887,False,-1
GRM3,0.61394525,False,-1
GRM7,0.62132263,False,-1
GRM8,0.27119693,False,0
GULP1,0.6235592,False,1
GXYLT2,0.6016165,False,-1
HCRTR2,0.62757397,False,1
HDAC1,0.55843157,False,-1
HDAC9,0.31303015,False,-1
HDDC2,0.45732763,False,-1
HEATR5A,0.58903694,False,-1
HEG1,0.59943104,False,-1
HERPUD1,0.012654084,False,0
HES6,0.61991906,False,-1
HEY2,0.6229421,False,1
HGF,0.3816378,False,-1
