gene,score,validation,label
AATK,0.5772985,False,-1
ABCA1,0.46467242,False,-1
ABCA6,0.3280193,False,-1
ABCA9,0.49614996,False,-1
ABCB1,0.8441732,False,-1
ABHD3,0.7652654,False,-1
ABLIM1,0.99455076,False,-1
ABR,0.68188626,False,-1
ACER2,0.5581039,False,-1
ACSL5,0.77048016,False,-1
ACSS1,0.7898919,False,-1
ACSS3,0.38177955,False,-1
ACTA2,0.8498197,False,-1
ACVR1,0.38038588,False,-1
ACVR1C,0.49643344,False,-1
ADAM12,0.322786,False,1
ADAMTS17,0.5017302,False,-1
ADAMTSL1,0.031933036,False,0
ADARB2,0.009159841,False,0
ADCY8,0.48676762,False,-1
ADGRL2,0.98628104,False,-1
ADIPOR2,0.84941024,False,-1
ADM,0.6370017,False,-1
ADPGK,0.26098037,False,-1
AFAP1L2,0.040578015,False,-1
AGBL1,0.652923,True,1
AHCYL1,0.59739673,True,1
AHCYL2,0.12073077,False,-1
AHR,0.94729,False,-1
AKAP12,0.09213802,False,-1
AKAP13,0.9866398,False,-1
AKNA,0.5377196,False,-1
ALX3,0.69915646,False,-1
AMER2,0.5188236,False,-1
AMOT,0.9996051,False,-1
AMOTL2,0.49303648,False,-1
ANGPT2,0.9782218,False,-1
ANK1,0.6361201,False,-1
ANKFN1,0.5834139,False,-1
ANKRD37,0.007479919,False,-1
ANKS1A,0.49916294,False,-1
ANKUB1,0.94406474,False,-1
ANLN,0.50954115,False,-1
ANO4,0.9135633,False,1
ANO6,0.6926413,False,-1
APOBEC2,0.9940638,False,-1
AR,0.7115802,False,-1
ARHGAP15,0.96907055,False,-1
ARHGAP26,0.63976353,False,-1
ARHGAP28,0.005044739,False,-1
ARHGAP29,0.62123436,False,-1
ARHGAP6,0.9658381,False,-1
ARHGEF10L,0.06762407,False,-1
ARHGEF6,0.5553529,False,-1
ARID3A,0.92566746,False,-1
ARL5A,0.6483414,False,-1
ARMC3,0.9829888,False,-1
ARRDC3,0.46157458,False,-1
ASB14,0.98987997,False,-1
ATF3,0.42252332,False,-1
ATF5,0.070483424,False,0
ATP10B,0.8035061,False,-1
ATP11C,0.08327089,False,-1
ATP1A2,0.79612124,False,-1
ATP7B,0.74241143,False,-1
ATP8B1,0.76852787,False,-1
ATP8B4,0.543089,False,-1
B2M,0.01942007,False,0
B3GAT2,0.5251664,False,-1
BAALC,0.53408986,False,-1
BACH1,0.99822325,False,-1
BANK1,0.9230453,False,-1
BCAM,0.995509,False,1
BCAR3,0.8133431,False,-1
BCAS2,0.5086736,False,-1
BCL2,0.6682498,False,-1
BCL2L14,0.8423052,False,-1
BCL3,0.92237866,False,1
BCL6,0.42625743,False,1
BHLHE41,0.14787693,False,-1
BICC1,0.8304927,False,-1
BMP7,0.51584405,False,-1
BMPER,0.99856573,False,1
BMX,0.89198333,True,0
BOC,0.6905858,False,-1
BSG,0.98567355,False,1
BTBD11,0.45665625,False,-1
BTG1,0.25640348,False,-1
BTG2,0.31546852,False,-1
C12orf75,0.5058722,False,-1
C1QL1,0.98165715,False,1
C1QTNF7,0.986997,False,-1
C21orf62,0.97318757,False,-1
C2CD2,0.1020945,False,-1
C4orf48,0.80854803,False,-1
C8orf34,0.50722116,False,-1
CA1,0.7207881,False,-1
CA2,0.5282242,False,-1
CA3,0.38888496,False,-1
CA4,0.35706073,False,-1
CA8,0.30404955,False,0
CABLES1,0.3817713,False,-1
CACNG4,0.412174,False,-1
CALR,0.6306584,False,-1
CAMK2G,0.40255868,False,-1
CAP1,0.018360775,False,0
CARD11,0.9991093,False,-1
CARD14,0.9718168,False,1
CASP8,0.9902998,False,-1
CBLB,0.66557026,False,-1
CCBE1,0.610575,False,-1
CCDC60,0.73555547,False,-1
CCK,0.77526116,False,-1
CCNG2,0.55190617,False,-1
CD226,0.9715465,False,1
CD247,0.36400896,False,-1
CD36,0.90898895,False,-1
CD96,0.8469329,False,-1
CDH10,0.47873262,False,-1
CDH12,0.6352648,False,-1
CDH13,0.6952541,False,1
CDH18,0.64307576,False,-1
CDH20,0.9293898,False,-1
CDH4,0.6819197,False,-1
CDH8,0.21926527,False,0
CDH9,0.70828235,False,-1
CDKN1B,0.9994392,False,-1
CDKN2A,0.940751,False,-1
CEACAM1,0.89439315,False,-1
CEBPB,0.8027913,False,-1
CEBPD,0.69450915,True,1
CFL2,0.99747306,False,1
CFLAR,0.9602138,False,1
CHRDL1,0.9035978,False,1
CHRM2,0.9874396,False,1
CHST9,0.9868688,False,-1
CHSY1,0.03272587,False,-1
CKS2,0.6031747,False,-1
CLCA4,0.49924377,False,-1
CLIC4,0.86431754,False,-1
CLMP,0.90935224,False,-1
CLNK,0.7673426,False,-1
CLSTN2,0.04880164,False,0
CLU,0.8000357,False,-1
CMKLR1,0.022807594,False,-1
CNN3,0.6363342,False,-1
CNOT8,0.6221859,False,-1
CNPY3,0.9961504,False,-1
CNR1,0.20256364,False,-1
