gene,score,validation,label
AATK,0.41162753,False,-1
ABCA10,0.5411511,False,-1
ABCB1,0.2625047,False,-1
ABLIM1,0.79480463,False,-1
ABR,0.60635805,False,-1
ACSL1,0.8758912,False,-1
ACSL5,0.86128044,False,-1
ACSM3,0.53473634,False,-1
ACSS3,0.9867932,False,-1
ACTA2,0.41483122,False,-1
ADAM12,0.9966132,False,1
ADAMTS15,0.50633186,False,-1
ADAMTS17,0.914036,False,-1
ADAMTS19,0.54095924,False,-1
ADAMTS6,0.25551197,False,-1
ADAMTS9,0.9913522,False,-1
ADGRD1,0.24893895,False,-1
ADRA1A,0.7189547,False,-1
AHCYL2,0.33348864,False,-1
AHR,0.4113158,False,-1
AKAP12,0.9330761,False,-1
ALDH1A2,0.992859,False,1
AMER2,0.93891305,False,-1
AMOTL1,0.9034821,False,1
AMZ1,0.37252104,False,-1
ANGPT2,0.22358415,False,-1
ANKFN1,0.13406257,False,-1
ANKRD44,0.9832307,False,-1
ANKS1A,0.90538234,False,-1
ANKUB1,0.34280676,False,-1
ANO6,0.48431772,False,-1
ANXA5,0.2189863,False,-1
APAF1,0.028636836,False,0
APMAP,0.19417779,True,1
AR,0.74915797,False,-1
ARHGAP15,0.27034754,False,-1
ARHGAP24,0.99280834,False,1
ARHGAP26,0.83077484,False,-1
ARHGAP29,0.8659042,False,-1
ARHGAP42,0.34352377,False,-1
ARHGAP6,0.90106016,False,-1
ARHGEF10L,0.31363976,False,-1
ARID3A,0.6036567,False,-1
ARID5A,0.41324097,False,-1
ARL5A,0.7010625,False,-1
ARMC3,0.3559655,False,-1
ASPH,0.36292955,False,-1
ATG16L2,0.3986236,False,-1
ATP1B3,0.97474027,False,-1
ATP2C2,0.9994337,False,-1
ATP7B,0.669844,False,-1
ATP8B1,0.41370943,False,-1
ATRNL1,0.94778925,False,-1
B2M,0.0013676767,False,0
B3GAT2,0.3328457,False,-1
B3GNT5,0.31862676,False,-1
BACH1,0.45825347,False,-1
BCAN,0.9922388,False,1
BCAR3,0.3971985,False,-1
BCL2,0.21062283,False,-1
BCL2L14,0.31811118,False,-1
BCL3,0.5884062,True,1
BCL6,0.8503928,False,1
BEND7,0.6975686,False,-1
BHLHE41,0.2178051,False,-1
BMPER,0.9922051,False,1
BRINP3,0.28916433,False,-1
BROX,0.1999568,False,-1
BTG1,0.16238478,False,-1
BTG3,0.34185418,False,-1
C11orf65,0.9967282,False,-1
C12orf75,0.12618779,False,-1
C1QL1,0.24961275,True,1
C1QTNF7,0.5568842,False,-1
C2CD2,0.7002129,False,-1
C8orf34,0.9369404,False,-1
CA4,0.4110827,False,-1
CACNG4,0.55028296,False,-1
CALD1,0.02172593,False,0
CALR,0.6612102,False,-1
CAMK2G,0.41119498,False,-1
CAP1,0.20670886,True,0
CBLB,0.81562525,False,-1
CC2D2B,0.99946386,False,-1
CCBE1,0.43690738,False,-1
CCDC50,0.2882366,False,-1
CCNE2,0.996736,False,1
CCNG2,0.38096923,False,-1
CD55,0.78101563,False,-1
CD63,0.9960353,False,1
CDH10,0.4125323,False,-1
CDH18,0.23541392,False,-1
CDH7,0.89731425,False,-1
CDKN1B,0.53751934,False,-1
CDKN2A,0.19914588,False,-1
CDR2L,0.25543228,False,-1
CEBPB,0.4200444,False,-1
CEBPD,0.36767533,True,1
CEMIP,0.2932198,False,-1
CEP152,0.37030682,False,-1
CFL2,0.9976035,False,1
CFTR,0.85048354,False,1
CHI3L1,0.9583167,False,-1
CHRM3,0.6314522,False,-1
CHRM5,0.2626697,False,-1
CHST8,0.26130384,False,-1
CHSY1,0.8034497,False,-1
CIITA,0.48022246,False,-1
CLCN5,0.63956624,False,-1
CLIC4,0.41482535,False,-1
CLMN,0.98664296,False,1
CLMP,0.3785367,False,-1
CLU,0.4150358,False,-1
CLUL1,0.77689093,False,-1
CMTM6,0.51739085,False,-1
CNR1,0.29999375,False,-1
CNTN3,0.4634045,False,-1
CNTN5,0.73824847,False,-1
CNTN6,0.30188847,False,-1
CNTNAP3,0.8830198,False,-1
COBLL1,0.81137514,False,-1
COL10A1,0.35565922,False,-1
COL11A1,0.9742512,False,1
COL12A1,0.9433802,False,1
COL21A1,0.9986125,False,-1
COL4A2,0.014514938,False,0
CP,0.00028907595,False,-1
CPT1A,0.2621969,True,1
CRB1,0.46476027,False,-1
CREB3L2,0.17804043,False,-1
CREB5,0.5072735,False,-1
CREBL2,0.9864677,False,-1
CREM,0.010915107,False,-1
CRH,0.29505643,False,-1
CRHBP,0.9956494,False,1
CRLF1,0.32549122,False,-1
CTSB,0.97841567,False,-1
CTSL,0.49078873,False,-1
CTSS,0.9926565,False,1
CUX2,0.69948506,False,-1
CYCS,0.99766016,False,1
DCC,0.20213705,False,0
DCHS2,0.9859709,False,1
DENND2A,0.8747483,False,-1
DENND3,0.2303479,False,-1
DEPTOR,0.67906326,True,1
DGKG,0.22669166,False,-1
DGKH,0.54125774,False,-1
DLGAP1,0.5860897,False,-1
DNAJA4,0.3744954,False,-1
DNAJB1,0.46800354,False,-1
DOCK11,0.76728684,False,-1
DOCK6,0.36490622,False,-1
DOK6,0.20628947,False,-1
DPYSL5,0.9961392,False,1
DRAM1,0.40113676,False,-1
DTHD1,0.96513647,False,-1
DUSP1,0.49176067,False,-1
DUSP10,0.42701226,False,-1
DUSP16,0.4919425,False,-1
DUSP5,0.71419907,False,-1
DYSF,0.99696356,False,1
ECM2,0.114565015,False,-1
EFCAB13,0.23657088,False,-1
EFNA5,0.39448982,False,1
EGLN3,0.3402474,False,-1
EGR1,0.030822206,False,-1
EGR3,0.92942405,False,-1
ELAVL2,0.9475859,False,-1
ELF1,0.5378063,False,-1
ELK3,0.9426381,False,-1
ELL2,0.8546791,False,-1
ELOVL5,0.8807745,False,-1
EML4,0.47229305,False,-1
ENO4,0.7501182,False,-1
ENPP2,0.9954145,False,1
EPHA3,0.10265526,False,0
EPHA5,0.52038693,False,-1
