gene,score,validation,label
A2M,0.8498205,False,-1
AATK,0.45992517,False,-1
ABCA2,0.9986035,False,1
ABCA6,0.7174994,False,-1
ABCC4,0.9960931,False,1
ABI3BP,0.7287767,False,-1
ABTB2,0.9999356,False,-1
ACACB,0.36479333,False,-1
ACP7,0.43135872,False,-1
ACSBG1,0.0009908628,False,0
ACSL1,0.7460002,False,-1
ACSS1,0.35124967,False,-1
ACVR1,0.44979253,False,-1
ACVR1C,0.41957098,False,-1
ADAM12,0.9983943,False,1
ADAMTS1,0.99986374,False,1
ADAMTS14,0.4681922,False,-1
ADAMTS18,0.95557415,False,-1
ADAMTS4,0.9893532,False,1
ADAMTSL3,0.9104505,False,-1
ADARB2,0.009251779,False,0
ADGRE2,0.23633572,False,-1
ADGRL2,0.48544267,False,-1
ADIPOR2,0.97498983,False,-1
AGMO,0.6602319,False,-1
AHCYL1,0.9980083,False,1
AHCYL2,0.74575144,False,-1
AIF1L,0.4083437,False,-1
AKNA,0.35186666,False,-1
AMER2,0.2900659,False,-1
AMOTL2,0.729018,False,-1
AMZ2,0.46545494,False,-1
ANGPT2,0.5367077,False,-1
ANKRD18A,0.27703166,False,-1
ANKRD44,0.588812,False,-1
ANKS1A,0.1734866,False,-1
ANKUB1,0.7959056,False,-1
ANLN,0.56248796,False,-1
ANO4,0.97914964,False,1
APCDD1,0.9921216,False,1
APOLD1,0.7612138,False,-1
ARHGAP15,0.80271846,False,-1
ARHGAP22,0.3340502,False,-1
ARHGAP24,0.99990726,True,1
ARHGEF1,0.35285974,False,-1
ARRDC2,0.7300362,False,-1
ARRDC3,0.6025101,False,-1
ARSI,0.99801636,False,-1
ASPA,0.99371874,False,1
ATP10B,0.578994,False,-1
ATP11C,0.30561048,False,-1
ATP1B3,0.9271467,False,-1
ATRNL1,0.014302216,False,-1
B2M,0.009300386,False,0
BAALC,0.23803838,False,-1
BACE2,0.26208922,False,-1
BACH1,0.66010743,False,-1
BARD1,0.26403445,False,-1
BAZ1A,0.68267524,False,-1
