gene,score,validation,label
A2M,0.04892432,False,-1
ABCA1,0.75135404,False,-1
ABCA9,0.41466188,False,-1
ABHD3,0.5326784,False,-1
ACKR3,0.4384761,False,-1
ACSL1,0.38764554,False,-1
ACVR1,0.08236088,False,-1
ADAM28,0.587116,False,-1
ADAP2,0.7048884,False,-1
ADCY7,0.5609341,False,-1
ADGRA3,0.5135721,False,-1
ADGRE2,0.55442476,False,-1
ADGRE5,0.95963204,False,-1
ADGRG1,0.7646869,False,-1
ADGRL2,0.48289207,False,-1
ADIPOR2,0.68799424,False,-1
ADM,0.6133245,False,-1
ADPGK,0.09074146,False,-1
AHCYL2,0.5400154,False,-1
AIDA,0.579168,False,-1
AKAP13,0.01591341,False,-1
AKNA,0.58403474,False,-1
AKR1A1,0.4995193,False,-1
ALDH1A1,0.67645234,False,-1
ALOX5,0.60280615,False,-1
ALPK1,0.3947548,False,-1
AMZ1,0.53039354,False,-1
AMZ2,0.17269903,False,-1
ANKRD37,0.57180697,False,-1
ANKRD44,0.91408795,False,-1
ANKS1A,0.44816577,False,-1
ANKUB1,0.8237575,False,-1
ANTXR2,0.003246496,False,-1
ANXA1,0.10073624,False,-1
AOAH,0.5195366,False,-1
APAF1,0.0035376407,False,0
APBB1IP,0.47812554,False,-1
APMAP,0.039653253,True,1
APOE,0.6068352,False,-1
APOL6,0.27168408,False,-1
ARHGAP15,0.5655471,False,-1
ARHGAP18,0.48012844,False,-1
ARHGAP22,0.29854187,False,-1
ARHGAP25,0.46283773,False,-1
ARHGAP26,0.4782643,False,-1
ARHGAP27,0.44124913,False,-1
ARHGAP30,0.69601876,False,-1
ARHGAP31,0.50254154,False,-1
ARHGAP6,0.4597255,False,-1
ARHGDIB,0.8574661,False,-1
ARHGEF10L,0.7115752,False,-1
ARHGEF6,0.50461227,False,-1
ARID3A,0.4602591,False,-1
ARID5A,0.5229912,False,-1
ARL15,0.543567,False,-1
ARL5A,0.94378626,False,-1
ARRB2,0.99211156,False,1
ARRDC3,0.33721033,False,-1
ASPH,0.5728825,False,-1
ATF3,0.7957138,False,-1
ATOH8,0.48763835,False,-1
ATP11C,0.49378815,False,-1
ATP1B3,0.31205025,False,-1
ATP8B4,0.4277445,False,-1
AXL,0.5157125,False,-1
B2M,0.09295289,False,0
B3GNT5,0.5643789,False,-1
B4GALT1,0.5239473,False,-1
BACH1,0.54543006,False,-1
BAG3,0.7078936,False,-1
BAZ1A,0.9184809,False,-1
BCAR3,0.48883092,False,-1
BCAS2,0.72481996,False,-1
BCL2,0.5580099,False,-1
BCL2A1,0.5269582,False,-1
BCL6,0.6821469,False,1
BEST1,0.98612726,False,1
BHLHE40,0.49010786,False,-1
BHLHE41,0.24335133,False,-1
BIN2,0.9930307,False,1
BLNK,0.9472767,False,1
BMP2K,0.42863062,False,-1
BNC2,0.19764617,False,-1
BTG1,0.8095294,False,-1
BTG2,0.5911635,False,-1
BTG3,0.5172966,False,-1
BTK,0.6024783,False,1
C1QA,0.9834758,False,1
C1QB,0.9628703,False,-1
C1QC,0.7879686,False,-1
C1orf162,0.5863191,False,-1
C3,0.47427574,False,-1
C3AR1,0.9299126,False,1
C5,0.5597843,False,-1
C5AR1,0.27611464,False,-1
C5AR2,0.41084537,False,-1
CABLES1,0.2686706,False,-1
CALCR,0.32614097,False,-1
CAMKMT,0.9980799,False,1
CAP1,0.54304314,True,0
CARD8,0.96088755,False,1
CASP10,0.00966111,False,-1
CASP4,0.98976773,False,1
CASP8,0.44841602,False,-1
CBLB,0.011984281,False,-1
CCDC152,0.6321161,False,-1
CCDC50,0.5156232,False,-1
CCL3,0.86493903,False,-1
CCL4,0.5489517,False,-1
CCL4L2,0.7045055,False,-1
CCND3,0.114896566,True,0
CD14,0.7230687,False,-1
CD163L1,0.48559314,False,-1
CD36,0.47213358,False,-1
CD4,0.0026011742,False,0
CD44,0.9819276,False,-1
CD53,0.98886,False,-1
CD55,0.36396652,False,-1
CD69,0.5859547,False,-1
CD74,0.6047846,True,1
CD83,0.66809523,False,-1
CD84,0.4969149,False,-1
CD86,0.99340534,False,1
CD9,0.47454545,False,-1
CD93,0.8286208,False,-1
CDC14A,0.5351743,False,-1
CDH23,0.5373126,False,-1
CDK19,0.4560628,False,-1
CDKN1A,0.6348635,False,-1
CDKN1B,0.5634565,False,-1
CEBPA,0.50215966,False,-1
CEBPB,0.90866625,False,-1
CEBPD,0.9303281,False,1
CENPP,0.51138884,False,-1
CFLAR,0.99492407,False,1
CH25H,0.98993695,False,1
CHD7,0.21433955,False,-1
CHST11,0.46439964,False,-1
CHST15,0.8925778,False,-1
CHSY1,0.71312064,False,-1
CIITA,0.9195621,False,-1
CKS2,0.69843346,False,-1
CLCN5,0.53829217,False,-1
CLEC2B,0.66779196,False,-1
CLEC7A,0.9979674,False,1
CLIC4,0.41423124,False,-1
CMKLR1,0.13480432,False,-1
CMTM6,0.43659148,False,-1
CMTM7,0.01694662,False,-1
CNTLN,0.5970899,False,-1
COL27A1,0.5188395,False,-1
COLEC12,0.00981548,False,-1
COLGALT1,0.5250669,False,-1
COTL1,0.99391174,False,1
CPED1,0.9885018,False,-1
CPM,0.7239727,False,-1
CPNE8,0.41255975,False,-1
CPT1A,0.9853859,False,1
CPVL,0.5645819,True,1
CR1,0.9873685,False,1
CREB3L2,0.11152632,False,-1
CREB5,0.68146545,False,-1
CREBL2,0.14421345,False,-1
CREM,0.3073251,False,-1
CSF1R,0.882356,False,-1
CSGALNACT1,0.5744243,False,-1
CSRNP1,0.5879492,False,-1
CTSB,0.42704752,False,-1
CTSC,0.0026354915,False,0
CTSL,0.65999025,False,-1
CTSS,0.99545276,False,1
CTSZ,0.5551198,False,-1
CTTNBP2NL,0.37745982,False,-1
CUX2,0.4964107,False,-1
CXCL12,0.5181913,False,-1
CXCL16,0.5174127,False,-1
CXCR4,0.8921889,False,-1
CYBA,0.56540275,False,-1
CYBRD1,0.5204459,False,-1
CYCS,0.9736293,False,1
CYFIP1,0.4517487,False,-1
CYSLTR1,0.5674734,False,-1
CYTH4,0.9951462,False,1
CYTIP,0.15649942,False,0
DAAM2,0.49496982,False,-1
DDIT4,0.62649393,False,-1
DDX21,0.5289692,False,-1
DDX60,0.57379806,False,-1
DDX60L,0.33564892,False,-1
DENND3,0.5089668,False,-1
DEPTOR,0.9544983,False,1
DHRS3,0.50215,False,-1
DIAPH2,0.5041046,False,-1
DISC1,0.5910781,False,-1
DISP1,0.6251572,False,-1
DLEU7,0.75630945,False,-1
DNAH11,0.4422324,False,-1
DNAJA4,0.43163082,False,-1
DNAJB1,0.89152646,False,-1
DOCK2,0.98909795,False,1
DOCK5,0.4595453,False,-1
DOCK8,0.99169415,False,1
DRAM1,0.5725074,False,-1
DTNA,0.538866,False,-1
DUSP1,0.8599355,False,-1
DUSP10,0.5994664,False,-1
DUSP22,0.989655,False,1
EAF2,0.40113023,False,-1
EDA,0.61370283,False,-1
EGLN3,0.50150174,False,-1
EGR1,0.38424385,False,-1
EGR3,0.16472575,False,-1
EHBP1L1,0.97653484,False,-1
EHD4,0.5067284,False,-1
EIF4A3,0.68759495,False,-1
ELF1,0.003589328,False,-1
ELK3,0.84466463,False,-1
ELL2,0.27619925,False,-1
ELOVL5,0.6893471,False,-1
EMB,0.6223113,False,-1
EMILIN2,0.39250275,False,-1
EML4,0.5447003,False,-1
ENO4,0.120636,False,-1
ENOX2,0.5637098,False,-1
ENTPD1,0.31348738,False,-1
EPAS1,0.47878483,False,-1
EPS8,0.5650964,False,-1
EPSTI1,0.52829516,False,-1
ERRFI1,0.4783064,False,-1
ESR1,0.25978974,False,-1
ESRRB,0.4975543,False,-1
ESYT2,0.37906542,False,-1
ETS2,0.6632337,True,1
ETV6,0.20058855,False,-1
EYA2,0.5535905,False,-1
EZR,0.035021693,True,1
F13A1,0.69146234,False,-1
FAM107B,0.5788504,False,-1
FAM110B,0.19531997,False,-1
FAM111A,0.5813771,False,-1
FAM126A,0.99491817,False,1
FAM149A,0.1723978,False,-1
FAM20A,0.56235427,False,-1
FCER1G,0.985669,False,-1
FCGBP,0.80037427,False,-1
FCGR2A,0.98042595,False,1
FGD2,0.99230725,False,-1
FGD3,0.5101327,False,-1
FGD4,0.010146726,False,-1
FGD6,0.54651827,False,-1
FGF13,0.6454571,False,-1
FGF14,0.26363477,True,1
FGL2,0.5815173,False,-1
FGR,0.53515446,False,-1
FILIP1L,0.5496701,False,-1
FLI1,0.9940978,False,-1
FLT1,0.40614432,False,-1
FLVCR2,0.5693691,False,-1
FMN1,0.13993593,False,-1
FMNL1,0.00072968344,False,0
FMNL3,0.5004677,False,-1
FMO4,0.35661307,False,-1
FNDC3B,0.09081361,False,-1
FOS,0.87138885,False,1
FOSB,0.29072323,False,1
FOSL2,0.16600518,False,0
FOXP2,0.075036645,False,0
FPR1,0.8626065,False,-1
FPR3,0.5264736,False,-1
FRMD3,0.5724842,False,-1
FRMD4B,0.5950442,False,-1
FSCN1,0.7595058,False,-1
FTH1,0.5456749,False,-1
FTL,0.018646833,False,0
GAB3,0.88509375,False,-1
GABPB1,0.4567629,False,-1
GADD45B,0.5542824,False,-1
GALM,0.48735586,False,-1
GALNT10,0.51835054,False,-1
GALNTL6,0.48689172,False,-1
GAS2L3,0.37643397,False,-1
GBE1,0.00518989,False,0
GBP2,0.52424604,False,-1
GCNT2,0.7551505,False,-1
GIMAP4,0.52528006,False,-1
GIMAP8,0.9541727,False,-1
GK,0.61580557,False,-1
GLA,0.0008986575,False,0
GLUL,0.6729395,False,-1
GLYATL1,0.99775714,False,-1
GNA13,0.2760402,False,-1
GNB4,0.46506193,False,-1
GNG12,0.44528788,False,-1
GPAT3,0.5138717,False,-1
GPCPD1,0.5262037,False,-1
GPNMB,0.61912656,False,-1
GPR183,0.5255106,False,-1
GPR34,0.48459196,False,-1
GPRIN3,0.5840027,False,-1
GRAMD1A,0.5196303,False,-1
GRB2,0.97577626,False,1
GRID2,0.32458806,False,-1
GRN,0.5464631,False,-1
GSN,0.9943592,False,1
GYPC,0.4751179,False,-1
HAVCR2,0.4932838,False,-1
HBEGF,0.27588207,False,-1
HCK,0.99426574,False,1
HCLS1,0.55787903,False,-1
HDAC9,0.95864326,False,-1
HEATR5A,0.55396676,False,-1
HECA,0.076561004,False,-1
HERPUD1,0.15273798,False,0
HES1,0.5132404,False,-1
HGF,0.5559038,False,-1
HIF1A,0.21618296,False,-1
HK2,0.5004567,True,0
HLA-A,0.5343036,False,-1
HLA-DPA1,0.6489225,False,-1
HLA-DPB1,0.009757238,False,0
HLA-DQA1,0.9552539,False,1
HLA-DQB1,0.47066593,False,-1
HLA-DRA,0.8887948,False,-1
HLA-DRB1,0.5275078,False,-1
HLA-DRB5,0.5592969,False,-1
HLA-E,0.92805237,False,-1
HMGCS1,0.5631756,False,-1
HMOX1,0.91301376,False,-1
HNF4G,0.38067523,False,-1
HNMT,0.7648434,False,-1
HPGDS,0.64639866,False,-1
HRH1,0.99972683,False,-1
HS3ST4,0.0057487884,False,-1
HSP90AA1,0.81577027,False,-1
HSPA1A,0.9230813,False,-1
HSPA5,0.6675657,False,-1
HSPB1,0.93961287,False,-1
HSPBAP1,0.5171222,False,-1
HSPD1,0.9153845,False,-1
HSPH1,0.9495381,False,1
ICAM1,0.061611556,False,-1
ID2,0.6990119,False,-1
IDI1,0.6634553,False,-1
IER2,0.76411295,False,-1
IER3,0.09706218,False,0
IER5,0.783877,False,-1
IFI44,0.54629874,False,-1
IFI44L,0.5145254,False,-1
IFIH1,0.5266601,False,-1
IFNGR1,0.19361906,False,-1
IGF1,0.555692,False,-1
IGSF21,0.42340878,False,-1
IKZF1,0.0598986,False,-1
IL10RA,0.59508675,False,-1
IL12RB2,0.5406093,False,-1
IL13RA1,0.008023963,False,0
IL15,0.362778,False,-1
IL15RA,0.58269197,False,-1
IL17RA,0.033639282,False,0
IL18,0.72589076,False,-1
IL1RAP,0.9796504,False,1
IL4R,0.73780626,False,-1
IL6ST,0.76144075,True,1
INPP5D,0.58066106,False,-1
INSIG1,0.8836312,False,1
IQGAP1,0.0072991317,False,-1
IQGAP2,0.5825727,False,-1
IRAK2,0.43954244,False,-1
IRAK3,0.33094546,False,-1
IRF3,0.89923143,False,1
IRF5,0.47982737,False,-1
IRF7,0.521531,True,1
IRF8,0.7672664,False,1
ISG20,0.13290796,False,0
ITGA4,0.6315071,False,-1
ITGB5,0.09628133,False,-1
ITPR2,0.98814195,False,1
JAK3,0.6534136,False,-1
JDP2,0.8852313,False,-1
JUN,0.9417359,False,1
JUNB,0.8600978,False,1
KAT2B,0.5611656,False,-1
KCNE1,0.47322866,False,-1
KCNIP1,0.45247284,False,-1
KCNJ5,0.55231565,False,-1
KCNK13,0.618723,False,-1
KCNK6,0.57035625,False,-1
KCNQ1,0.9410126,False,1
KCNQ3,0.6431876,False,-1
KCTD12,0.592872,False,-1
KHDRBS2,0.9897552,False,1
KHDRBS3,0.31041327,False,-1
KIF13B,0.51317203,False,-1
KLF2,0.9758824,False,1
KLF3,0.5143495,False,-1
KLF4,0.60487777,False,-1
KLF6,0.37989527,False,0
KLHL6,0.5385698,False,-1
KYNU,0.55015767,False,-1
LAP3,0.67185134,False,-1
LAPTM5,0.69746214,False,-1
LAT2,0.48317882,False,-1
LATS2,0.45935607,False,-1
LCP1,0.97743815,False,-1
LCP2,0.08146286,False,-1
LDLR,0.5554904,False,-1
LDLRAD3,0.57286197,False,-1
LGMN,0.56470436,False,-1
LHFPL2,0.016276544,False,0
LILRB1,0.58818036,False,-1
LIMD1,0.01382269,False,-1
LIMK2,0.03825628,False,-1
LITAF,0.29975438,False,-1
LMNA,0.5114832,False,-1
LMO2,0.53133583,False,-1
LOXL3,0.5021274,False,-1
LPAR1,0.53075033,False,-1
LPAR6,0.66806227,False,-1
LPCAT2,0.3982427,False,-1
LPGAT1,0.47826558,False,-1
LRCH1,0.85396904,False,-1
LRP10,0.9987317,False,-1
LRRK1,0.01252726,False,0
LRRK2,0.50336134,False,-1
LST1,0.39478588,False,-1
LTBP2,0.9920021,False,1
LY86,0.945777,False,-1
LYN,0.38743007,True,1
LYVE1,0.7137705,False,-1
MAF,0.69816357,False,-1
MAFB,0.9625358,False,-1
MAFF,0.16561528,False,-1
MAGT1,0.29114297,False,-1
MAMDC2,0.5878362,False,-1
MAML2,0.03268524,False,-1
MAML3,0.5703899,False,-1
MAN1A1,0.02162657,False,-1
MAN2A1,0.52926224,False,-1
MAP3K1,0.0025217251,False,0
MAP3K14,0.00091532426,False,0
MAP3K8,0.4842996,False,-1
MBP,0.56145376,False,-1
MCL1,0.056603353,False,-1
MCTP1,0.5553425,False,-1
MDFIC,0.45205194,False,-1
MEF2A,0.99773276,False,1
METRNL,0.46600798,False,-1
MFHAS1,0.44857526,True,0
MFSD4B,0.43194535,False,-1
MGAM,0.6313214,False,-1
MGAT1,0.13597913,False,-1
MGAT4A,0.56218964,False,-1
MGST2,0.46354246,False,-1
MITF,0.1882748,False,-1
MKNK1,0.5873346,False,-1
MOB3B,0.37555268,False,-1
MPPED2,0.568857,False,-1
MR1,0.5278942,False,-1
MRC1,0.30101356,False,-1
MS4A4A,0.9934093,False,1
MS4A6A,0.6870916,False,-1
MSI2,0.9921713,False,1
MSR1,0.8015582,False,1
MT2A,0.5297957,False,-1
MTHFD1L,0.991102,False,1
MTSS1,0.5530406,False,-1
MX1,0.523536,True,1
MX2,0.5201167,True,0
MYLIP,0.81263536,False,-1
MYO1E,0.65465254,False,-1
MYO1F,0.45329568,False,-1
NABP1,0.045763567,False,-1
NAMPT,0.5182346,False,1
NCF2,0.36741474,False,-1
NCF4,0.55689263,False,-1
NCK2,0.5328141,True,0
NCKAP1L,0.51948905,False,-1
NDRG1,0.012410435,False,0
NEDD9,0.43875587,False,-1
NEK6,0.1151955,False,-1
NET1,0.014637257,False,-1
NFAM1,0.52537274,False,-1
NFATC1,0.5043074,False,-1
NFATC2,0.91249496,False,1
NFE2L3,0.3657531,False,-1
NFIL3,0.28564316,False,-1
NFKB2,0.4232902,False,-1
NFKBIA,0.20779452,False,0
NFKBID,0.7635602,False,-1
NFKBIZ,0.32511142,False,-1
NHSL1,0.54778194,False,-1
NINJ1,0.5592163,False,-1
NLRC5,0.8861075,False,-1
NLRP1,0.5839095,False,-1
NLRP3,0.5533702,False,-1
NMI,0.5709414,False,-1
NOTCH1,0.9991811,False,1
NOTCH2,0.00018492574,False,0
NR4A1,0.30360144,False,0
NR4A2,0.4981518,False,-1
NR4A3,0.8514977,False,1
NRP1,0.07324868,False,-1
NRP2,0.34465495,False,-1
NUPR1,0.6008958,False,-1
OAS1,0.50441533,False,-1
OGFRL1,0.008584341,False,-1
OLFML2B,0.8742467,False,-1
OLR1,0.9916785,False,1
OPHN1,0.5751871,False,-1
OPRM1,0.6574279,False,-1
OSBPL11,0.9156461,False,-1
OTUD1,0.6874059,False,-1
OTULIN,0.44034272,False,-1
OVOL2,0.37537533,False,-1
P2RX4,0.47424075,False,-1
P2RY12,0.9386539,False,1
P2RY13,0.53819704,False,-1
P2RY14,0.762616,False,-1
P2RY6,0.54029775,False,-1
