gene,score,validation,label
ABR,0.1489576,True,0
ADCY2,0.18057688,False,0
ADRA1B,0.08306774,False,0
ARHGAP26,0.37685204,True,0
ASIC2,0.08124398,False,0
ATRNL1,0.111840926,False,0
BCL11B,0.26787084,False,0
BDNF,0.124543615,False,0
BHLHE40,0.23544714,False,0
BMPER,0.07078674,False,0
BMPR1B,0.23029947,False,0
BSG,0.21347913,False,0
BTG1,0.21510854,False,0
CA10,0.6752676,True,0
CABLES1,0.5020818,True,0
CACNA2D3,0.09391822,False,0
CALR,0.11469572,False,0
CCK,0.055577926,True,0
CCNG2,0.120506845,True,0
CDH20,0.23238514,False,0
CEBPB,0.09097514,False,0
CEBPD,0.11646667,False,0
CHST8,0.13531125,False,0
CLU,0.062125843,False,0
CNR1,0.11256335,False,0
CNTNAP5,0.098514676,False,0
COBLL1,0.57142216,True,0
COL12A1,0.25944635,False,0
CTSB,0.12747756,False,0
CUX2,0.0169625,False,0
CYCS,0.23465471,False,0
DAZAP2,0.12891643,False,0
DCC,0.47363585,False,0
DDAH1,0.3626094,False,0
DLGAP2,0.06874961,False,0
DUSP1,0.15896109,False,0
DUSP6,0.23061897,False,0
EFNA5,0.13933814,False,0
EGR1,0.040583048,False,0
EGR3,0.18826869,False,0
ETS2,0.26824167,False,0
ETV6,0.056736335,True,0
FAT3,0.09389238,False,0
FAU,0.21061684,True,0
FKBP5,0.13743238,False,0
FOS,0.24352038,False,0
FOSL2,0.3032071,False,0
FOXP2,0.44457895,False,0
FRMD6,0.45701903,True,0
FSTL4,0.13286081,False,0
GALNT18,0.058162607,False,0
GRID2,0.14002681,False,0
GRIN2A,0.19103675,False,0
GRK5,0.2991267,False,0
GSG1L,0.1890283,False,0
HDAC9,0.30521664,False,0
HECW1,0.21266352,False,0
HOMER1,0.3056722,False,0
HSP90AA1,0.111393094,False,0
HSPA1A,0.065054655,False,0
HSPA5,0.22942764,False,0
HSPH1,0.21463273,False,0
HTR1F,0.19988798,False,0
ID2,0.19089298,True,0
IER5,0.07311387,False,0
IGSF21,0.13235779,False,0
IQCJ-SCHIP1,0.74024665,True,0
JAG1,0.22305746,True,0
JDP2,0.2578248,True,0
JUN,0.075356424,False,0
JUNB,0.13044591,False,0
KCNC2,0.16736625,False,0
LDB2,0.1664637,True,0
LDLRAD4,0.08019016,False,0
LRFN5,0.21719447,False,0
LRRC4C,0.24518801,True,0
MAML3,0.17561013,False,0
MAPK4,0.18251485,False,0
MIDN,0.23397137,False,0
MSI2,0.13068633,False,0
MTUS2,0.37319532,True,0
NAT8L,0.26845762,False,0
NCALD,0.104349166,False,0
NEDD9,0.3047216,False,0
NINJ1,0.11929568,False,0
NPAS4,0.09787789,False,0
NR4A1,0.11785518,True,0
NR4A3,0.23641229,False,0
OGFRL1,0.17766505,False,0
PCED1B,0.12261616,False,0
PDE10A,0.2576894,False,0
PDE7B,0.081870794,True,0
PDGFRB,0.11609103,False,0
PDZRN3,0.19622654,False,0
PHACTR1,0.09715141,False,0
PIM3,0.2542104,False,0
PLXNA4,0.055683132,False,0
POU2F2,0.2589796,False,0
PPARD,0.056917105,False,0
PRKAG2,0.10500485,False,0
PTCHD1,0.13996841,False,0
PTMA,0.16803594,False,0
PTPRG,0.7116787,True,1
PTPRO,0.22865593,False,0
RARB,0.6362081,False,0
RASD1,0.04500762,False,0
RBFOX3,0.019442689,True,0
RGS6,0.07495943,False,0
RPL35A,0.26578173,False,0
RPLP1,0.13812935,False,0
RPS20,0.11705634,False,0
RPS4X,0.26158416,False,0
SCG2,0.10904201,False,0
SEMA6D,0.2997496,True,0
SERPINE2,0.29422405,False,0
SHISA9,0.14357543,True,0
SLC38A2,0.30484217,False,0
SLC6A6,0.1772838,False,0
SLIT2,0.041264884,False,0
SMAD3,0.12978354,False,0
SPRY4,0.27086565,True,0
ST6GAL1,0.45217294,False,0
ST6GALNAC5,0.1956356,False,0
SULF2,0.22992714,True,0
SV2C,0.20686102,False,0
SYN3,0.14947246,False,0
SYNJ2,0.55862886,True,0
SYNM,0.22548093,False,0
TENM2,0.066292375,True,0
TENM4,0.18857768,False,0
TLE1,0.31922078,False,0
TMEM132D,0.044094156,False,0
TMSB10,0.2170784,False,0
TMSB4X,0.2065413,True,0
TMTC1,0.26754567,True,0
TOB1,0.29254907,False,0
TPT1,0.21585065,False,0
TRIB2,0.31351393,False,0
TRPM3,0.4863487,False,0
TRPS1,0.26815915,False,0
TSHZ2,0.96714336,False,1
UBA52,0.21957655,False,0
UBC,0.050984547,False,0
UBL5,0.06527181,False,0
VGF,0.22226392,False,0
VWC2L,0.7090652,True,0
XYLT1,0.531881,False,0
ZBTB7C,0.16560097,False,0
ZMAT4,0.049319826,False,0
ZNF804B,0.6649589,True,0
ZSCAN31,0.1430151,False,0
