gene,score,validation,label
ABHD3,0.38845894,True,0
ACTA2,0.39671183,False,0
ADAMTS19,0.3344695,False,0
ADGRD1,0.37178543,False,0
ADGRL2,0.32468614,False,0
AMOT,0.35425225,True,0
AMOTL1,0.3348603,False,0
ANKRD30B,0.40992233,False,0
ARHGAP25,0.3647901,False,0
ARHGAP26-AS1,0.3635439,False,0
ARHGEF28,0.35896343,False,0
ARID3A,0.3390668,False,0
ARRDC3,0.38394603,True,0
ATP8B1,0.38313785,False,0
BACE2,0.37259048,True,0
BCL6,0.37421414,True,0
BDNF,0.3867739,False,0
BDNF-AS,0.4176136,False,0
BHLHE40,0.36982742,True,0
BHLHE41,0.35448554,False,0
BMP2K,0.36258644,False,0
BMX,0.33709368,False,0
BRINP3,0.36774126,False,0
BSG,0.383056,False,0
BTG1,0.36560038,False,0
BTG2,0.36012152,False,0
CA1,0.35544977,False,0
CA10,0.3445316,False,0
CALCRL,0.3421714,True,0
CALN1,0.37098545,False,0
CAMK2G,0.3580084,False,0
CCK,0.3644482,True,0
CCNG2,0.42841706,True,0
CD63,0.4362678,False,0
CDH10,0.36881185,False,0
CDH12,0.36690646,False,0
CDH4,0.38322437,False,0
CDKN1A,0.40115815,False,0
CDKN1B,0.3483285,False,0
CEBPB,0.42619064,True,0
CEP128,0.3386368,False,0
CHODL,0.35729462,False,0
CHST11,0.41684604,False,0
CHST15,0.40704867,False,0
CHST8,0.33807918,False,0
CLMP,0.31328952,False,0
CLU,0.34221953,False,0
CNOT8,0.37569907,True,0
CNTNAP3,0.3713018,True,0
COBLL1,0.3546233,False,0
COL18A1,0.3537253,True,0
COL23A1,0.43272313,False,0
COL4A2,0.38544607,False,0
COLGALT2,0.34525162,False,0
CREB5,0.33331615,False,0
CREM,0.34108242,False,0
CRIM1,0.32612264,True,0
CRLF1,0.36601767,False,0
CRYAB,0.3688329,False,0
CYCS,0.3896306,False,0
DDAH2,0.3640649,False,0
DDX21,0.34465712,False,0
DHCR24,0.3626192,False,0
DLGAP2,0.40480354,False,0
DNAJA4,0.34928963,False,0
DNAJB1,0.3461136,False,0
DOK6,0.35845894,False,0
DSCAM,0.3530784,True,1
DTNA,0.35156462,False,0
DUSP1,0.37168062,False,0
DUSP2,0.3777072,True,0
DUSP5,0.37403643,False,0
DUSP6,0.37128314,False,0
EFCAB14-AS1,0.37033147,False,0
EGR1,0.36040726,False,0
EGR3,0.35815534,True,0
ELOVL5,0.36329952,False,0
ELOVL7,0.34547982,False,0
EMX2,0.40994608,False,0
ENPEP,0.37615582,False,0
EPHA5,0.3730946,False,0
ERRFI1,0.38975197,True,0
ESYT2,0.3317205,False,0
FAM149A,0.34080932,False,0
FAS,0.35948482,False,0
FGF14,0.3375949,False,0
FMNL3,0.4436821,False,0
FOS,0.36732623,False,0
FOSB,0.3777312,False,0
FOSL2,0.3838741,False,0
FOXC1,0.34999007,False,0
FOXP2,0.3384003,False,0
FRAS1,0.36246827,False,0
FRMD6,0.35578698,False,0
FRMPD2,0.36483416,False,0
FTH1,0.38017526,False,0
FTL,0.371021,False,0
GABRG1,0.37994418,True,0
GAD2,0.3843306,False,0
GADD45A,0.3821573,False,0
GADD45B,0.37692553,False,0
GADD45G,0.37646243,True,0
GAS6-AS1,0.17385678,False,0
GHR,0.4015964,True,0
GNB4,0.33553517,True,0
GNG4,0.43019524,False,0
GOLIM4,0.41903678,False,0
GPRIN3,0.54495895,False,1
GRAMD1C,0.38370875,True,0
GREM2,0.34836647,False,0
GRID2,0.3475928,False,0
GRIK3,0.3839393,False,0
HGF,0.32519916,False,0
HOMER1,0.39252645,False,0
HRH1,0.384093,False,0
HS3ST2,0.35956302,False,0
HS6ST2,0.255762,True,0
HSP90AA1,0.4093251,False,0
HSPA1A,0.3309084,False,0
HSPA5,0.3562528,True,0
HSPB1,0.42605942,False,0
HSPD1,0.38984182,False,0
HSPH1,0.37967804,False,0
HTR1F,0.32207093,False,0
ID2,0.35566443,False,0
IER2,0.37357414,False,0
IER5,0.34908822,False,0
IGFBP2,0.40763435,True,0
IKZF2,0.3368588,False,0
INSIG1,0.41497177,False,0
IQCJ-SCHIP1,0.35440737,False,0
JUN,0.35434702,True,0
JUNB,0.3722755,False,0
KAZN,0.34451172,False,0
KCNQ1OT1,0.38516232,True,0
KIAA1217,0.38912025,False,0
KLF6,0.35206223,False,0
LAMB1,0.34677598,False,0
LDLR,0.40475288,False,0
LDLRAD3,0.49079937,False,1
LDLRAD4,0.40466434,False,0
LGI1,0.29280904,False,0
LINC00511,0.35063693,False,0
LINC01301,0.31181133,False,0
LINC01504,0.37832436,True,0
