gene,score,validation,label
ABI3BP,0.0069244714,False,0
ACSS1,0.9289249,False,0
ACVR1,0.20039816,False,0
ADAMTS1,0.6266867,False,0
ADAMTS19,0.6266867,False,0
ADAMTS9-AS2,0.007894643,False,0
ADCY7,0.8925407,False,1
ADCY8,0.62668663,False,0
ADD3-AS1,0.62668663,False,0
ADGRD1,0.006885985,False,0
ADGRL2,0.0042926567,False,0
ADRA1A,0.006924458,False,0
AHR,0.008591848,True,0
AKAP13,0.0052649616,True,0
ALOX12P2,0.62668663,False,0
AMER2,0.62668663,False,0
AMOTL1,0.0068859127,True,0
AMOTL2,0.0052649593,False,0
ANKS1A,0.006924452,True,0
ANO3,0.0031706567,False,0
AQP4,0.004197133,False,0
ARHGAP22,0.0031706202,False,0
ARHGAP24,0.9289244,False,0
ARHGAP25,0.23455445,True,0
ARHGAP29,0.004292661,False,0
ARHGAP31,0.62668663,False,0
ARHGDIB,0.89253956,False,0
ARHGEF6,0.0026528754,False,0
ARID5A,0.008591373,False,0
ARL5A,0.0052649616,False,0
ARRDC2,0.6266867,True,0
ARSJ,0.62668663,False,0
ASIC2,0.0043068696,True,0
ASPH,0.0068859193,False,0
ATOX1,0.0052649714,False,0
ATP10A,0.6266867,False,0
ATP1B3,0.62668663,False,0
ATP2C2,0.0042926585,False,0
ATRNL1,0.006885828,False,0
BACH1,0.0053711385,False,0
BCAR3,0.32465562,True,0
BCAS2,0.025619652,False,0
BCL11B,0.6266867,False,0
BCL2,0.003170646,False,0
BCL2A1,0.006924439,False,0
BCL6,0.0041971267,False,0
BDNF,0.025619658,False,0
BHLHE40,0.23455445,False,0
BHLHE41,0.24219695,True,0
BMP5,0.0026528272,False,0
BMP6,0.6266867,False,0
BNC2,0.0043709837,False,0
BOK-AS1,0.005264964,True,0
BTBD11,0.7052004,False,0
BTG1,0.025619652,False,0
BTG2,0.23455445,False,0
BVES-AS1,0.0042926567,False,0
C11orf65,0.017761428,False,0
C1QA,0.004370991,False,0
C4orf48,0.0042926543,False,0
C5AR1,0.004370988,False,0
CA8,0.9289244,True,0
CACNB2,0.0023236976,False,0
CADPS2,0.0031706202,False,0
CALCRL,0.0036252302,False,0
CAV3,0.62668663,False,0
CBLB,0.62668663,False,0
CD14,0.004370988,False,0
CDC14A,0.006924481,True,0
CDC42EP1,0.004370988,False,0
CDCP1,0.025619658,False,0
CDH9,0.0031706293,True,0
CDKN2A,0.00477575,False,0
CEBPB,0.0042926585,False,0
CENPP,0.62668663,False,0
CFAP54,0.6266867,True,0
CFL2,0.007894759,False,0
CHRM5,0.0038408139,False,0
CHSY1,0.89253944,False,0
CIITA,0.004370991,False,0
CLMN,0.62668663,True,0
CLTCL1,0.6266867,False,0
CNR1,0.004307332,False,0
CNTNAP3,0.8925407,False,0
COL10A1,0.892541,True,0
COL1A2,0.0052649616,False,0
COL25A1,0.005097525,False,0
COL4A2,0.62668663,False,0
COL9A2,0.6266867,False,0
COLGALT2,0.0069244485,False,0
CRB1,0.004292661,False,0
CREB3L2,0.006924478,False,0
CREB5,0.0042926543,False,0
CREM,0.6266867,False,0
CRHBP,0.23455445,True,0
CSGALNACT1,0.0052649663,True,0
CSRNP1,0.23455445,False,0
CSRP1,0.0041971365,False,0
CSRP2,0.20039816,False,0
CTTNBP2NL,0.066924855,False,0
CYCS,0.025619628,True,0
CYP1B1-AS1,0.008591299,False,0
DAB1,0.25849763,False,0
DCHS2,0.8925402,False,0
DDAH2,0.020678807,False,0
DDX3Y,0.6266867,False,0
DENND2C,0.025619647,True,0
DGKG,0.0031706658,False,0
DHCR24,0.6266867,False,0
DHRS3,0.2963577,False,0
DLC1,0.0031706688,False,0
DLGAP1,0.0023236643,False,0
DLX6-AS1,0.005371175,False,0
DNAJA4,0.23455445,False,0
DNAJB1,0.0042926567,True,0
DNM3OS,0.025619652,False,0
DPP10-AS1,0.6266867,False,0
DPYSL5,0.62668663,True,0
DSC2,0.025619652,False,0
DTNA,0.0042926567,True,0
DUSP1,0.23455445,False,0
DUSP16,0.0050386665,False,0
DUSP2,0.0041133855,False,0
DUSP22,0.005864972,False,0
DUSP5,0.11315857,True,0
DUSP6,0.23455445,False,0
DYSF,0.010802987,False,0
EDNRB-AS1,0.004197125,True,0
EFS,0.004197125,False,0
EGLN3,0.006885835,False,0
EGR1,0.025619647,False,0
EGR3,0.23455445,False,0
EIF5A2,0.0042926567,True,0
EMX2,0.007894711,True,0
ESR2,0.92892426,False,1
ESYT2,0.025619652,False,0
ETS1,0.62668663,True,0
ETV1,0.0062136436,True,0
FA2H,0.007894677,False,0
FAM167A-AS1,0.004197123,False,0
FAM78A,0.007894703,True,0
FBXL7,0.00586978,False,0
FER1L6-AS1,0.0085909385,True,0
FGD5,0.00437099,False,0
FGFR1,0.62668663,False,0
FILIP1,0.0043073567,False,0
FILIP1L,0.0068858513,True,0
FKBP5,0.0042926525,False,0
FLI1,0.6266867,False,0
FLJ46284,0.004370988,False,0
FOS,0.23455445,False,0
FOSB,0.23455445,False,0
FOSL2,0.36962837,False,0
FSCN1,0.62668663,False,0
FSHR,0.004370991,True,0
FSTL4,0.62668663,True,0
FSTL5,0.0053711617,True,0
GABRA2,0.89254135,False,0
GAD1,0.0053711925,False,0
GAD2,0.21981497,False,0
GADD45A,0.10115529,False,0
GADD45G,0.025619652,True,0
GALR1,0.6266867,False,0
GIMAP7,0.00437099,True,0
GLRA1,0.0026529282,False,0
GLUL,0.0068857437,True,0
GM2A,0.004370988,True,0
GMPR,0.6266867,False,0
GNAL,0.004292661,False,0
GPAT3,0.62668663,False,0
GPC4,0.0026528877,True,0
GRB10,0.8925409,False,0
GRIK1,0.00537121,False,0
GRIK2,0.002323797,False,0
GSG1L,0.003170684,False,0
GYG2P1,0.6266867,False,0
HCN1,0.0031706446,False,0
HECA,0.62668663,True,0
HELB,0.62668663,False,0
HERC2P3,0.0041971267,False,0
HHAT,0.004197133,False,0
HHIP,0.0042926585,False,0
HKDC1,0.6266867,False,0
HLA-A,0.62668663,True,0
HLA-B,0.0042926567,False,0
HMGCS1,0.025619665,False,0
HNMT,0.9289247,True,0
HOMER1,0.23455445,False,0
HRH1,0.62668663,False,0
HS3ST2,0.10115529,False,0
HSD11B1,0.008591726,False,0
HSP90AA1,0.004292661,False,0
HSPA1A,0.2345545,False,0
HSPA5,0.2345545,False,0
HSPH1,0.0042926567,False,0
ID2,0.2345545,False,0
IER5,0.0069244714,False,0
IFIT3,0.02561964,False,0
IGFBP3,0.0026529157,False,0
IL13RA1,0.0043709837,False,0
IL1B,0.006924478,False,0
INSIG1,0.025619665,False,0
IQCA1,0.62668663,False,0
IQCH-AS1,0.004370991,False,0
ITGA1,0.0042926567,False,0
ITGA6,0.9289242,True,1
ITPRIP,0.2345545,False,0
JUNB,0.24219695,False,0
KANK1,0.0052649593,False,0
KANK3,0.005264964,False,0
KAT2B,0.6266867,False,0
KCND2,0.0046673417,False,0
KCNE1,0.0026528283,False,0
KCNJ2,0.0052649686,False,0
KCNK2,0.0036248928,False,0
KCNN3,0.6748772,False,0
KCNQ3,0.005989811,False,0
KCNQ5,0.0031706158,False,0
KCNS3,0.004370988,False,0
KCNT2,0.0036250423,False,0
KCTD8,0.006458809,False,0
KHDRBS3,0.6266867,False,0
KIAA1217,0.0023236996,False,0
KIF26B,0.62668663,False,0
KLF2,0.0052649616,True,0
KLHL1,0.0042926525,True,0
LATS2,0.004370988,False,0
LBH,0.20039816,False,0
LDB3,0.004370982,False,0
LDLRAD3,0.62668663,False,1
LDLRAD4,0.0023238147,False,0
LGI3,0.007894747,True,0
LGR6,0.2345545,False,0
LIMS1,0.0069244546,False,0
LINC00159,0.004197133,False,0
LINC00271,0.025619665,True,0
LINC00276,0.0043709837,False,0
LINC00278,0.0041971365,True,0
LINC00536,0.004197133,False,0
LINC00598,0.004197125,True,0
LINC00861,0.10518785,False,0
LINC00877,0.0026529182,True,0
LINC00880,0.004197129,False,0
LINC00924,0.007894867,True,0
LINC01091,0.0041971267,True,0
LINC01117,0.004306579,False,0
LINC01241,0.025619652,False,0
LINC01376,0.8925402,False,0
LINC01416,0.0078947395,True,0
LINC01505,0.2854639,True,0
LIPE,0.02561967,False,0
LMCD1-AS1,0.17190376,False,0
LMNA,0.62668663,False,0
LMO2,0.004197133,False,0
LOXL3,0.025619658,False,0
LRRC32,0.62668663,False,0
LRRC3B,0.0031706386,False,0
LRRC8A,0.0042926567,False,0
LRRN1,0.0052649565,False,0
LURAP1L,0.62668663,False,0
LY86-AS1,0.6266867,True,0
MAF,0.0053712353,False,0
MAGI1-AS1,0.0042926567,False,0
MALRD1,0.004197119,False,0
MAML3,0.20039816,True,0
MAN1A1,0.0052649663,False,0
MAOB,0.21837114,False,0
MAP3K1,0.0041971384,True,0
MBNL3,0.02561967,False,0
MCL1,0.62668663,False,0
MCM3,0.62668663,False,0
MEF2A,0.892541,False,0
MEGF11,0.6266867,False,0
MEIS1,0.0068858643,False,0
MERTK,0.020666208,False,0
METAP1D,0.007894714,False,0
MIATNB,0.025619658,False,0
MIDN,0.23455445,False,0
MMP14,0.004370991,False,0
MPPED2,0.0031706262,False,0
MRC1,0.0047755865,True,0
MRC2,0.6266867,False,0
MSI2,0.0031706507,False,0
MSX1,0.005880612,False,0
MTSS1,0.62668663,False,0
MYO1E,0.004197129,False,0
MYO5B,0.0053711385,False,0
MYO7A,0.0026529157,False,0
MYOCD,0.005780474,False,0
MYOF,0.6266867,True,0
MYT1,0.62668663,False,0
NAALADL2-AS3,0.00437099,False,0
NAT8L,0.0052649616,False,0
NCALD,0.6266867,False,0
NCK2,0.0031706567,True,0
NDE1,0.62668663,False,0
NEDD9,0.12654105,False,0
NELL2,0.0031706414,False,0
NETO2,0.89254034,False,0
NFAM1,0.0026529257,False,0
NFATC1,0.012992173,False,0
NFIL3,0.62668663,False,0
NFKBIA,0.0058993734,False,0
NKAIN4,0.6266867,False,0
NOD1,0.0151305,False,0
NOS1,0.005371123,False,0
NOTCH1,0.62668663,False,0
NPAS4,0.23455445,False,0
NR4A1,0.23455445,False,0
