gene,score,validation,label
ACVR1C,0.7853979,False,0
ADAM12,0.1406892,False,0
ADAMTS17,0.76089305,False,0
ADAMTS3,0.04826053,False,0
ADAMTSL3,0.045437,False,0
ADCY8,0.16913061,True,0
ADRA1B,0.14128011,False,0
AKAP12,0.11925613,False,0
ATF3,0.1367265,False,0
BCAS1,0.18624093,False,0
BDNF,0.07259191,True,0
BTG2,0.12664928,True,0
C5AR1,0.13330469,False,0
CALN1,0.13247572,False,0
CDH10,0.086156994,False,0
CDKN1A,0.010065958,False,0
CHST15,0.10179823,False,0
CLMP,0.5791645,False,0
CNTNAP3,0.60032976,False,0
CREB5,0.0044947425,False,0
CREM,0.10833539,False,0
CYCS,0.11976383,False,0
DCC,0.20891976,True,0
DSCAM,0.7504307,True,1
DUSP1,0.09549915,True,0
DUSP2,0.110321335,False,0
DUSP5,0.054908235,False,0
EGR1,0.045205284,True,0
EGR3,0.06319392,True,0
EIF4A3,0.1354159,False,0
ELOVL5,0.14164536,False,0
ENPEP,0.118082345,False,0
ERRFI1,0.11770742,False,0
FGF10,0.042481333,False,0
FLNA,0.10114343,False,0
FLRT2,0.13859323,False,0
FOS,0.031911075,True,0
FOSB,0.050709177,False,0
FOSL2,0.11012855,False,0
GADD45A,0.1196932,False,0
GADD45B,0.11411757,False,0
GEM,0.072626874,False,0
GLRA2,0.56966275,False,0
GLUL,0.17007482,False,0
GRIK3,0.16895162,False,0
HMGCS1,0.005943855,False,0
HOMER1,0.1002266,False,0
HRH1,0.071304895,False,0
HS3ST2,0.11827014,False,0
HSP90AA1,0.06770742,False,0
HSPA1A,0.054047115,False,0
HSPA5,0.16567935,False,0
HSPH1,0.18541944,True,0
HTR1F,0.18011823,False,0
ID2,0.08078643,False,0
INHBA,0.12951258,False,0
IQCJ-SCHIP1,0.11007069,False,0
ITPRIP,0.14578655,False,0
JUN,0.09177108,False,0
JUNB,0.08184539,True,0
KCNH5,0.80478036,True,0
KCNH7,0.6462676,False,0
KCNIP1,0.43359095,False,0
KHDRBS3,0.07855582,False,0
KIF26B,0.18693647,False,0
LDLR,0.104017586,False,0
LIPC,0.13728645,False,0
LMCD1,0.27939144,True,0
MAML3,0.060392845,True,0
MEF2A,0.18585072,False,0
MEGF11,0.21609639,False,0
MFSD2A,0.08389692,False,0
MIDN,0.05506776,False,0
MIR4435-2HG,0.1354617,True,0
NCALD,0.9388483,False,0
NPAS4,0.0737334,False,0
NR4A1,0.05662221,False,0
NR4A3,0.07412805,False,0
NTNG1,0.116419286,False,0
NXPH1,0.1451868,True,0
PAM,0.6393709,True,0
PCDH15,0.1187396,False,0
PIM1,0.13741602,False,0
PIM3,0.10342363,False,0
PLEKHH2,0.85979396,False,1
PLPPR1,0.16793,True,0
PLXNA4,0.056188572,False,0
PPARD,0.0903339,True,0
PPARG,0.16428058,False,0
PPP1R15A,0.13156009,False,0
PRRX1,0.86638725,True,0
PTGS2,0.13007632,False,0
PTPRT,0.8039079,False,0
RARB,0.30047667,False,0
REL,0.16075547,False,0
RGS2,0.12834986,False,0
RNF19A,0.15578191,False,0
RRAD,0.024424577,False,0
SCG2,0.053041045,False,0
SDK1,0.4893452,False,0
SEMA5A,0.7366461,False,0
SLC2A3,0.12836495,False,0
SLC6A8,0.08953788,False,0
SNTB1,0.5469138,False,0
SORBS2,0.32622123,True,0
SORCS3,0.121938996,False,0
SOX4,0.2595326,False,0
SOX6,0.2214649,False,0
STK32B,0.25370917,True,0
SULF2,0.18874039,False,0
TMEM132C,0.16525224,False,0
TMEM132D,0.075861834,False,0
TMTC1,0.005466723,False,0
TMTC2,0.7413599,False,0
TOX,0.7729937,False,0
TRIB1,0.12992306,False,0
UBASH3B,0.09211846,False,0
UBC,0.061438434,False,0
VGF,0.083698705,False,0
VIPR2,0.6899686,False,0
VWC2L,0.8014316,True,0
ZMAT4,0.88718647,False,0
ZNF331,0.09268622,False,0
