gene,score,validation,label
ABCA10,0.17344265,False,0
ABCA9,0.033955086,True,0
ABHD3,0.32021514,False,0
ABLIM1,0.78187317,False,0
ABR,0.2789615,False,0
ACP7,0.075643666,False,0
ACSBG1,0.038495284,False,0
ACSS1,0.061070915,False,0
ACTA2,0.73700017,True,0
ACVR1,0.056362715,False,0
ACVR1C,0.26225504,False,0
ADAM12,0.26964912,False,0
ADAMTS19,0.2615587,False,0
ADAMTS20,0.19704269,False,0
ADAMTS9,0.14633489,True,0
ADAMTS9-AS2,0.24514218,False,0
ADAMTSL1,0.10564609,True,0
ADAMTSL3,0.056691177,False,0
ADARB2,0.062581606,False,0
ADCY8,0.2587773,False,0
ADD3-AS1,0.07720775,False,0
ADGRA3,0.03294527,False,0
ADGRE2,0.26768747,False,0
ADGRL2,0.24942459,False,0
ADIPOR2,0.30222806,False,0
ADM,0.036291733,False,0
ADRA1B,0.08732705,False,0
ADRB2,0.046798807,False,0
AFAP1L1,0.054649163,False,0
AGA,0.061151054,False,0
AHCYL1,0.021439884,False,0
AHCYL2,0.060898777,False,0
AHNAK,0.0663397,False,0
AHR,0.054890595,False,0
AKAP12,0.28866258,False,0
AKAP13,0.26785603,False,0
AKNA,0.583147,True,0
ALK,0.050621435,False,0
ALX3,0.050202955,False,0
AMER2,0.06743282,False,0
AMOT,0.025201079,False,0
AMOTL1,0.27288517,False,0
AMZ1,0.9981262,False,1
ANK1,0.65643585,False,0
ANKRD44,0.87636364,False,1
ANKS1A,0.039376937,False,0
ANO4,0.21843185,False,0
ANO6,0.2842494,False,0
AOAH,0.23830126,False,0
APAF1,0.2351522,False,0
APBB1IP,0.3986385,True,0
APLF,0.04648604,False,0
APOL6,0.25535,False,0
AQP4-AS1,0.27406937,False,0
ARHGAP10,0.25225613,False,0
ARHGAP18,0.2429876,False,0
ARHGAP22,0.11546509,False,0
ARHGAP25,0.25577608,True,0
ARHGAP26,0.89786875,False,0
ARHGAP26-AS1,0.2545672,False,0
ARHGAP29,0.27013034,False,0
ARHGDIB,0.045266706,False,0
ARHGEF1,0.10786019,False,0
ARHGEF10L,0.39027005,True,0
ARHGEF26,0.07721021,False,0
ARHGEF6,0.082435615,False,0
ARL15,0.05612494,False,0
ARL5A,0.25728714,False,0
ARRDC3,0.20440045,False,0
ASB4,0.023155892,False,0
ASIC4,0.18850213,False,0
ASPH,0.045676187,True,0
ATF5,0.06551825,False,0
ATG16L2,0.035601266,False,0
ATP10A,0.25432852,False,0
ATP11C,0.48597988,True,0
ATP13A4,0.040881082,False,0
ATP1B3,0.2964711,False,0
