gene,score,validation,label
ABHD3,0.0579964,False,0
ABI3BP,0.09594392,False,0
ABR,0.27350423,True,0
ADAMTS9-AS2,0.096364565,False,0
ADCY2,0.536468,False,0
ADRA1A,0.14806534,False,0
AKAP12,0.13485974,False,0
ALK,0.17162362,False,0
ANKRD44,0.308981,False,1
AR,0.04460869,False,0
ARHGAP24,0.21841417,False,0
ARHGAP29,0.1565415,False,0
ARHGAP6,0.49017975,False,0
ARHGEF10L,0.36468455,True,0
ARID5A,0.20252685,False,0
ARL15,0.14750741,False,0
ASPH,0.33154064,True,0
ATF3,0.15154804,False,0
ATP10A,0.2202279,False,0
ATP1B3,0.24289642,False,0
ATRNL1,0.10904762,False,0
B2M,0.43744823,True,0
BAALC,0.18375097,False,0
BAALC-AS1,0.39987284,True,0
BACE2,0.2085297,False,0
BACH1,0.29771253,True,0
BAG3,0.3846031,True,0
BCAS2,0.19015819,False,0
BCL2,0.19848871,False,0
BCL6,0.17880705,False,0
BHLHE40,0.23494026,False,0
BHLHE41,0.14658497,False,0
BMP2K,0.12824026,False,0
BMPR1B,0.05434074,True,0
BRINP3,0.1690984,False,0
BTG1,0.20794585,False,0
BTG2,0.18332079,False,0
BTG3,0.20354845,False,0
C11orf65,0.19654234,False,0
CA8,0.15846747,False,0
CALN1,0.11950889,False,0
CASP7,0.54676116,True,0
CCBE1,0.11158241,False,0
CCK,0.2601794,False,0
CCNG2,0.131463,False,0
CD63,0.13539761,False,0
CDH10,0.12298476,False,0
CDH12,0.45891052,True,0
CDH18,0.13305695,False,0
CDH6,0.11138465,False,0
CDKN1A,0.3853622,False,0
CDKN1B,0.21794304,False,0
CEBPB,0.06339722,False,0
CEMIP,0.13956882,False,0
CEP128,0.13576373,False,0
CHSY3,0.43157,True,0
CLIC4,0.29825503,False,0
CLMP,0.21451077,False,0
CLU,0.20039874,False,0
CNR1,0.1985656,False,0
CNTN3,0.3462568,True,0
CNTN5,0.04984519,False,0
CNTN6,0.115367144,False,0
CNTNAP3,0.36131802,False,0
CNTNAP5,0.40530002,False,0
COL11A1,0.1728174,False,0
COL4A1,0.15992051,False,0
COL4A2,0.44922903,False,0
COL5A3,0.29824996,False,0
CPED1,0.23863915,False,0
CRB1,0.2879675,True,0
CREB5,0.07572462,False,0
CRTC3-AS1,0.13841282,True,0
CRYAB,0.06291121,True,0
CSRNP1,0.26072958,False,0
CTNNA2,0.98902494,False,1
CTTNBP2NL,0.19062337,False,0
CUX2,0.11037242,False,0
CYCS,0.4228097,False,0
CYP39A1,0.27425078,True,0
DCC,0.14429674,False,0
DCLK2,0.44105303,True,0
DDAH1,0.18710382,False,0
DEPTOR,0.16520396,False,0
DLGAP1,0.35880697,False,0
DLX6-AS1,0.28823718,True,0
DNAJA4,0.1515577,True,0
DNAJB1,0.17116967,False,0
DOCK11,0.19189489,False,0
DOK6,0.21269564,True,0
DTNA,0.14358412,False,0
DUSP1,0.1536885,False,0
DUSP5,0.38119212,True,0
DYSF,0.23862308,False,0
EFNA5,0.09304989,False,0
EGFEM1P,0.16054407,False,0
EGR1,0.10400223,True,0
EGR3,0.14380445,False,0
ELF1,0.27169985,False,0
ELL2,0.19984557,False,0
ELOVL5,0.09756184,False,0
EML4,0.35233513,True,0
EMP3,0.1602718,False,0
EPHA3,0.46304384,True,0
EPHA6,0.16675025,False,0
ERRFI1,0.20556416,True,0
ETV6,0.13396302,True,0
EYA4,0.107035294,True,0
FAM149A,0.065916315,False,0
FAM217A,0.18441218,False,0
FAT1,0.19223668,False,0
FAU,0.40957287,True,0
FGF13,0.50233734,True,0
FGF14,0.141059,False,0
FGFR1,0.1758682,False,0
FIGN,0.13314499,False,0
FILIP1L,0.18262573,False,0
FNDC3B,0.1555941,False,0
FOS,0.08955318,False,0
FOSB,0.0992916,False,0
FOSL2,0.18780674,False,0
FOXP2,0.27314326,True,0
FRMPD4,0.14717782,False,0
FSTL4,0.11176749,False,0
FTL,0.21213324,False,0
GABRG3,0.10814533,False,0
GAD1,0.32736745,True,0
GAD2,0.38487855,False,0
GADD45B,0.20467861,False,0
GADD45G,0.21029124,False,0
GEM,0.21425366,False,0
GHR,0.39898974,False,0
GNA14,0.4611593,True,0
GNG12-AS1,0.42483643,False,0
GNG4,0.12865874,False,0
GPR149,0.2958608,False,0
GPR174,0.18232606,False,0
GRB10,0.12068585,False,0
GRID2,0.35228056,False,0
GRIK2,0.1547672,False,0
GRIN2A,0.15553908,False,0
GRIP1,0.06827161,True,0
GSG1L,0.10360468,False,0
HBEGF,0.17908187,False,0
HDAC9,0.11737056,False,0
HECA,0.20132346,False,0
HERPUD1,0.1414055,False,0
HLA-A,0.41193357,False,0
HMGCS1,0.110662475,False,0
HOMER1,0.19247265,False,0
HS3ST2,0.23311847,False,0
HS3ST4,0.1673463,False,0
HS3ST5,0.35377643,False,0
HS6ST3,0.45864004,True,0
HSP90AA1,0.20686321,False,0
HSPA1A,0.122029364,False,0
HSPB1,0.04225736,False,0
HSPD1,0.1290517,False,0
HSPE1-MOB4,0.012738992,True,0
HSPH1,0.14276247,False,0
HTR1F,0.13201655,False,0
IER5,0.44317675,False,0
IGF1,0.18451741,False,0
IGSF6,0.15277296,False,0
IKZF2,0.2816005,True,0
IL1RAPL2,0.09435625,False,0
IL6ST,0.4292833,True,0
INPP4B,0.12020053,False,0
IQCJ-SCHIP1,0.3875837,True,0
IRF8,0.28170225,False,0
ITGA1,0.47966373,False,0
ITGA8,0.14364196,False,0
ITPR2,0.34890613,True,0
JAM2,0.1903439,False,0
JDP2,0.46961012,False,0
JUN,0.08321997,False,0
JUNB,0.1718048,True,0
KCNB2,0.11715596,False,0
KCNC2,0.17052284,False,0
KCNH5,0.47201896,True,0
KCNH7,0.33434254,False,0
KCNIP1,0.17161627,False,0
KCNK2,0.41588736,True,0
KCNMB4,0.23452272,True,0
KCNQ3,0.4616764,True,0
KCNQ5,0.30256125,False,0
KCNT2,0.22324151,True,0
KHDRBS2,0.12085424,False,0
KIAA1217,0.38747147,False,0
KIF20B,0.4998903,False,0
KIF26B,0.12968384,False,0
KITLG,0.4628368,True,0
