gene,score,validation,label
A2M,0.6495448,False,-1
ABCA1,0.5201433,False,-1
ABCA10,0.6099597,False,-1
ABCA2,0.9847216,False,1
ABCA6,0.57440877,False,-1
ABCA8,0.5750792,True,1
ABCA9,0.45146823,False,-1
ABCB1,0.6418364,False,-1
ABCC4,0.97920394,False,1
ABCC9,0.9098019,False,1
ABCG2,0.96031135,False,1
ABHD15,0.688177,False,-1
ABHD3,0.6153233,False,-1
ABI3,0.6184286,False,1
ABI3BP,0.77248013,False,-1
ABLIM1,0.23664866,False,-1
ABR,0.08203756,False,-1
ABTB2,0.4968851,False,-1
ACACB,0.58988583,False,-1
ACAD10,0.4446477,False,-1
ACADL,0.51402754,False,-1
ACAN,0.5457844,False,-1
ACER2,0.65301085,False,-1
ACKR1,0.97603023,False,1
ACKR3,0.57714903,False,-1
ACSBG1,0.0104713775,False,0
ACSL1,0.6369312,False,-1
ACSL5,0.9144935,False,-1
ACSM5,0.8975258,False,-1
ACSS1,0.59053,False,-1
ACSS3,0.7171278,False,-1
ACVR1,0.468569,False,-1
ACVR1C,0.5644809,False,-1
ACVRL1,0.66090375,False,-1
ADA,0.6168284,False,-1
ADAM12,0.89736134,False,1
ADAM28,0.5582329,False,-1
ADAMTS1,0.9106163,False,1
ADAMTS12,0.412764,False,-1
ADAMTS17,0.54466796,False,-1
ADAMTS19,0.47472835,False,-1
ADAMTS3,0.59541076,True,1
ADAMTS4,0.86170495,False,1
ADAMTS6,0.5900729,False,-1
ADAMTS9,0.8524879,False,-1
ADAMTS9-AS1,0.5221534,False,-1
ADAMTS9-AS2,0.24060465,False,-1
ADAMTSL1,0.030759085,False,0
ADAMTSL2,0.581451,False,-1
ADAMTSL3,0.0058895913,False,-1
ADAP2,0.8676507,False,-1
ADARB2,0.62381715,True,0
ADCY10P1,0.16152753,False,-1
ADCY2,0.9774648,False,1
ADCY7,0.56594867,False,-1
ADCY8,0.426481,False,-1
ADD3-AS1,0.527103,False,-1
ADGRD1,0.4414559,False,-1
ADGRE2,0.3673023,False,-1
ADGRE5,0.5292652,False,-1
ADGRF5,0.4013728,False,-1
ADGRG1,0.41498154,False,-1
ADGRG5,0.7936573,False,-1
ADGRG6,0.60482216,False,-1
ADGRL2,0.013012476,False,-1
ADGRL4,0.6574666,False,-1
ADGRV1,0.6192993,False,-1
ADIPOR2,0.6580695,False,-1
ADIRF,0.027630182,False,-1
ADM,0.56403,False,-1
ADPGK,0.5948525,False,-1
ADRA1A,0.43891734,False,-1
ADRA1B,0.5511413,False,-1
AEBP1,0.98473454,False,1
AFAP1L1,0.49207893,False,-1
AFAP1L2,0.3178338,False,-1
AGA,0.621691,False,-1
AGBL1,0.20347755,False,1
AGMO,0.5261394,False,-1
AHCYL1,0.9737212,False,1
AHCYL2,0.8303429,False,-1
AHNAK,0.9414551,False,1
AIDA,0.6283648,False,-1
AIF1L,0.62368006,False,-1
AIM2,0.49956533,False,1
AKAP12,0.22869498,False,-1
AKAP13,0.53688395,False,-1
AKNA,0.59583575,False,-1
ALDH1A1,0.55677664,False,-1
ALDH1A2,0.7249657,False,1
ALDH1L1,0.61274993,False,1
ALK,0.04429465,False,0
ALOX15B,0.573177,False,-1
ALOX5,0.77075577,False,-1
ALOX5AP,0.96781933,False,1
ALPK1,0.57094866,False,-1
ALPK3,0.57618773,False,-1
ALPL,0.8897195,False,-1
AMER2,0.45520496,False,-1
AMOT,0.79427695,False,-1
AMOTL1,0.73785925,False,1
AMZ1,0.22750212,False,-1
ANGPT1,0.52752095,False,-1
ANGPT2,0.61876917,False,-1
ANGPTL4,0.5994441,False,-1
ANK1,0.58501005,False,-1
ANKDD1A,0.6134688,False,-1
ANKFN1,0.7711902,False,-1
ANKRD20A11P,0.62313414,False,-1
ANKRD36BP1,0.47832215,False,-1
ANKRD37,0.5447187,False,-1
ANKRD44,0.29088414,False,-1
ANKRD65,0.42781034,False,-1
ANKS1A,0.6479119,False,-1
ANKUB1,0.5950182,False,-1
ANLN,0.5658674,False,-1
ANO3,0.005487741,False,-1
ANO4,0.76222366,True,1
ANO6,0.3515739,False,-1
ANOS1,0.73981535,False,-1
ANTXR2,0.08901837,False,-1
ANXA1,0.5535822,False,-1
ANXA2,0.60830635,False,-1
ANXA5,0.67715037,False,-1
AOAH,0.017569829,False,-1
APAF1,0.0074880337,False,0
APBB1IP,0.60997236,False,-1
APCDD1,0.9856655,False,1
APLF,0.48581618,False,-1
APLNR,0.008667521,False,0
APMAP,0.9816558,False,1
APOC1,0.5007426,False,-1
APOD,0.70158315,False,-1
APOE,0.7823519,False,-1
APOL6,0.48809507,False,-1
APOLD1,0.41373584,False,-1
AQP4-AS1,0.6498931,False,-1
AR,0.8513552,False,-1
