gene,score,validation,label
ABCA1,0.6586324,False,-1
ADA,0.56666577,False,-1
ADAMTS3,0.65619,True,1
AEBP1,0.8813709,False,1
AKAP13,0.63087475,False,-1
ANGPTL4,0.9292098,False,-1
ANO6,0.84757954,False,-1
APLNR,0.62050694,True,0
AR,0.8051158,False,-1
ARHGAP24,0.9398072,False,1
ARID5A,0.92276883,False,-1
B2M,0.0017529724,False,0
BAALC-AS1,0.6652303,False,-1
BARD1,0.5467712,False,-1
BCL6,0.6840474,False,1
BRINP3,0.6195197,False,-1
C1R,0.6604342,False,-1
C4orf19,0.88298243,False,-1
CACHD1,0.99983394,False,-1
CACNB2,0.53905356,False,-1
CASP7,0.5285724,False,-1
CCL2,0.84832805,False,-1
CDH10,0.74404836,False,-1
CEBPB,0.8496006,False,-1
CEBPD,0.95388937,False,1
CHI3L1,0.93559,False,-1
CHST11,0.616941,False,-1
CHST3,0.6081763,False,-1
CLIC4,0.9244468,False,-1
COLEC12,0.91298276,False,-1
CPE,0.61772674,False,-1
CRIM1,0.57670236,False,-1
CRISPLD1,0.6639292,False,-1
CRYAB,0.6580763,False,-1
CTNNA2,0.616655,False,1
DBI,0.8696311,False,-1
DPP10-AS1,0.64955497,False,-1
DPP10-AS3,0.62297183,False,-1
DTNA,0.91368234,False,-1
DUSP1,0.86436224,False,-1
DUSP22,0.98915464,False,1
EFNA5,0.8543226,False,1
EGR1,0.870823,False,-1
ELL2,0.9122295,False,-1
ELOVL5,0.5828351,False,-1
EMP1,0.8249458,False,-1
EPAS1,0.92236865,False,-1
EPHA6,0.5737942,False,-1
EPHB1,0.03833524,False,0
ETV6,0.9450217,False,-1
FAM189A2,0.6547947,False,-1
FGD4,0.6170734,False,-1
FLRT2,0.6354114,False,-1
FN1,0.6339387,False,-1
FNDC3B,0.6446446,False,-1
FOS,0.9554456,False,1
FOSL2,0.008213813,False,0
FSTL1,0.5288202,False,-1
GADD45B,0.87696385,False,-1
GALNT18,0.6333672,False,-1
GEM,0.612534,False,-1
GFAP,0.70187515,False,-1
GFRA1,0.78495276,True,1
GHR,0.65639895,False,-1
GJA1,0.9947337,False,-1
GNA14,0.60582566,False,-1
GPC5,0.55003965,False,-1
GPC6,0.9724901,False,1
GRIA1,0.66918427,False,1
GRM3,0.61706775,False,-1
HELB,0.80331075,False,-1
HERC2P3,0.7083101,False,-1
HES1,0.88768655,False,-1
