gene,score,validation,label
ADGRL2,0.4650596,False,-1
AKAP13,0.62993956,False,-1
ALDH1A1,0.45212948,False,-1
AMER2,0.46748638,False,-1
ARHGAP29,0.2582515,False,-1
ASPH,0.45198745,False,-1
BDNF,0.5681159,False,-1
BHLHE40,0.37357807,False,-1
BHLHE41,0.39911225,False,-1
CADPS2,0.41589454,False,-1
CALN1,0.6507644,False,-1
CASC15,0.39849433,False,-1
CD53,0.5204306,False,-1
CDH10,0.4128985,False,-1
CDH12,0.58053476,False,-1
CDH18,0.49158907,False,-1
CDH8,0.6123956,True,0
CDH9,0.23059997,False,-1
CEMIP,0.56231815,False,-1
CFL2,0.47469795,True,1
CHSY3,0.47630525,False,-1
CLU,0.27361226,False,-1
CNR1,0.26427886,False,-1
CNTN3,0.6263561,False,-1
CNTN5,0.47329313,False,-1
CREB5,0.87585574,False,-1
CRIM1,0.47816917,False,-1
CTNNA2,0.98100716,False,1
CTSB,0.45322117,False,-1
CUX2,0.6491345,False,-1
CYCS,0.64840347,False,1
DENND2A,0.5992074,False,-1
DNAJA4,0.31973404,False,-1
DOK6,0.5004815,False,-1
DSCAM,0.89849174,False,-1
DTNA,0.64982563,False,-1
DUSP1,0.9978371,False,-1
EGR1,0.23850036,False,-1
EGR3,0.15742256,False,-1
ENPEP,0.4576626,False,1
EPHA3,0.023421733,False,0
EPHA5,0.39974293,False,-1
EPHB1,0.057392407,False,0
FGF10,0.92130566,False,1
FGF14,0.9658726,False,1
FOS,0.2673988,True,1
FOSL2,0.5632273,False,0
FOXP2,0.2625877,False,0
FRMPD4,0.912499,False,-1
FSCN1,0.46551582,False,-1
FSTL5,0.49603504,False,-1
GPM6A,0.9743833,False,1
GREM2,0.245216,True,1
GRM1,0.8316385,False,1
GRM3,0.6033769,False,-1
GULP1,0.93362474,False,1
HCN1,0.49582547,False,-1
HDAC9,0.4131514,False,-1
HECW1,0.48870534,False,1
HS3ST4,0.47915256,False,-1
HSP90AA1,0.82334876,False,-1
HSPA1A,0.8972988,False,-1
HSPB1,0.8210109,False,-1
HSPH1,0.8271129,False,1
HTR1F,0.4690969,True,1
ID2,0.2764944,False,-1
IL1RAPL2,0.4063541,False,-1
JUN,0.7356996,False,1
JUNB,0.8597433,False,1
KCNB2,0.5340924,False,-1
KCNC2,0.57667124,False,-1
KCNH5,0.562579,False,-1
KCNH7,0.5679152,False,-1
KCNH8,0.5760491,False,-1
KCNQ3,0.45849496,False,-1
KCNQ5,0.4266274,False,-1
KCTD8,0.43465567,False,-1
KHDRBS2,0.45975846,False,1
LHFPL2,0.18348308,False,0
LINGO2,0.48344904,True,0
LRCH1,0.46197313,False,-1
LRFN5,0.46423882,False,-1
MEF2A,0.5611844,False,1
MEGF10,0.9218256,False,1
MET,0.5960982,True,1
MGAT4C,0.58566654,False,-1
MMP16,0.8867052,False,-1
MORC4,0.53924096,False,-1
MYL12B,0.291689,False,-1
NAT8L,0.35964242,False,-1
NCALD,0.48272645,True,1
NCK2,0.04531003,False,0
NELL2,0.4239704,False,-1
NHS,0.52142984,True,0
NPAS4,0.29994598,False,-1
NR4A1,0.2036747,False,0
NR4A3,0.4068828,False,1
NRG1,0.46377757,False,-1
NXPH1,0.59901613,False,-1
NYAP2,0.5610147,False,-1
OGFRL1,0.35722548,False,-1
PAG1,0.5182759,False,-1
PCDH7,0.47715738,False,-1
PDE1A,0.50463414,False,-1
PER1,0.30245116,False,-1
PLCH1,0.2112419,False,-1
PLCXD3,0.4238325,False,-1
PLOD2,0.567179,False,-1
POU6F2,0.5009342,False,-1
PTCHD4,0.5628735,False,-1
PTMA,0.25828782,False,0
PTPRG,0.964087,False,1
PTPRO,0.52793413,False,-1
RALYL,0.55771196,False,-1
RARB,0.48638904,True,0
RASAL1,0.9993278,False,-1
RELB,0.9210285,False,1
RGS6,0.63098806,True,1
ROBO2,0.6830131,False,-1
RPL29,0.2951623,False,-1
RPS16,0.4618391,False,-1
RSPO2,0.11019046,False,0
SAMD5,0.4631553,False,-1
SEMA6A,0.5654396,False,-1
SHISA9,0.54509836,False,-1
SLC35F1,0.57002974,False,-1
SLIT2,0.9571038,False,1
SNTG1,0.7374633,False,1
SORCS1,0.98372006,False,1
SOX5,0.9034854,False,1
SOX6,0.5699018,False,-1
SPON1,0.6306833,False,-1
SYT1,0.76542866,False,1
TANC1,0.5789228,False,-1
TENM2,0.49728552,False,-1
TENM4,0.3879998,False,-1
THSD7A,0.5687355,False,-1
TMSB10,0.8080626,False,-1
TMSB4X,0.28359884,False,-1
TMTC2,0.28384727,False,-1
TOX,0.5272156,False,-1
TSC22D3,0.27817744,True,1
TSHZ2,0.49206445,False,-1
TWIST2,0.34879866,False,-1
UBC,0.28193808,False,-1
UNC13C,0.05875709,False,0
UNC5D,0.65536493,False,-1
UST,0.2586422,False,-1
VGF,0.21078125,False,-1
WLS,0.6009071,False,-1
ZBTB7C,0.1768787,False,-1
ZEB1,0.79789466,False,-1
ZFPM2,0.5919616,False,-1
ZMAT4,0.6196567,False,-1
ZNF385B,0.39382824,False,-1
ZNF462,0.6156581,False,-1
