gene,score,validation,label
ABI3BP,0.2896905,False,-1
ADAMTS19,0.29229084,False,-1
ADCY2,0.7244017,False,1
ADCY8,0.22162631,False,-1
ADGRL2,0.13490394,False,-1
AIDA,0.30211893,False,-1
AR,0.21772814,False,-1
ARHGEF28,0.1836571,False,-1
ARHGEF40,0.72808194,False,-1
ARID5A,0.34063566,False,-1
ARSJ,0.22178033,False,-1
ASIC2,0.32726735,False,-1
ASPH,0.3918907,False,-1
ATOH8,0.46773013,False,-1
ATP8B4,0.09909171,False,-1
ATRNL1,0.22773209,False,-1
BCAR3,0.18856369,False,-1
BCL2,0.18047889,False,-1
BHLHE40,0.43637472,False,-1
BHLHE41,0.26696256,False,-1
BICC1,0.2093802,False,-1
BMP6,0.43585497,False,1
BOC,0.009710614,False,-1
BRINP3,0.2724488,False,-1
BSG,0.32363796,False,1
BTG1,0.18715799,False,-1
CA10,0.238765,False,-1
CACNA2D3,0.37881252,False,-1
CACNB2,0.46586013,False,-1
CALCRL,0.11322978,False,-1
CAMK2G,0.20168407,False,-1
CCNG2,0.44034585,False,-1
CD226,0.30512482,False,1
CD302,0.7189564,False,-1
CDH12,0.19069138,False,-1
CDH13,0.7939579,False,1
CDH18,0.34079057,False,-1
CDH6,0.22647567,False,-1
CDH8,0.18304615,False,0
CDH9,0.18445104,False,-1
CDK19,0.3461805,False,-1
CEBPD,0.16034554,True,1
CENPP,0.20524664,False,-1
CFLAR,0.13053197,False,1
CHRM3,0.1894553,False,-1
CHSY3,0.25558835,False,-1
CLDN5,0.2747918,False,-1
CLSTN2,0.20817684,False,0
CLU,0.32315338,False,-1
CNR1,0.19758724,False,-1
CNTN3,0.13965951,False,-1
CNTN4,0.27821618,False,-1
CNTN6,0.32242534,False,-1
CNTNAP3,0.38015267,False,-1
CNTNAP5,0.26867276,False,-1
COBLL1,0.4601416,False,-1
CPNE4,0.3269636,False,-1
CREB5,0.4111247,False,-1
CREM,0.25948533,False,-1
CSRNP1,0.37288406,False,-1
CTNNA2,0.3228426,True,1
DAB1,0.18770222,False,1
DACH1,0.18793291,False,-1
DACH2,0.15219352,False,-1
DCHS2,0.6754891,False,1
DDAH1,0.16270466,True,1
DGKH,0.33781132,False,-1
DHRS3,0.1322115,False,-1
DISC1,0.538397,False,-1
DKK2,0.5745186,False,1
DLC1,0.19094616,False,-1
DLGAP1,0.29190707,False,-1
DLGAP2,0.44784674,False,-1
DOK6,0.26935393,False,-1
DTNA,0.3157723,False,-1
DUSP6,0.463249,False,1
EBF4,0.26994357,False,-1
EFNA5,0.5246283,False,1
EGFEM1P,0.14709654,False,-1
EGR1,0.53509265,False,-1
EGR3,0.41411713,False,-1
ELOVL7,0.2247362,False,0
EMID1,0.54821354,False,-1
EPB41L4A,0.22065121,False,-1
EPHA3,0.22214888,False,0
EPHA6,0.0138408495,False,-1
EPHA7,0.24530594,False,-1
ETS2,0.27700198,True,1
ETV1,0.26809016,False,-1
ETV6,0.20330572,False,-1
F2R,0.28881443,False,-1
FAM107B,0.24989209,False,-1
