gene,score,validation,label
ACVR1C,0.39556137,False,-1
ADGRL2,0.5653452,False,-1
ANTXR2,0.44380367,False,-1
ATRNL1,0.9966808,False,-1
BACE2,0.45423502,False,-1
CACHD1,0.4560522,False,-1
CADPS2,0.7207427,False,-1
CDH12,0.49013117,False,-1
CDH18,0.373671,False,-1
CHRM2,0.6570019,False,1
CLSTN2,0.99904305,True,0
CNTN3,0.36890486,False,-1
CNTN4,0.70803624,False,-1
CNTN6,0.46169946,False,-1
CPNE4,0.55967885,False,-1
CRIM1,0.3689923,False,-1
CTNNA2,0.9785563,False,1
DACH1,0.6366422,False,-1
DNAJA4,0.9418256,False,-1
DNAJB1,0.9968004,False,-1
EGR1,0.36883038,False,-1
EGR3,0.36810422,False,-1
EPHA3,0.36717933,False,0
EPHA7,0.5219155,False,-1
ERG,0.3696154,False,-1
FMN1,0.36092827,False,-1
FOS,0.9384544,False,1
FOSB,0.36151466,True,1
FOXO1,0.36831522,False,-1
FRAS1,0.44681278,False,-1
GABRA2,0.44895735,False,-1
GABRG3,0.99917334,False,1
GALNTL6,0.5382166,False,-1
GPM6A,0.98663807,False,1
GRID2,0.36114585,False,-1
GRIK3,0.36256978,False,0
HGF,0.47471467,False,-1
HPSE2,0.97113156,False,1
HSPA1A,0.99970067,False,-1
HSPB1,0.9972728,False,-1
KAZN,0.98183364,False,1
KCNC2,0.45739532,False,-1
KCND2,0.65112543,False,-1
KCNH5,0.3830486,False,-1
KCNH7,0.37276974,False,-1
LDB2,0.36839995,False,-1
LHFPL3,0.36820245,False,-1
LRFN5,0.4577505,False,-1
LRRC4C,0.48326865,False,-1
MAMDC2,0.47221544,False,-1
MEF2A,0.96310896,False,1
MIR31HG,0.36782992,False,-1
NCALD,0.3690559,False,1
NR2F2,0.36785433,False,-1
NR2F2-AS1,0.35523316,False,-1
NRG1,0.36828253,False,-1
NRP1,0.36610186,False,-1
NTNG1,0.38415253,False,-1
NWD2,0.4613267,False,-1
OLFM3,0.49154073,False,-1
OPCML,0.3873254,False,-1
PCDH15,0.362903,False,-1
PDE1A,0.55683255,False,-1
PDZRN4,0.70902264,False,-1
PLEKHH2,0.36800212,False,-1
PLXDC2,0.46557784,False,-1
PPARG,0.3695468,False,-1
PPFIBP1,0.39285505,False,-1
PPFIBP2,0.3683092,False,-1
PRKAG2,0.36452734,False,-1
PRLR,0.4791241,False,-1
PRR16,0.3753682,False,-1
PTPRO,0.44069958,False,-1
PTPRT,0.367986,False,-1
RALYL,0.44468963,False,-1
REL,0.3685228,True,0
SDK1,0.3760438,False,-1
SEMA5A,0.36807972,False,-1
SEMA6D,0.47425625,False,-1
SEZ6L,0.9962674,False,-1
SGCZ,0.4307919,False,-1
SLC8A1,0.61360186,False,-1
SNTB1,0.37301996,False,-1
SORBS2,0.9998117,False,1
SOX5,0.7331612,False,1
SOX6,0.36779585,False,-1
SYNPR,0.68372375,False,-1
TMEM163,0.48300222,False,-1
TMTC1,0.9986078,False,-1
TMTC2,0.38266334,False,-1
TOX,0.36759594,False,-1
TRHDE,0.7290854,False,-1
TRPC4,0.43398765,False,0
UNC5D,0.44951686,False,-1
VEGFC,0.3856155,True,1
ZMAT4,0.36802587,False,-1
ZNF385B,0.597661,False,-1
ZNF804B,0.70479274,False,-1
