gene,score,validation,label
ABCA1,0.65422034,False,1
ABCA6,0.6303789,True,0
ABI3BP,0.6303788,True,0
ABLIM1,0.65422034,True,0
ABR,0.5760934,False,0
ACKR1,0.029446002,True,0
ACOT11,0.029446002,False,0
ACSL5,0.49875554,False,0
ACVR1C,0.53466916,False,0
ADAMTS1,0.49875557,False,0
ADAMTS17,0.1309097,False,0
ADAMTS18,0.5167029,True,0
ADAMTS3,0.65422034,False,0
ADAMTS9-AS2,0.032860357,False,0
ADAMTSL3,0.5760933,False,0
ADARB2,0.03286033,False,0
ADCY10P1,0.31827843,False,0
ADGRA3,0.63037884,False,0
ADGRF5,0.5253096,True,0
ADGRL2,0.65422034,False,0
ADRA1B,0.5125246,True,0
AEBP1,0.55794823,False,0
AGMO,0.5253096,False,0
AHCY,0.31827843,False,0
AHNAK,0.5579482,False,0
AKNA,0.6856998,False,0
ALDH1A2,0.3136419,False,0
ALK,0.5760934,True,0
ALPK3,0.1309097,False,0
AMOTL1,0.029445989,False,0
AMZ1,0.07928212,False,0
ANKFN1,0.5167029,False,0
ANKRD44,0.53914946,False,0
ANKRD55,0.5253096,True,0
ANO3,0.5800412,False,0
ANOS1,0.048817538,True,0
ANTXR2,0.41182926,False,0
ANXA1,0.65422034,False,0
APCDD1,0.55794823,False,0
ARHGAP10,0.04512393,False,0
ARHGAP22,0.07928245,False,0
ARHGAP31,0.3410531,False,0
ARHGAP31-AS1,0.6710814,False,0
ARHGAP6,0.5041794,False,0
ARHGEF28,0.5844576,True,0
ARL5A,0.5844573,False,0
ARRDC3,0.5253096,False,0
ARSJ,0.5167029,False,1
ATF3,0.032860287,False,0
ATP11C,0.029445997,False,0
ATP13A4,0.31827843,False,0
ATP2A3,0.5167029,False,0
ATP8B1,0.65422034,False,0
ATP8B5P,0.1309097,False,0
ATRNL1,0.580852,True,0
AXL,0.5041796,False,0
B2M,0.64762694,False,0
BAALC-AS1,0.6262198,False,0
BACE2,0.41182923,False,1
BARD1,0.5041796,False,0
BCAN,0.15814891,True,0
BCAS1,0.32879138,False,0
BCAS2,0.6303788,False,0
BCL11B,0.21856491,True,0
BCYRN1,0.5760933,True,0
BDNF,0.6299711,False,1
BHLHE40,0.32766208,False,0
BHLHE41,0.6710814,True,0
BMP5,0.5041795,False,0
BMPER,0.45280778,True,0
BMPR1B,0.55794823,False,0
BOK,0.51670283,False,0
BROX,0.67108136,False,0
BTBD11,0.5253096,False,0
BTK,0.048816625,False,0
C10orf90,0.58445764,False,0
C1QTNF7,0.51670283,True,0
C1orf54,0.6857002,False,0
C5,0.31827846,False,0
C5orf64,0.5253096,False,0
C7,0.6856998,False,0
C9orf153,0.029445997,False,0
CA10,0.65422034,False,0
CA2,0.5579483,False,0
CACHD1,0.55941564,False,0
CACNA2D3,0.65422034,False,0
CACNB2,0.65422034,False,0
CADPS2,0.65422034,False,1
CALD1,0.6857002,True,0
CALN1,0.5760933,False,0
CARNS1,0.10563738,False,0
CASC19,0.6710814,True,0
CATSPERG,0.1309097,False,0
CBLB,0.49875557,True,0
CCDC102B,0.5253096,False,0
CCDC80,0.5125246,False,0
CCL2,0.7707586,False,1
CCND3,0.5760933,False,0
CD22,0.03480171,False,0
CD247,0.50417966,True,0
CD55,0.3182785,True,0
CD72,0.6710814,False,0
CD82,0.31827843,False,0
CDC42EP1,0.5167029,False,0
CDH10,0.65422034,False,0
CDH12,0.65422034,True,0
CDH13,0.5253096,True,0
CDH18,0.6185538,False,0
CDH19,0.3410531,False,0
CDH20,0.31827846,False,0
CDH23,0.03286029,False,0
CDH6,0.65422034,False,0
CDH8,0.5253096,False,0
CDH9,0.5253096,False,0
CDK19,0.59327036,True,0
CDKN1A,0.029445997,False,0
CDKN2A,0.6710815,False,1
CEBPB,0.029446002,False,0
CEP128,0.50417966,False,0
CFH,0.6710814,False,1
CFTR,0.029445989,False,0
CHD7,0.5253096,False,0
CHRM2,0.56916195,True,0
CHST15,0.42690715,False,0
CLEC19A,0.51670283,False,0
CLMN,0.49875554,False,0
CLSTN2,0.580852,False,1
CLU,0.6303789,True,1
CNN3,0.49875554,True,0
CNR1,0.0787936,False,0
CNTN2,0.5253096,False,0
CNTN3,0.27603868,False,0
CNTN4,0.65422034,False,0
CNTN5,0.65422034,False,0
CNTN6,0.65422034,False,0
CNTNAP5,0.65422034,False,0
COBLL1,0.28705555,False,0
COL11A1,0.50417966,False,1
COL12A1,0.31827843,False,0
COL1A2,0.5844574,False,0
COL25A1,0.5253096,False,1
COL27A1,0.51670283,False,0
COL4A5,0.5041795,False,0
COL8A1,0.0657658,False,0
COL9A1,0.5253096,False,0
CPE,0.4528078,False,0
CPNE4,0.65422034,False,0
CPT1A,0.49875554,False,0
CRIM1,0.5303234,False,0
CSGALNACT1,0.580852,False,0
CSPG4,0.7707603,True,0
CSRNP1,0.31364185,False,0
CSRP1,0.49875554,False,0
CSRP2,0.13090971,True,0
CTBP1-AS,0.5253096,False,0
CTNNA2,0.65422034,False,0
CTTNBP2NL,0.29174238,True,0
CUBN,0.5167029,False,0
CUX2,0.32028797,False,0
DACH1,0.65422034,True,0
DAZAP2,0.6710814,False,0
DCC,0.5253096,True,0
DCHS2,0.65422034,False,1
DCLK2,0.65422034,False,0
DCN,0.43615618,False,0
DDR2,0.68570024,False,0
DDX3Y,0.6303788,True,0
DGKG,0.07928233,False,0
DIO2,0.5041795,False,0
DLC1,0.65422034,False,0
DLGAP1,0.45280778,True,0
DLGAP1-AS5,0.032860287,False,0
DNAJA4,0.47958943,False,0
DNAJB1,0.4001118,False,0
DNM3OS,0.032860287,False,0
DOK6,0.3182784,True,0
DPYSL5,0.7707613,False,0
DSCAM,0.4528078,False,0
DUSP1,0.8400475,False,0
DUSP2,0.6710814,False,0
DUSP5,0.416284,False,0
DYSF,0.364154,True,0
EDA,0.1309097,False,0
EDNRB,0.03286035,False,0
EFNA1,0.31827846,False,0
EFNA5,0.65422034,False,1
EGFLAM,0.34105316,False,0
EGLN3,0.5041796,False,0
EGR1,0.3796207,True,0
EGR3,0.41390935,False,0
ELL2,0.5844574,False,0
ELOVL1,0.5167029,False,0
ELOVL2,0.5760933,False,0
ELOVL5,0.14572722,False,0
EMP1,0.4390958,True,0
EMX2OS,0.5167029,False,0
ENPP6,0.029445997,False,0
ENTHD1,0.51670283,False,0
ENTPD1,0.2526057,False,0
EPAS1,0.5844574,False,0
EPHA3,0.56916195,False,0
EPHA6,0.5340867,False,0
EPHA7,0.65422034,True,0
EPHB1,0.078793064,True,0
EPS8,0.5253096,False,0
ERRFI1,0.6303789,False,0
ESAM,0.029446002,False,0
ESYT2,0.45280775,False,0
EVC2,0.6303788,False,0
EYA2,0.5579483,True,0
EYS,0.07928243,False,0
F3,0.6710815,False,0
FA2H,0.03480169,False,0
FAM186A,0.31827843,False,0
FAM189A2,0.5041796,True,0
FAM89A,0.5167029,True,0
FAP,0.5167029,False,0
FAS,0.5167029,False,1
FAT3,0.65422034,False,0
FES,0.51670283,False,0
FGD3,0.5886953,False,0
FGD4,0.59327036,True,0
FGD6,0.5253096,False,0
FGF10,0.41606256,True,0
FGF14,0.65422034,False,0
FGFR1,0.31827843,False,0
FIGN,0.65422034,False,0
FLI1,0.5844574,False,0
FLJ40194,0.6710814,False,0
FLNA,0.4528078,False,0
FLRT2,0.50415,False,0
FMN1,0.5201233,False,0
FOS,0.15814987,False,0
FOSB,0.77076167,False,0
FRAS1,0.65422034,False,0
FREM2,0.31827843,False,0
FRK,0.68570006,False,0
FRMD3,0.50417954,False,0
FRMD6,0.72236264,False,1
FRMPD4,0.65422034,False,0
FSTL5,0.36470985,True,0
GABRA2,0.65422034,True,0
GABRG1,0.49875554,False,0
GABRG3,0.4528078,False,0
GAD1,0.5130053,False,0
GADD45A,0.63037884,False,0
GADD45G,0.16614693,False,0
GALNT18,0.5167029,False,0
GALNTL6,0.65422034,False,0
GALR1,0.5253096,False,0
GBE1,0.45280778,False,0
GCNT2,0.68570006,False,0
GFRA1,0.5253096,False,0
GHR,0.32879138,False,0
GJA1,0.65422034,False,0
GJB6,0.3182784,False,0
GJC1,0.032860357,False,0
GK,0.51653683,True,0
GLI3,0.18129572,False,0
GLIS3,0.49875557,False,0
GLRA2,0.5068571,False,0
GMFG,0.5167029,False,0
GNA13,0.5760933,True,0
GNAL,0.63037884,True,0
GNB4,0.65422034,False,0
GNG4,0.5760933,False,0
GPC6,0.65422034,True,0
GPER1,0.840043,False,0
GPM6A,0.580852,False,0
GPR183,0.029446002,False,0
GPRIN3,0.56916195,False,0
GRAMD1C,0.58445764,True,0
GRAP2,0.3182785,False,0
GRB2,0.3886394,False,0
GREM1,0.6856999,False,0
GRIA1,0.45280778,False,0
GRID2,0.5253096,False,0
GRIK1,0.5253096,True,0
GRIK2,0.65422034,False,0
GRIK3,0.35771063,False,0
GRIN3A,0.5253096,False,1
GRIP1,0.65422034,False,0
GRM3,0.41172135,False,0
GRM8,0.5844575,False,0
GSN,0.13090971,True,0
GULP1,0.5253096,False,0
HAGLR,0.5253096,False,0
HAMP,0.6710814,False,0
HAPLN2,0.31827843,False,0
HDAC9,0.65422034,False,0
HECW1,0.4528078,False,0
HES1,0.55794823,False,0
HES6,0.029445997,False,0
HGF,0.56916195,False,0
HHIP,0.034801666,True,0
HLA-A,0.5760933,False,1
HLX-AS1,0.07879288,False,0
HMG20B,0.13090971,False,0
HPSE2,0.6208792,False,0
HRH1,0.15814929,False,0
HS3ST2,0.57410544,False,0
HS3ST4,0.580852,False,0
HSP90AA1,0.6303788,False,0
HSPA1A,0.6303788,True,0
HSPB1,0.43614998,False,0
HSPB8,0.26104656,False,0
