gene,score,validation,label
ABR,0.50576675,False,-1
ACVR1,0.13134688,False,-1
ADARB2,0.64682466,False,0
ADGRL2,0.52211636,False,-1
ANXA1,0.5005711,False,-1
ARHGAP22,0.3739837,False,-1
ARHGAP26,0.65968204,False,-1
ARHGAP6,0.43368667,False,-1
ARHGEF4,0.02658608,False,-1
ATF3,0.36918586,False,-1
ATP11C,0.2860976,False,-1
ATRNL1,0.553331,False,-1
BAALC,0.47912717,False,-1
BCL6,0.27260613,False,-1
BROX,0.51563644,False,-1
BTG2,0.33458057,False,-1
C8orf34,0.13646004,False,-1
CA3,0.5519629,False,-1
CABLES1,0.35389918,False,-1
CALR,0.49419078,False,-1
CAMK2G,0.18180527,False,-1
CDH13,0.49440864,False,1
CDH20,0.55532014,False,-1
CDH4,0.15296191,False,-1
CDH6,0.4657367,False,-1
CDH9,0.76201653,False,-1
CHD7,0.49720532,False,-1
CHST9,0.46873245,False,-1
CKS2,0.43697202,False,-1
CNTN4,0.5504676,False,-1
CNTN5,0.66231126,False,-1
CNTN6,0.54471624,False,-1
COL4A1,0.16221687,False,0
CTNNA2,0.75223637,False,1
CTSB,0.53044504,False,-1
CUX2,0.24933904,False,-1
DAB1,0.5502959,True,1
DGKH,0.22595958,False,-1
DLGAP1,0.57779497,False,-1
DNAJA4,0.6642102,False,-1
DNAJB1,0.54412943,False,-1
DPYSL5,0.50231814,False,-1
DRAIC,0.29046208,False,-1
DSCAM,0.45570984,False,-1
DUSP1,0.55957365,False,-1
DUSP5,0.5045599,False,-1
EFEMP1,0.508712,False,-1
EGR1,0.67118734,False,-1
EGR3,0.022694234,False,-1
ELOVL5,0.52341443,False,-1
EPHA6,0.3723835,False,-1
EPHA7,0.5824791,False,-1
ETS2,0.31502974,True,1
ETV1,0.42379633,False,-1
ETV6,0.4004854,False,-1
FAT3,0.6489226,False,-1
FGF14,0.86985683,False,1
FOS,0.70720094,False,1
FOSB,0.70698303,False,1
FOSL2,0.58330184,False,0
FOXO1,0.23612906,False,-1
FOXP2,0.38306648,False,-1
FREM1,0.29785705,False,-1
FRMD4B,0.055461958,False,-1
GAD1,0.22566922,False,-1
GALNT10,0.3227179,False,-1
GALNT14,0.49595138,False,-1
GDNF-AS1,0.19075158,False,-1
GHR,0.4344946,False,-1
GPC6,0.75901514,False,1
GRAMD1A,0.41294125,False,-1
GREB1L,0.73256236,False,-1
GRIK2,0.26285693,False,0
GRIP1,0.66207105,False,-1
GRK5,0.5468849,False,-1
GSG1L,0.6428105,False,-1
HCRTR2,0.46403778,False,1
HGF,0.02356236,False,-1
HMGCS1,0.12846462,False,-1
HOMER1,0.03282925,False,-1
HSPA1A,0.576681,False,-1
HSPB1,0.56252795,False,-1
HSPB8,0.53662956,False,-1
HSPD1,0.39996633,False,-1
HSPH1,0.6078275,False,-1
HTR7,0.3110089,False,1
ID2,0.43808606,False,-1
IER5,0.44529703,False,-1
IGFBP5,0.7513994,False,-1
IL6ST,0.52877164,False,1
INSIG1,0.57351524,True,1
IQGAP1,0.12963273,False,-1
ITGA8,0.30310804,True,0
JDP2,0.49262133,False,-1
JUN,0.53150827,False,1
JUNB,0.6632806,False,-1
KCNB2,0.46186355,False,-1
KCNQ3,0.15750897,False,-1
KCTD12,0.53314996,False,-1
KIF26B,0.39824972,False,-1
KITLG,0.41303918,False,-1
KLHL1,0.8075051,False,-1
LINC00298,0.6164728,False,-1
LINC01250,0.36699617,False,-1
LMO2,0.4914579,False,-1
LRFN5,0.32331997,False,-1
LRRC3B,0.56905323,False,-1
LRRC4C,0.2880097,False,-1
LTBP1,0.41156664,False,-1
LUZP2,0.6846731,False,1
LYPD6B,0.46343634,False,-1
MAF,0.5132723,False,-1
MAFB,0.5370909,False,-1
MAML3,0.46481475,False,-1
MAP3K14,0.17322935,False,-1
MAPK4,0.29078335,False,-1
MBP,0.23187295,False,-1
MCTP1,0.53945607,False,-1
MEF2A,0.28375545,False,1
MGAT4C,0.5736927,False,-1
MIDN,0.23511238,False,0
MITF,0.1235482,False,-1
MYRFL,0.39459804,False,-1
NAT8L,0.46790916,False,-1
NETO2,0.16009918,False,-1
NLGN4Y,0.5977034,False,-1
NOS1,0.17564331,False,-1
NPAS4,0.5895808,False,-1
NPLOC4,0.10542984,False,-1
NR4A1,0.5817097,False,0
NR4A3,0.5088476,False,1
OLFM3,0.38042843,False,-1
OPCML,0.39411324,False,-1
PAPSS2,0.13247442,False,-1
PBX3,0.70700496,False,-1
PCDH11Y,0.108945,False,-1
PCDH7,0.44915676,False,-1
PDE10A,0.6382267,False,-1
PDE7B,0.75325745,False,-1
PHACTR1,0.6624454,False,-1
PHACTR2,0.14503133,False,-1
PHF21B,0.47778186,False,-1
PIM3,0.5184523,False,-1
PLPPR1,0.25265363,False,0
PLXDC2,0.6705541,False,-1
PMEPA1,0.22048086,False,-1
PPARD,0.27887353,False,-1
PPARG,0.60620964,False,-1
PPP1R15A,0.3840547,False,-1
PRELID2,0.42460707,False,-1
PREX2,0.14487247,False,-1
PRKG1,0.43696114,False,-1
PROX1,0.16201186,False,-1
PTMA,0.54640865,False,-1
PXDC1,0.47708318,False,-1
PXK,0.5012992,False,-1
RALYL,0.6779504,False,-1
RAPGEF1,0.20536526,False,-1
RELB,0.28576738,True,1
RND3,0.45329505,False,-1
ROBO1,0.62352496,False,-1
ROBO2,0.48627764,False,-1
ROR1,0.78803533,False,-1
RSPO2,0.49132243,False,-1
RUNX3,0.34492725,False,-1
SCML1,0.5186829,False,-1
SDK1,0.53172296,False,-1
SEC14L1,0.50088435,False,-1
SEMA6D,0.64053357,False,-1
SFMBT2,0.7301084,False,-1
SFRP1,0.5304581,False,-1
SGCZ,0.6515011,False,-1
SLC2A3,0.04413912,False,-1
SLC35F3,0.19242822,False,-1
SLC35F4,0.6863116,False,-1
SLC38A2,0.528009,False,-1
SLC7A5,0.54226786,False,-1
SLIT2,0.40421823,False,-1
SMCO4,0.4290879,False,-1
SNED1,0.34731475,False,-1
SORBS2,0.19470686,False,-1
SORCS1,0.5743093,False,1
SORCS3,0.7633498,False,1
SOX13,0.35039076,False,-1
SOX6,0.43630126,False,-1
SRGAP2,0.47915548,False,-1
SULF1,0.45521313,False,-1
SULF2,0.35422128,False,-1
SV2C,0.5520362,False,-1
SVIL,0.367072,False,-1
SYNDIG1,0.42423302,False,-1
SYNPR,0.2787851,False,-1
SYT17,0.45694765,False,0
TAC1,0.43235716,False,-1
TGFBR3,0.54328364,False,-1
TLE3,0.5760311,False,-1
TMEM164,0.11644072,False,-1
TMEM255A,0.47640258,False,-1
TMSB10,0.47591165,False,-1
TMSB4X,0.11620008,False,-1
TMTC1,0.34369078,False,-1
TOX3,0.47810036,False,-1
TPM1,0.48669305,False,-1
TPM2,0.48800457,False,-1
TRIM62,0.12191611,False,-1
TRPC3,0.53873694,False,-1
TRPS1,0.37763506,False,-1
TSIX,0.56076103,False,-1
TUBA1A,0.44967294,False,-1
UBC,0.56303453,False,-1
UNC5D,0.5405096,False,-1
USP13,0.19950792,False,-1
UST,0.52174264,False,-1
UTRN,0.4991712,False,-1
ZBTB7C,0.529435,False,-1
ZMAT4,0.7067744,False,-1
ZNF331,0.48149973,False,-1
