gene,score,validation,label
ABI3BP,0.5910013,False,-1
ABLIM1,0.5049458,False,-1
ABR,0.52838117,False,-1
ADAM12,0.7600414,False,1
ADCY10P1,0.3661532,False,-1
ADGRA3,0.40323687,False,-1
ADGRD1,0.40799636,False,-1
AHCYL2,0.3371334,False,-1
AKAP12,0.6059504,False,-1
ALDH1A2,0.89444304,False,1
AMER2,0.6587785,False,-1
AMOTL1,0.6169928,False,1
ANKFN1,0.44329733,False,-1
ANKRD44,0.7338806,False,-1
ANKRD55,0.89186317,False,1
ANXA5,0.5708983,False,-1
AR,0.39808604,False,-1
ARHGAP24,0.37750718,False,1
ARHGAP6,0.382528,False,-1
ARHGEF26,0.34353656,False,-1
ARL15,0.4812295,False,-1
ARL5A,0.6016663,False,-1
ATP6V0D2,0.48235646,False,-1
ATRNL1,0.53485477,False,-1
B2M,0.39128754,False,0
B3GAT2,0.44830358,False,-1
BCAS1,0.3350207,False,-1
BCL11B,0.44532746,True,0
BCL2,0.35388654,False,-1
BCL2L14,0.3682185,False,-1
BCL6,0.7690176,False,1
BEST1,0.9354245,False,1
BHLHE41,0.54322803,False,-1
BRINP3,0.4826911,False,-1
BSG,0.9073934,False,1
BTBD11,0.50239575,False,-1
C9orf153,0.25010952,False,-1
CARD14,0.38692275,True,1
CCK,0.41826168,False,-1
CCNG2,0.54564196,False,-1
CDH20,0.33760598,False,-1
CDH6,0.7315533,False,-1
CDKN1B,0.6548484,False,-1
CEMIP,0.3937438,False,-1
CFTR,0.33272493,True,1
CHD7,0.3749765,False,-1
CHRM3-AS2,0.3690929,False,-1
CHSY1,0.4881226,False,-1
CKS2,0.37966996,False,-1
CLMP,0.38002113,False,-1
CLSTN2,0.26148528,False,0
CNR1,0.47691208,False,-1
CNTN3,0.4662641,False,-1
CNTN4,0.44863382,False,-1
CNTN6,0.38400647,False,-1
CNTNAP5,0.44001892,False,-1
COL12A1,0.43298087,False,1
COL15A1,0.43600267,False,-1
COL4A2,0.6883051,False,0
CREB5,0.41098735,False,-1
CRH,0.5248373,False,-1
CRIM1,0.49736124,False,-1
CTTNBP2NL,0.53246593,False,-1
CYCS,0.8466179,False,1
DBI,0.22002444,False,-1
DCC,0.22618833,False,0
DCLK2,0.67660093,False,-1
DDAH1,0.83765507,False,1
DDIT4,0.5036957,False,-1
DDX3Y,0.41780993,False,-1
DGKH,0.35501316,False,-1
DLC1,0.73010916,False,-1
DLGAP1,0.52326125,False,-1
DLX6-AS1,0.48945603,False,-1
DNAJB1,0.4494412,False,-1
DOCK11,0.3540931,False,-1
DTNA,0.40206346,False,-1
DUSP1,0.40018034,False,-1
DUSP10,0.68666923,False,-1
DUSP5,0.40555874,False,-1
DYSF,0.40532395,False,1
EFNA5,0.39083168,True,1
EGFEM1P,0.47086576,False,-1
EGR1,0.7488445,False,-1
EGR3,0.3810766,False,-1
ELAVL2,0.28509864,False,-1
ELL2,0.47324887,False,-1
ELOVL5,0.45943657,False,-1
ENPP2,0.77661556,False,1
EPHA5,0.31861433,False,-1
ETS1,0.6219678,False,-1
ETV6,0.3809064,False,-1
EYA4,0.72492,False,1
EYS,0.36685255,False,-1
EZH2,0.30248678,False,-1
FAM118A,0.3545231,False,-1
FANCC,0.39792052,False,-1
FAT4,0.4097104,False,-1
FGD4,0.4168403,False,-1
FGF13,0.4156339,False,-1
FGF14,0.7817011,False,1
FIGN,0.40047932,False,-1
FNDC3B,0.72398293,False,-1
FOS,0.48676318,True,1
FOSB,0.3715095,False,1
FOSL2,0.51918685,True,0
FREM1,0.44085687,False,-1
FSTL4,0.52898383,False,-1
GABPB1,0.37369913,False,-1
GABRG3,0.85378903,False,1
GAD1,0.3603672,False,-1
GADD45B,0.44674715,False,-1
GLRA2,0.13933663,False,0
GOLIM4,0.3834885,False,1
GPR149,0.46146435,False,-1
GPR156,0.31378576,False,-1
GRB2,0.754243,False,1
GRID2,0.79113525,False,-1
GRIN3A,0.4235283,False,-1
GSG1L,0.7131627,False,-1
GYG2P1,0.40551752,False,-1
HCN1,0.44760936,False,-1
HDAC9,0.33745375,False,-1
HECA,0.53362006,False,-1
HECW1,0.4014477,False,1
HGF,0.37539726,False,-1
HIF1A,0.69524324,False,-1
HMGCS1,0.38000873,False,-1
HOMER1,0.39099982,False,-1
HPN-AS1,0.70609117,False,-1
HS3ST2,0.36131933,False,-1
HS3ST4,0.54307145,False,-1
HS6ST3,0.47108606,False,-1
HSPA1A,0.39836857,False,-1
HSPB1,0.41823,False,-1
HSPD1,0.44625995,False,-1
HSPH1,0.58267367,False,1
HTR1F,0.7172425,False,1
ID3,0.35972655,False,-1
IRF7,0.38509157,True,1
ITGA6,0.31554657,False,-1
ITGA8,0.4439264,False,0
JDP2,0.3029446,False,-1
JUN,0.5279611,True,1
JUNB,0.58987,False,1
KANK1,0.38694927,False,-1
KCNB2,0.47411793,False,-1
KCND2,0.3827712,False,-1
KCNIP1,0.5341586,False,-1
KIAA1217,0.76732576,False,1
KIF26B,0.48513287,False,-1
KIT,0.80297464,False,-1
KITLG,0.498253,True,0
LAMA3,0.33015072,False,-1
LBH,0.92459357,False,1
LDB2,0.3306955,False,-1
LDLRAD4,0.5787534,False,-1
LEF1,0.36780405,False,-1
LGALS3,0.42650834,False,-1
LGR4,0.55773926,False,-1
LINC00276,0.36768675,False,-1
LINC01090,0.33760598,False,-1
LINC01122,0.4374203,False,-1
LINC01322,0.29012436,False,-1
LPAR1,0.5844218,False,-1
LPGAT1,0.58066934,False,-1
LRCH1,0.6969334,False,-1
LRFN5,0.3272601,False,-1
LRRC4C,0.5638417,False,-1
LRRC63,0.4067148,False,-1
LRRN1,0.41134226,False,-1
LUZP2,0.48368174,False,1
LYPD6B,0.47829548,False,-1
MAFB,0.6769385,False,-1
MAP3K1,0.3554604,False,0
MATN2,0.37361696,False,-1
MCC,0.3857876,False,-1
MECOM,0.29195446,False,0
MEF2A,0.7245999,False,1
MEIS1,0.39718878,False,-1
MIDN,0.37387383,True,0
MIR4500HG,0.7878422,False,-1
MME,0.32684308,False,-1
MMP16,0.49380684,False,-1
MOB3B,0.4341286,False,-1
MSI2,0.443659,True,1
MYBPC1,0.33682483,False,-1
MYO16,0.46284693,False,1
MYRIP,0.5043308,False,-1
NCK2,0.49784,True,0
NDST3,0.6158405,False,-1
NDST4,0.34242958,False,-1
NEDD4,0.34479016,False,-1
NETO2,0.40683714,False,-1
NGF,0.3439511,False,-1
NLGN4Y,0.30166978,False,-1
NR4A1,0.36324465,False,0
NXPH1,0.4613635,False,-1
OLFM3,0.4559056,False,-1
OPCML,0.6861892,False,-1
OPHN1,0.41759646,False,-1
OTOGL,0.7308797,False,-1
P3H2,0.47588727,False,-1
PAG1,0.34476927,False,-1
PALLD,0.33153772,False,-1
PAMR1,0.4362093,False,-1
PAX8-AS1,0.44103444,False,-1
PBX3,0.34798226,False,-1
PCDH7,0.50496,False,-1
PCDH9-AS2,0.6508542,False,-1
PCSK2,0.350436,False,-1
PDE10A,0.57839954,False,-1
PDE1C,0.35260546,False,-1
PDE3A,0.3522604,False,-1
PDGFC,0.37197983,False,-1
PDK1,0.79298705,False,1
PELI2,0.3703661,False,-1
PHACTR2,0.22488788,False,0
PHEX,0.49955922,False,-1
PHLDA1,0.49986875,False,-1
PHLDB2,0.38470867,False,-1
PITPNC1,0.3037906,False,-1
PLCH1,0.44463968,False,-1
PLEKHH2,0.52927774,False,-1
PLXNA4,0.7556339,False,-1
PMEPA1,0.3573877,False,-1
PPFIBP1,0.6678043,False,-1
PPP1R15A,0.37958372,False,-1
PRDM11,0.47736108,False,-1
PRR16,0.52373093,False,-1
PTMA,0.20109868,False,0
