gene,score,validation,label
ABI3BP,0.6495976,False,-1
ANKRD44,0.1451734,False,-1
ATRNL1,0.96032965,False,-1
BRINP3,0.92758894,False,-1
CDH6,0.88438237,False,-1
CLMP,0.36904016,False,-1
CNTN3,0.57872355,False,-1
CNTN6,0.38512453,False,-1
CNTNAP5,0.8659207,False,-1
COL12A1,0.16735803,True,1
CREB5,0.3505649,False,-1
DDX3Y,0.4921131,False,-1
DLGAP1,0.91121423,False,-1
DLX6-AS1,0.5589938,False,-1
DNAJB1,0.46816528,False,-1
DUSP1,0.50295824,False,-1
EGFEM1P,0.53280604,False,-1
EGR1,0.65238065,False,-1
ELOVL5,0.50738305,False,-1
ETV6,0.42235813,False,-1
EYA4,0.97278285,False,1
EYS,0.17004251,False,-1
EZH2,0.24449731,False,-1
FGF14,0.9511491,False,1
FIGN,0.47077373,False,-1
FOS,0.50599617,False,1
FOSB,0.50940305,False,1
FOSL2,0.46294942,True,0
FSTL4,0.6296051,False,-1
HS3ST2,0.9687209,False,-1
HS3ST4,0.59528935,False,-1
HS6ST3,0.46992064,False,-1
HSPA1A,0.514665,False,-1
HSPH1,0.5098465,False,1
JDP2,0.68293166,False,-1
JUNB,0.5454596,True,1
KCNB2,0.47639164,False,-1
KCNIP1,0.5191136,False,-1
LEF1,0.21715936,False,-1
LPAR1,0.63930106,False,-1
LRFN5,0.1338605,False,-1
LRRC4C,0.61314136,False,-1
LYPD6B,0.90699536,False,-1
MAFB,0.3342445,False,-1
MEF2A,0.8668663,False,1
MMP16,0.5772786,False,-1
MYBPC1,0.13024296,False,-1
NDST3,0.6136749,False,-1
NEDD4,0.13278855,False,-1
NR4A1,0.47426754,False,0
NXPH1,0.51483303,False,-1
OLFM3,0.89437157,False,-1
P3H2,0.56458557,False,-1
PBX3,0.50224376,False,-1
PCDH7,0.94702816,False,-1
PDE3A,0.20541184,False,-1
PDGFC,0.5130755,False,-1
PELI2,0.17543805,False,-1
PHLDB2,0.3548743,False,-1
PITPNC1,0.036838375,False,-1
PPP1R15A,0.50668687,False,-1
PTPRB,0.5217654,False,-1
PTPRG,0.9704626,False,1
RAB3IP,0.456226,False,0
RALYL,0.489441,False,-1
RARB,0.35702175,True,0
RBFOX3,0.55979186,False,-1
RNF19A,0.99954873,False,-1
SLC35F4,0.9334642,False,-1
SLIT2,0.9149557,False,1
SMAD3,0.15656897,False,0
SNTG1,0.9653292,False,1
SOX5,0.65935254,False,1
SOX6,0.8586578,False,-1
ST8SIA4,0.03368916,False,0
STXBP6,0.9518838,False,-1
SULF1,0.072976805,False,-1
SYNDIG1,0.353251,False,-1
SYT1,0.8968573,False,1
TBC1D4,0.3899489,False,-1
TENM2,0.88584787,False,-1
TENM3,0.5938841,False,-1
TUBB2B,0.17221116,False,-1
UBC,0.49120003,False,-1
ZEB1,0.7527666,False,-1
