gene,score,validation,label
AATK,0.422374,False,0
ABCA10,0.5184211,True,0
ABCA6,0.5184211,False,0
ABHD3,0.4099559,False,0
ABLIM1,0.5184211,False,0
ABR,0.41535747,False,0
ACAN,0.44579142,False,1
ACER2,0.09757301,False,0
ACKR3,0.51184595,False,0
ACSL1,0.09757301,False,0
ACVR1,0.53669685,False,0
ACVR1C,0.53463197,False,0
ADAMTS15,0.66631305,True,0
ADAMTS17,0.61016124,False,0
ADAMTS19,0.45310467,False,0
ADAMTS6,0.45721158,True,0
ADAMTS9,0.66631305,False,0
ADAMTS9-AS2,0.34930563,True,0
ADAMTSL1,0.58285856,False,0
ADAMTSL2,0.51806194,False,0
ADCY2,0.5164201,False,0
ADCY8,0.5184211,False,0
ADD3-AS1,0.48443648,True,0
ADGRA3,0.45310467,False,0
ADGRF5,0.1406268,False,0
ADGRG6,0.53062654,True,0
ADGRL2,0.43255597,False,0
ADIPOR2,0.4099559,False,0
ADM,0.43644372,False,0
ADRA1A,0.5184211,False,0
AEBP1,0.09757301,False,0
AFAP1L2,0.41104287,False,0
AGA,0.5184211,False,0
AGBL1,0.41104287,True,0
AHCYL1,0.3625279,True,0
AHCYL2,0.36421522,False,0
AHR,0.45310467,False,0
AKAP12,0.41104287,False,0
AKAP13,0.48249018,False,0
AKNA,0.6340952,False,0
ALDH1A1,0.5184211,False,0
ALDH1A2,0.4950462,False,0
AMOTL1,0.59303147,False,0
AMZ2,0.4099559,False,0
ANGPT1,0.5003029,False,0
ANK1,0.19525865,False,0
ANKRD18A,0.44016153,True,0
ANKRD37,0.42841765,False,0
ANKRD44,0.54188615,False,0
ANO3,0.097573034,False,0
ANO4,0.5184211,False,0
ANO6,0.64404196,False,0
ANTXR2,0.41104287,False,0
ANXA1,0.5671282,False,0
ANXA2,0.097573034,False,0
ANXA5,0.4414441,False,0
APOA1-AS,0.44397938,False,0
AQP1,0.19525865,False,0
AR,0.66631305,False,1
ARHGAP10,0.511343,False,0
ARHGAP18,0.6561906,True,0
ARHGAP22,0.41104287,False,0
ARHGAP26,0.5638394,False,0
ARHGAP27,0.69069934,False,0
ARHGAP30,0.55120796,False,0
ARHGAP4,0.36888596,True,0
ARHGAP42,0.5184211,False,0
ARHGDIB,0.41104287,True,0
ARHGEF10L,0.67156506,False,0
ARHGEF28,0.097573034,False,0
ARHGEF40,0.41594347,False,0
ARHGEF6,0.67156506,False,0
ARID3A,0.67156506,True,0
ARID5A,0.39778104,False,0
ARL15,0.43424523,True,0
ARL5A,0.41104287,False,0
ARRB2,0.54188615,False,0
ARRDC3,0.40530902,False,0
ARRDC3-AS1,0.54188615,True,0
ARRDC4,0.41104287,False,0
ARSI,0.36888596,False,0
ARSJ,0.43817514,False,1
ASB4,0.45310467,False,0
ASIC2,0.45194456,False,0
ATF3,0.38200143,False,0
ATP11A-AS1,0.36888596,True,0
ATP11C,0.24998659,False,0
ATP1A2,0.097573034,False,0
ATP1B3,0.39679167,False,0
ATP7B,0.66631305,False,1
ATP8B4,0.49566287,False,0
ATRNL1,0.6561906,False,0
B2M,0.41594347,False,0
B3GAT2,0.45310467,True,0
BAALC,0.43644372,False,0
BAALC-AS1,0.43644372,False,0
BACH1,0.45310467,True,0
BAG3,0.4268792,False,0
BAMBI,0.45310467,False,0
BCAR3,0.45310467,False,0
BCAS2,0.45755002,False,0
BCHE,0.422374,False,1
BCL11B,0.5892563,False,0
BCL2,0.46605906,False,0
BCL2L11,0.66631305,False,0
BCL6,0.43373454,True,0
BDNF-AS,0.26549852,False,0
BEND7,0.6340952,True,0
BHLHE40,0.4317441,False,0
BHLHE41,0.4110429,False,0
BIRC3,0.45310467,True,0
BLNK,0.24998657,False,0
BMP2K,0.5184211,True,0
BMP7,0.4110429,True,0
BMX,0.4110429,False,0
BOC,0.5986675,False,0
BRINP3,0.5736952,False,0
BSG,0.4110429,True,0
BTBD11,0.41030243,False,0
BTBD16,0.6340952,False,0
BTG1,0.4174974,False,0
BTG2,0.4317441,False,0
BTG3,0.41199866,False,0
BTNL9,0.41030243,False,0
C1QB,0.4110429,True,0
C1QC,0.58650297,False,0
C1QTNF1,0.6561906,False,0
C2CD2,0.66631305,True,0
C4orf19,0.48443648,False,0
C5AR1,0.45310467,False,0
C5orf64,0.4110429,False,0
C7,0.45310467,False,0
C8orf34,0.68436825,False,0
CA14,0.19525868,False,0
CA8,0.35523197,False,0
CABLES1,0.4099559,False,0
CACNB2,0.48527113,False,0
CADPS2,0.79767245,False,1
CALCR,0.5184211,False,0
CALCRL,0.19525865,False,0
CALN1,0.66631305,False,0
CALR,0.422374,False,0
CAMK2G,0.66631305,False,0
CAMKMT,0.45755002,False,0
CASC15,0.41191903,False,0
CAT,0.45310467,False,0
CATSPERG,0.45310467,True,0
CBLB,0.5965572,True,0
CBLN2,0.45310467,False,0
CCDC160,0.5184211,True,0
CCDC190,0.45310467,True,0
CCDC69,0.4110429,False,0
CCDC88C,0.6906992,False,0
CCND1,0.45310467,False,0
CCND3,0.58650297,False,0
CCNG2,0.43988588,False,0
CCR1,0.6340952,False,0
CD109,0.44579142,False,0
CD320,0.55120796,False,0
CD34,0.5512079,False,0
CD37,0.24998654,False,0
CD63,0.40530902,False,0
CD72,0.4110429,False,0
CD93,0.5184211,False,0
CDC42EP1,0.19525868,False,0
CDC42EP4,0.45310467,False,0
CDH1,0.4110429,True,0
CDH12,0.5477791,True,0
CDH13,0.5184211,False,0
CDH18,0.5671282,False,0
CDH20,0.5184211,False,0
CDH4,0.66631305,False,0
CDH6,0.51198983,False,0
CDH7,0.5245599,False,0
CDH8,0.5184211,False,0
CDHR3,0.5824783,False,0
CDK19,0.34930563,True,0
CDKN1B,0.44117367,True,0
CDR2L,0.4099559,True,0
CEBPD,0.6340952,False,0
CEMIP,0.4662708,True,0
CENPF,0.55120796,False,0
CEP152,0.48443648,True,0
CFAP54,0.4099559,False,0
CFH,0.5986675,False,1
CFL2,0.45310467,True,0
CGNL1,0.45310467,False,0
CHD7,0.48443648,False,0
CHMP1B2P,0.45310467,False,0
CHODL,0.5948573,True,0
CHRDL1,0.5184211,False,0
CHRM2,0.5184211,True,0
CHRM3,0.45310467,False,0
CHST11,0.44689465,False,0
CHST15,0.5097406,False,0
CHSY1,0.44491845,True,0
CIITA,0.24998657,False,0
CKS2,0.41594347,False,0
CLDN10,0.45310467,False,0
CLDN14,0.6561906,False,0
CLDND1,0.41594347,False,0
CLEC19A,0.24998659,False,0
CLEC2A,0.5184211,False,0
CLMN,0.54188615,False,0
CLMP,0.5184211,False,0
CLSTN2,0.66631305,False,1
CLU,0.45548347,False,1
CNBD1,0.4110429,False,0
CNGA1,0.36888596,False,0
CNN3,0.39679167,False,0
CNOT8,0.66631305,False,0
CNR1,0.48273522,False,0
CNTLN,0.4110429,False,0
CNTN2,0.66631305,False,0
CNTN3,0.5184211,False,0
CNTN4,0.5444354,True,0
CNTN5,0.58285856,False,0
CNTN6,0.47021013,False,0
CNTNAP3,0.5184211,False,0
CNTNAP5,0.58285856,True,0
COBLL1,0.5184211,True,0
COL12A1,0.4103024,False,0
COL18A1,0.17795612,False,0
COL1A2,0.4110429,False,0
COL25A1,0.5003029,False,1
COL27A1,0.5184211,False,0
COL3A1,0.5184211,False,0
COL4A1,0.39679167,True,0
COL4A2,0.39679167,False,0
COL5A2,0.061351776,False,0
COL6A2,0.45310467,False,0
COL9A1,0.097573034,False,0
COL9A2,0.48443648,False,0
COLGALT2,0.44896653,True,0
COTL1,0.66631305,False,0
CPB2,0.4110429,True,0
CPB2-AS1,0.48443648,False,0
CPE,0.480572,False,0
CPED1,0.45310467,False,0
CPNE4,0.061351813,True,0
CPNE8,0.45310467,False,0
CRB1,0.4110429,False,0
CREB5,0.45310467,False,0
CREM,0.66631305,False,0
CRHBP,0.4338534,False,0
CRIM1,0.40530902,False,0
CRISPLD1,0.66631305,False,0
CRYBG3,0.5184211,False,0
CSGALNACT1,0.58285856,False,0
CSRNP1,0.4317441,False,0
CSRP2,0.45310467,False,0
CTDSP1,0.097573034,False,0
CTSC,0.24998657,False,0
CTSL,0.35523248,False,0
CTTNBP2NL,0.49966252,False,0
CUX2,0.6493224,False,0
CX3CR1,0.061351765,False,0
CXCL16,0.24998657,True,0
CYBRD1,0.48980248,False,0
CYCS,0.399402,False,0
CYFIP1,0.37263408,True,0
CYP7B1,0.66631305,True,0
CYSLTR2,0.4110429,True,0
CYYR1-AS1,0.19525865,False,0
DAB1,0.58285856,True,0
DACH1,0.66631305,False,0
DACH2,0.36888596,False,0
DAP,0.910252,False,0
DAZAP2,0.45310467,False,0
DCC,0.5184211,False,0
DCHS2,0.91025233,False,1
DCLK2,0.5184211,False,0
DCN,0.45310467,True,0
DDAH1,0.3735897,True,0
DDIT4,0.4317441,False,0
DDR2,0.48443648,False,0
DDX3Y,0.45300403,False,0
DDX60L,0.6340952,False,0
DEF6,0.09757301,False,0
DENND2A,0.45310467,False,0
DENND3,0.3211193,True,0
DEPTOR,0.4738624,False,0
DGKB,0.45310467,False,1
DGKG,0.41594347,False,0
DGKH,0.40530902,False,0
DHRS3,0.910255,False,0
DHRS9,0.55120796,False,0
DIAPH2,0.54188615,False,0
DIAPH2-AS1,0.45310467,False,0
DISC1,0.45310467,True,0
DKK2,0.5184211,False,0
DLC1,0.5184211,True,0
DLGAP1,0.5671282,False,0
DLGAP2,0.45721158,False,0
DLX6-AS1,0.42755017,False,0
DMRT2,0.4110429,False,0
DNAJA4,0.4268792,False,0
DNAJB1,0.45548347,False,0
DNM3OS,0.36734083,False,0
DOCK11,0.6595667,True,0
DOCK4-AS1,0.17795596,True,0
DOHH,0.4110429,False,0
DOK6,0.6561906,False,0
DPYSL3,0.48273522,False,0
DPYSL5,0.5092917,True,0
DTNA,0.58285856,False,0
DUSP1,0.46511123,False,0
DUSP10,0.47428516,False,0
DUSP16,0.45310467,False,0
DUSP2,0.55120796,False,0
DUSP5,0.4460673,False,0
DYSF,0.6778593,False,0
EBF2,0.511343,False,0
EBF4,0.45310467,False,0
EDNRB,0.5184211,False,0
EFCAB13,0.4110429,False,0
EFEMP1,0.5184211,False,0
EFNA5,0.60791665,False,1
EGFEM1P,0.17795596,False,0
EGR1,0.44892827,False,0
EGR3,0.46511123,True,0
EHBP1L1,0.4099559,False,0
EHF,0.36888596,True,0
EIF1AY,0.6340952,True,0
ELF1,0.4110429,True,0
ELF4,0.35305625,False,0
ELL2,0.45721158,False,0
ELOVL5,0.4587604,False,0
ELOVL7,0.4110429,False,0
EMC10,0.4110429,False,0
EMP2,0.5184211,True,0
EMP3,0.4110429,False,0
ENPEP,0.097573034,False,0
ENPP2,0.4099559,False,0
EPAS1,0.48797992,False,0
EPHA3,0.6561906,False,0
EPHA5,0.67156506,False,0
EPHA6,0.56695306,False,0
EPHA7,0.47021013,False,0
EPHB1,0.46291828,False,0
EPN2,0.54188615,False,0
ERMN,0.48980248,False,0
ERN1,0.1779555,True,0
ERRFI1,0.5060459,False,0
ESR2,0.4110429,False,1
ESRRB,0.5986674,False,0
ESYT2,0.4110429,False,0
ETS1,0.36018264,True,0
ETS2,0.51184595,True,0
ETV1,0.49566284,True,0
ETV6,0.5256105,False,0
EYA4,0.49566284,False,0
EYS,0.5184211,False,0
EZH2,0.55252504,True,0
EZR,0.45310467,False,0
F2R,0.6906993,True,0
F8,0.44397938,False,0
FABP7,0.4099559,False,0
FAM107B,0.420917,False,0
FAM118A,0.4110429,False,0
FAM167A,0.5184211,False,0
FAM78A,0.5986674,False,0
FAP,0.59866756,False,0
FAT1,0.44397938,False,0
FAT4,0.37485477,False,0
FAU,0.39603212,False,0
FBLN5,0.4110429,True,0
FERMT1,0.5986675,True,0
FGD4,0.5447528,True,0
FGF10,0.6340952,False,0
FGF13,0.55951905,False,0
FGF14,0.5671282,True,0
FGFR1,0.5002197,False,0
FGFR3,0.6561906,False,0
FGR,0.19525863,False,0
FHOD1,0.45755002,False,0
FILIP1,0.44982094,False,0
FILIP1L,0.45310467,False,0
FKBP5,0.24998657,False,0
FLI1,0.4110429,False,0
FLJ46284,0.2956448,True,0
FLNA,0.05076233,False,0
FLRT2,0.5184211,False,0
FLT1,0.4110429,True,0
FLT3,0.66631305,False,0
FMN1,0.3724842,False,0
FNDC3B,0.40530902,True,0
FOS,0.46327573,False,0
FOSB,0.47070268,False,0
FOSL2,0.43733314,False,0
FOXP2,0.36888596,False,0
FRAS1,0.5184211,False,0
FRMD4B,0.5184211,False,0
FRRS1,0.5184211,False,0
FSCN1,0.4099559,False,0
FSHR,0.9102537,True,1
FSTL1,0.67156506,False,0
FSTL4,0.58285856,False,0
FSTL5,0.5638394,False,0
FTH1,0.422374,False,0
FTL,0.44117367,False,0
FXYD5,0.06135175,False,0
FZD6,0.6340952,True,0
GABPB1,0.66631305,False,0
GABRA2,0.54188615,False,0
GABRG1,0.45310467,False,0
GABRG3,0.5184211,False,0
GAD2,0.19525868,False,0
GADD45A,0.38654828,False,0
GADD45B,0.41878372,False,0
GADD45G,0.39679167,False,0
GALNT14,0.5184211,False,0
GALNT18,0.5184211,True,0
GALNTL6,0.5184211,False,0
GAS2L3,0.5986674,False,0
GCH1,0.24998657,False,0
GDNF,0.5184211,False,0
GEM,0.4099559,True,0
GFAP,0.45310467,False,0
GHR,0.4993313,True,0
GIMAP7,0.5184211,False,0
GIMAP8,0.09757301,False,0
GJB1,0.24998657,False,0
GJC1,0.44397938,False,0
GK,0.51184595,False,0
GLA,0.6340952,True,0
GLDC,0.4099559,True,0
GLI3,0.546561,False,0
GLIS3,0.45721158,False,0
GLRX,0.3552315,False,0
GLUL,0.41199866,False,0
GMPR,0.66631305,False,0
GNA13,0.66631305,False,0
GNA14-AS1,0.09757301,False,0
GNB4,0.45310467,False,0
GNG11,0.58285856,False,0
GNG12-AS1,0.4110429,False,0
GNG4,0.3288149,False,0
GPAT3,0.56939113,True,0
GPC4,0.69069934,False,0
GPC5-AS1,0.45310467,True,0
GPC5-AS2,0.45310467,False,0
GPC6,0.5184211,False,0
GPCPD1,0.4099559,True,0
GPM6A,0.45310467,True,0
GPNMB,0.097573034,True,0
GPR174,0.4099559,True,0
GPX1,0.5143488,False,1
GRAMD1A,0.66631305,True,0
GRB10,0.5865552,False,0
GRB2,0.39723766,False,0
GREM2,0.4422528,False,1
GRIA1,0.5184211,False,0
GRIK1,0.53062654,False,0
GRIK3,0.68436825,True,0
GRIN2A,0.45660466,False,0
GRIN3A,0.6561906,False,1
GRIP1,0.5184211,False,0
GRK5,0.60624135,False,0
GRM1,0.40690586,False,0
GRM7,0.45721158,True,0
GRM8,0.5708344,True,0
GSG1L,0.6340952,False,0
GULP1,0.45310467,True,0
GYG2,0.44397938,False,0
GYG2P1,0.46459574,False,0
HAGLR,0.061351776,False,0
HAS2,0.5184211,False,0
HCN1,0.58285856,False,0
HDAC1,0.097573034,False,0
HDAC9,0.4099559,False,0
HECA,0.4099559,False,0
HECW1,0.4103024,False,0
HEG1,0.45310467,True,0
HELB,0.4110429,False,0
HELZ2,0.4110429,False,0
HERC2P2,0.6340952,False,0
HES4,0.45310467,False,0
HGF,0.45310467,False,0
HHEX,0.6575632,False,1
HIF1A,0.55252504,False,0
HIP1,0.4110429,False,0
HMGCS1,0.48421282,False,0
HMOX1,0.55120796,False,1
HNMT,0.44397938,True,0
HOMER1,0.47256953,False,0
HOXD1,0.097573034,False,0
HPN,0.4110429,False,0
HPSE2,0.6561906,False,0
HRH1,0.4275644,True,0
HS3ST2,0.43644372,True,0
HS6ST2,0.5184211,False,0
HS6ST3,0.58285856,False,0
HSP90AA1,0.42809847,False,0
HSPA1A,0.4268792,True,0
HSPB1,0.45548347,False,0
HSPB8,0.43733314,False,0
HSPD1,0.4187837,False,0
HSPH1,0.4268792,True,0
HTR1E,0.7976741,False,0
