gene,score,validation,label
AATK,0.3741224,False,0
ABCA2,0.4023297,False,1
ABCB1,0.70577604,False,0
ABCC4,0.17208077,True,0
ABHD15,0.36052772,False,0
ABHD3,0.39923632,False,0
ABI3,0.3751194,False,0
ABLIM1,0.3741224,False,0
ABR,0.40953085,True,0
ABTB2,0.4023297,False,0
ACADL,0.2648236,False,0
ACER2,0.2648236,False,0
ACKR1,0.4023297,False,0
ACSL1,0.38374665,False,0
ACVR1,0.37846783,True,0
ACVR1C,0.38529268,False,0
ADAMTS1,0.3751194,False,0
ADAMTS12,0.3741224,False,0
ADAMTS17,0.37543154,False,0
ADAMTS18,0.53962684,False,0
ADAMTS19,0.3456507,False,0
ADAMTS3,0.18796836,True,0
ADAMTS9,0.53962684,False,0
ADAMTS9-AS2,0.4023297,False,0
ADAMTSL3,0.7496727,True,0
ADARB2,0.3741224,False,0
ADCY7,0.70577604,False,0
ADD3-AS1,0.3741224,False,0
ADGRD1,0.38529256,False,0
ADGRE5,0.4023297,False,0
ADGRG1,0.4023297,False,0
ADGRG2,0.70577604,False,0
ADGRV1,0.5017487,False,0
ADM,0.41674405,False,0
ADRA1B,0.5543779,True,0
AFAP1L2,0.5627177,False,0
AHCY,0.37537733,False,0
AHCYL1,0.37369996,False,0
AHCYL2,0.4023297,False,0
AIDA,0.42869383,False,0
AIF1L,0.3741224,True,0
AK7,0.4023297,False,0
AKAP12,0.2648236,False,0
AKAP13,0.3278944,True,0
ALDH3B1,0.41674405,False,0
ALK,0.3202064,False,0
ALOX12P2,0.43801928,False,0
ALPK3,0.2648236,False,0
AMER2,0.48138392,False,0
AMOTL1,0.4512209,False,0
AMZ2,0.4023297,False,0
ANGPT1,0.7496727,True,0
ANK1,0.3741224,True,0
ANKDD1A,0.2648236,False,0
ANKRD37,0.53962684,False,0
ANKRD44,0.38374665,False,0
ANXA2,0.38374665,False,0
ANXA5,0.39807975,True,0
APMAP,0.4023297,False,0
APOA1-AS,0.70577604,False,0
ARHGAP10,0.38374665,False,0
ARHGAP18,0.4023297,False,0
ARHGAP22,0.38374665,False,0
ARHGAP24,0.50362796,False,0
ARHGAP26-AS1,0.53962684,False,0
ARHGAP28,0.4023297,False,0
ARHGAP31-AS1,0.17208073,False,0
ARHGAP6,0.38636643,True,0
ARHGEF10L,0.24944778,False,0
ARHGEF40,0.4512209,False,0
ARHGEF6,0.5995755,False,0
ARID3A,0.2648236,False,0
ARID5A,0.4512209,False,0
ARL15,0.3741224,False,0
ARRDC2,0.4023297,False,0
ARRDC3,0.37402022,False,0
ARRDC3-AS1,0.38374665,False,0
ARSJ,0.4023297,False,1
ASAP3,0.37661713,True,0
ASPH,0.3741224,False,0
ATE1-AS1,0.3741224,False,0
ATF3,0.45096266,False,0
ATF5,0.35683396,False,0
ATOH8,0.3751194,False,0
ATP11A-AS1,0.4023297,False,0
ATP1B3,0.42630702,False,0
ATP8B4,0.69828564,False,0
AXL,0.4023297,False,0
B2M,0.5018477,False,0
B3GAT2,0.37850687,False,0
BAALC,0.4023297,False,0
BAALC-AS1,0.4023297,False,0
BACH1,0.22119966,False,0
BCAN,0.4023297,False,0
BCAR3,0.3741224,True,0
BCAS2,0.48461524,False,0
BCHE,0.7496727,False,1
BCL11B,0.38374665,False,0
BCL2L11,0.38374665,False,0
BCL2L14,0.36052772,False,0
BCL6,0.5037123,False,0
BEND7,0.45499587,False,0
BHLHE40,0.38699982,True,0
BHLHE41,0.40852693,False,0
BIRC3,0.2749933,False,0
BLNK,0.4023297,True,0
BMP2,0.24212657,False,0
BMP6,0.2355396,False,0
BMPER,0.47474685,False,0
BNC2,0.37661713,False,0
BOC,0.2749933,False,0
BRINP3,0.42850265,False,0
BSG,0.4023297,False,0
BTBD11,0.40308404,False,0
BTBD16,0.4023297,False,0
BTBD17,0.4023297,False,0
BTG1,0.70577604,True,0
BTG2,0.44924814,True,0
BTG3,0.47461912,True,0
BVES,0.2334294,False,0
C12orf42,0.53962684,True,0
C1QB,0.2648236,False,0
C1QC,0.17208073,False,0
C1QL1,0.43801928,False,0
C1QTNF1,0.38374665,False,0
C1QTNF7,0.38374665,False,0
C1orf195,0.3751194,True,0
C1orf54,0.4023297,False,0
C20orf197,0.38374665,False,0
C21orf62,0.24212652,False,0
C2CD2,0.2406361,False,0
C4orf45,0.70577604,False,0
C5AR2,0.4023297,True,0
CA10,0.3456507,False,0
CA3,0.3741224,False,0
CA8,0.4023297,False,0
CABLES1,0.45075807,True,0
CACHD1,0.547461,False,0
CACNB2,0.2211997,True,0
CACNG5,0.37661713,True,0
CADPS2,0.7496727,False,1
CALR,0.56709516,True,0
CAMK2G,0.2648236,False,0
CAMKMT,0.37661713,False,0
CAPN13,0.3741224,False,0
CARD6,0.4023297,False,0
CARD8,0.4023297,True,1
CARMN,0.39923632,False,0
CARTPT,0.4023297,True,0
CASC15,0.38374665,False,0
CASC19,0.2749933,True,0
CATSPERG,0.2648236,False,0
CBLB,0.2949196,False,0
CBLN2,0.38363916,False,0
CCDC13-AS1,0.3741224,False,0
CCDC50,0.36052772,True,0
CCK,0.4023297,False,0
CCL2,0.3741224,True,1
CCL4L2,0.3741224,False,0
CCND1,0.4023297,False,0
CCNG2,0.48092845,False,0
CCR1,0.53962684,True,0
CD109,0.4023297,False,0
CD163L1,0.4023297,False,0
CD247,0.3741224,False,0
CD274,0.38374665,False,0
CD55,0.2211997,False,0
CD63,0.5892616,False,0
CD83,0.4023297,False,0
CDH10,0.24212661,False,0
CDH12,0.2355382,False,0
CDH4,0.3741224,False,0
CDH6,0.38374665,False,0
CDH7,0.40242717,True,0
CDH8,0.46793035,False,0
CDK19,0.38374665,False,0
CDKN1A,0.4113201,False,0
CDKN1B,0.70577604,False,0
CDKN2A,0.5818461,False,1
CEBPD,0.3751194,False,0
CERCAM,0.4023297,True,0
CFAP54,0.3741224,False,0
CFLAR,0.37661713,False,0
CGNL1,0.7652429,False,0
CHD7,0.4023297,False,0
CHODL,0.37661713,False,0
CHODL-AS1,0.4023297,False,0
CHRDL1,0.18796797,False,0
CHRM2,0.43045327,False,0
CHRM3,0.38374665,True,0
CHRM5,0.2749933,False,0
CHRNA7,0.43937334,True,1
CHST6,0.24212652,False,0
CHST9,0.4023297,False,0
CHSY1,0.37543154,False,0
CKS2,0.34158024,False,0
CLCA4,0.4023297,True,0
CLDND1,0.4023297,False,0
CLEC14A,0.3741224,False,0
CLEC1A,0.4023297,False,0
CLNK,0.29884323,True,0
CLU,0.56097215,False,1
CMAHP,0.3456507,False,0
CMKLR1,0.4023297,False,0
CMTM7,0.4023297,False,0
CNN3,0.2648236,False,0
CNOT8,0.38374665,True,0
CNP,0.38374665,False,0
CNR1,0.37850687,False,0
CNTN3,0.42850232,False,0
CNTN4,0.33293128,False,0
CNTN5,0.7652429,False,0
CNTN6,0.371425,False,0
CNTNAP5,0.7652429,False,0
COBLL1,0.7496727,False,0
COL11A1,0.38374665,False,1
COL24A1,0.37661713,False,0
COL4A2,0.38374665,True,0
COL5A3,0.4023297,False,0
COPE,0.4023297,False,0
COTL1,0.38374665,False,0
CPB2-AS1,0.4023297,False,0
CPED1,0.7496727,False,0
CPNE4,0.36052772,False,0
CPNE8,0.4023297,False,0
CPOX,0.4023297,False,0
CRB1,0.38374665,False,0
CREB3L2,0.2211997,False,0
CREB5,0.52683246,False,0
CREBL2,0.70577604,False,0
CREM,0.5995755,False,0
CRHBP,0.38628238,False,0
CRIM1,0.3884694,False,0
CSF1,0.3741224,False,0
CSGALNACT1,0.7496727,False,0
CSRNP1,0.38374665,False,0
CTNS,0.70577604,False,0
CTSB,0.70577604,False,0
CTSC,0.5848933,False,0
CTSL,0.50051934,False,0
CTTNBP2NL,0.38699982,True,0
CUX2,0.37908712,False,0
CXCR4,0.48326558,False,0
CYCS,0.4619757,False,0
CYFIP1,0.3741224,False,0
CYTH4,0.4023297,False,0
CYTL1,0.4023297,False,0
DAAM2,0.3741224,True,0
DACH1,0.6412818,True,0
DACH2,0.7618263,False,0
DAP,0.17208073,True,0
DAPK2,0.4023297,False,0
DCC,0.5046071,False,0
DCLK2,0.36052772,False,0
DDB2,0.53962684,False,0
DDIT4,0.53962684,False,0
DDR2,0.4023297,True,0
DDX3Y,0.38481465,False,0
DENND1C,0.53962684,False,0
DENND2C,0.4023297,False,0
DEPTOR,0.240636,False,0
DGAT2L6,0.4023297,False,0
DGKB,0.70577604,False,1
DGKG,0.3741224,False,0
DGKH,0.37661713,False,0
DIRC3,0.2749933,False,0
DISC1FP1,0.2749933,False,0
DKK2,0.3741224,True,0
DLC1,0.3108902,True,0
DLEU7,0.4023297,False,0
