gene,score,validation,label
A4GALT,0.7995911,True,0
ABCA1,0.49037158,False,1
ABCA10,0.46630114,False,0
ABCA9,0.43687508,False,0
ABI3BP,0.46630114,False,0
ABLIM1,0.5612934,False,0
ABR,0.28169513,False,0
ABTB2,0.46630114,False,0
ACAN,0.5651823,False,1
ACSL1,0.32413074,True,0
ACTA2,0.46630114,False,0
ACVR1,0.46630114,False,0
ACVR1C,0.48103866,False,0
ADAMTS17,0.46630114,False,0
ADAMTS18,0.5651823,False,0
ADAMTS19,0.106637746,False,0
ADAMTS3,0.48103866,True,0
ADAMTS9,0.3474063,True,0
ADAMTSL1,0.07974048,False,0
ADAMTSL2,0.46630114,False,0
ADCY7,0.46630114,False,0
ADCY8,0.1798168,False,0
ADGRG1,0.4926549,False,0
ADGRL2,0.5612933,True,0
ADGRV1,0.46630114,False,0
ADIPOR2,0.28169513,False,0
ADRA1B,0.17981656,False,0
AFAP1L2,0.45648277,False,0
AFMID,0.11815059,False,0
AGA,0.029148169,False,0
AGTRAP,0.55724657,False,0
AHCYL1,0.46630114,False,0
AHCYL2,0.39905718,False,0
AHNAK,0.7563827,False,0
AKAP12,0.28169513,False,0
AKNA,0.5651823,False,0
ALOX5,0.8576605,False,1
ALPK1,0.46630114,False,0
ALPK3,0.43214348,False,0
ALPL,0.43214348,False,0
AMER2,0.5435925,False,0
AMOTL1,0.07974068,True,0
ANGPT1,0.45648277,True,0
ANKRD22,0.46630114,False,0
ANKRD55,0.28331715,False,0
ANTXR2,0.46630114,False,0
ARHGAP10,0.28169513,False,0
ARHGAP15,0.48103866,False,0
ARHGAP18,0.28169513,False,0
ARHGAP22,0.10361882,False,0
ARHGAP24,0.2202555,False,0
ARHGAP26,0.46630114,False,0
ARHGAP26-AS1,0.46630114,False,0
ARHGAP27,0.64456594,False,0
ARHGAP29,0.46630114,True,0
ARHGAP30,0.029148055,False,0
ARHGAP42,0.061497465,False,0
ARHGAP6,0.28169513,False,0
ARHGEF10L,0.48103872,True,0
ARHGEF28,0.47872865,True,0
ARL15,0.28169513,False,0
ARRDC3,0.46630114,False,0
ARSJ,0.46630114,False,1
ASIC2,0.46630114,False,0
ASPH,0.46630114,False,0
ASTN2-AS1,0.46630114,False,0
ATP2A3,0.43214348,True,0
ATP7B,0.6445658,True,1
ATP8B1,0.28169513,False,0
ATP8B4,0.061610796,False,0
AVEN,0.28331724,False,0
B2M,0.46630114,False,0
B4GALT1,0.28169513,False,0
BAALC,0.28169513,False,0
BAG3,0.46630114,False,0
BANK1,0.46630114,False,0
BAZ1A,0.28331718,False,0
BCAM,0.28331712,False,0
BCAR3,0.28169513,False,0
BCAS2,0.46630114,False,0
BCL11B,0.4716926,True,0
BCL3,0.46630114,False,0
BDNF,0.43214348,True,1
BICC1,0.46630114,True,0
BMP2K,0.28331718,False,0
BMP7,0.46630114,False,0
BMPER,0.46630114,False,0
BOC,0.6445661,True,0
BOK,0.75638133,True,0
BRINP3,0.49037158,False,0
BTBD11,0.28169513,True,0
BTG1,0.46630114,False,0
BTG2,0.483467,False,0
BTG3,0.45648277,False,0
BVES,0.46630114,False,0
BVES-AS1,0.46630114,False,0
C18orf54,0.029148176,False,0
C1orf87,0.46630114,False,0
C3AR1,0.7108573,False,0
CA14,0.46630114,True,0
CA8,0.46630114,False,0
CACHD1,0.17981675,False,0
CACNA2D3,0.46630114,False,0
CALB2,0.4926549,True,0
CALCRL,0.40341416,True,0
CALD1,0.8576594,False,0
CALN1,0.28169513,False,0
CALR,0.46630114,False,0
CAMK2G,0.5022737,True,0
CARD14,0.46630114,False,0
CBLN2,0.46630114,False,0
CCDC141,0.6712386,False,0
CCDC15,0.28331724,False,0
CCK,0.46630114,False,0
CCL5,0.029148169,False,0
CCND3,0.64456606,False,0
CCNG2,0.46630114,False,0
CD163,0.029148132,False,0
CD300A,0.75638133,False,0
CD37,0.034536924,False,0
CD53,0.46630114,True,0
CD63,0.46630114,True,0
CD82,0.43214348,False,0
CD86,0.46630114,False,0
CDC14A,0.0345371,False,0
CDH10,0.4810386,True,0
CDH12,0.2911404,False,0
CDH20,0.46630114,False,0
CDH6,0.34843037,True,0
CDH7,0.48103875,True,0
CDH8,0.49037158,False,0
CDK18,0.061610732,False,0
CDKN1B,0.46630114,False,0
CDR2L,0.029148132,False,0
CEBPB,0.39905718,False,0
CEBPD,0.06161103,True,0
CFL2,0.46630114,False,0
CFLAR,0.10663766,False,0
CFTR,0.46630114,False,0
CHRDL1,0.5432553,True,0
CHST11,0.6712388,False,0
CHST3,0.4926549,False,0
CLCN5,0.52801347,True,0
CLEC1A,0.46630114,False,0
CLSTN2,0.45642853,False,1
CLU,0.46630114,False,1
CMAHP,0.46630114,False,0
CMKLR1,0.79959166,True,0
CNOT8,0.46630114,False,0
CNP,0.46630114,False,0
CNPY3,0.103618786,True,0
CNR1,0.4238325,True,0
CNTN2,0.46630114,True,0
CNTN4,0.56129336,False,0
CNTN6,0.67123866,False,0
CNTNAP5,0.46630114,False,0
COBLL1,0.4202917,False,0
COL12A1,0.4926549,False,0
COL13A1,0.7995919,False,0
COL14A1,0.45648277,True,0
COL8A2,0.43214348,False,0
CPS1,0.5651823,False,0
CREB5,0.44463265,False,0
CREBL2,0.43300664,False,0
CRH,0.46630114,True,0
CRIM1,0.28169513,False,0
CRYAB,0.71085715,False,0
CTTNBP2NL,0.39218587,False,0
CXCL12,0.46630114,False,0
CXCR4,0.5053048,False,0
CYBA,0.7995913,False,0
CYCS,0.46630114,False,0
DACH1,0.48103866,False,0
DACH2,0.43001968,False,0
DAP,0.46630114,False,0
DCC,0.46630114,False,0
DCDC2C,0.029148119,False,0
DCHS2,0.39905718,False,1
DCLK2,0.28169513,False,0
DDIT4,0.5053048,False,0
DDR2,0.7535698,False,0
DENND2A,0.46630114,False,0
DENND3,0.11815044,False,0
DEPTOR,0.103618614,False,0
DHCR24,0.75357,False,1
DIAPH3,0.46630114,False,0
DIO1,0.46630114,False,0
DISC1,0.52164406,False,0
DLC1,0.46630114,False,0
DLGAP1,0.06149981,False,0
DOCK2,0.46630114,False,0
DOK1,0.10663761,False,0
DOK6,0.46630114,False,0
DPYSL3,0.10663754,False,0
DPYSL5,0.28331718,False,0
DSCAM,0.6445658,False,0
DSP,0.46630114,False,0
DTNA,0.45648277,False,0
DUSP1,0.5501805,False,0
DUSP10,0.43390554,False,0
DUSP16,0.45648277,False,0
DUSP22,0.75357014,True,0
DUSP5,0.5218728,False,0
EBF2,0.03453691,False,0
EDNRB,0.79959136,True,0
EFNA5,0.28169513,True,1
EGFL7,0.10361854,False,0
EGR1,0.47872332,True,0
ELAVL2,0.28169513,False,0
ELL2,0.44954827,False,0
ELOVL2,0.46630114,False,0
ELOVL7,0.5651823,False,0
EMB,0.28331718,False,0
EMP1,0.46630114,False,0
ENPP1,0.17718206,False,0
ENTPD1-AS1,0.28331715,False,0
EPHA3,0.06149812,False,0
EPHA5,0.07974033,False,0
EPHB1,0.5651823,False,0
ERI1,0.034536485,False,0
ERMN,0.46630114,False,0
ERRFI1,0.75356996,False,0
ESRRB,0.18577825,False,0
ESYT2,0.28331712,False,0
ETS1,0.48103875,False,0
ETV1,0.8209636,False,0
ETV6,0.7255033,False,0
EYA4,0.4202917,False,0
F11R,0.43214348,True,0
F13A1,0.7995914,False,1
FAM110B,0.70576596,False,0
FAM118A,0.10663742,False,0
FAM167A,0.46630114,False,0
FAM78A,0.07974068,False,0
FANCC,0.46630114,False,0
FAT1,0.40514424,False,0
FAT3,0.44757462,False,0
FAT4,0.46630114,False,0
FAU,0.46630114,False,0
FAXDC2,0.45648277,True,0
FBN2,0.5651823,False,0
FBXL7,0.5651823,True,0
FCGR1A,0.46630114,False,0
FCGR1CP,0.46630114,False,0
FER1L6-AS2,0.632741,False,0
FGD2,0.43214348,False,0
FGD4,0.8576601,True,0
FGF13,0.46630114,False,0
FGF7,0.3987156,False,0
FGFR1,0.46630114,False,0
FIGN,0.06149671,False,0
FKBP5,0.6712386,False,0
FLNC,0.46630114,False,0
FLT1,0.28169513,False,0
FMNL1,0.7535705,False,0
FNDC3B,0.28169513,False,0
FOS,0.46324936,False,0
FOSB,0.5154298,False,0
FOSL2,0.39144966,False,0
FOXO1,0.5651823,False,0
FOXP1-AS1,0.029148147,False,0
FRAS1,0.4238325,False,0
FREM1,0.8576602,True,0
FREM2,0.46630114,True,0
FRMD4B,0.46630114,False,0
FRMD6,0.43214345,False,1
FSTL5,0.46630114,True,0
FTH1,0.46630114,False,0
FTL,0.46630114,False,0
GABRA2,0.26293758,False,0
GADD45B,0.5297804,False,0
GADD45G,0.5297804,False,0
GALNT14,0.46630114,False,0
GAS2L3,0.06161,True,0
GCNT2,0.23330699,False,0
GHR,0.28169513,False,0
GJB6,0.43214348,False,0
GK,0.11815069,False,0
GLDC,0.39905718,True,0
GLRA2,0.3987156,False,0
GNA13,0.39905718,False,0
GNAL,0.28169513,True,0
GNB4,0.17981675,False,0
GNG12,0.28169513,False,0
GNG12-AS1,0.28169513,True,0
GNG4,0.4619476,False,0
GOLIM4,0.17981663,False,0
GPAT3,0.28169513,False,0
GPC6,0.4926549,True,0
