gene,score,validation,label
ABCC4,0.99731296,False,1
ABHD3,0.46745494,False,-1
ABR,0.43020868,False,-1
ACSL1,0.32616806,False,-1
ACSM5,0.97965974,False,-1
ADAM28,0.8350563,False,-1
ADAMTSL2,0.6082153,False,-1
ADGRE2,0.48277742,False,-1
ADGRG1,0.87074584,False,-1
ADGRG5,0.43063992,False,-1
ADIPOR2,0.49356708,False,-1
ADPGK,0.46116316,False,-1
AIDA,0.47315815,False,-1
AKAP13,0.81984603,False,-1
AKNA,0.7254349,False,-1
ALOX15B,0.96381783,False,-1
ALOX5,0.4757331,False,-1
ALOX5AP,0.9813641,False,1
ALPK1,0.44338125,False,-1
AMOT,0.59336203,False,-1
ANKDD1A,0.89305127,False,-1
ANKRD44,0.4817489,False,-1
ANKS1A,0.44072658,False,-1
ANLN,0.92512196,False,-1
ANO6,0.9228341,False,-1
ANOS1,0.49123922,False,-1
AOAH,0.48483744,False,-1
APAF1,0.0025002144,False,0
APBB1IP,0.8643519,False,-1
APMAP,0.994701,False,1
APOLD1,0.926015,False,-1
ARHGAP18,0.44791704,False,-1
ARHGAP22,0.6766528,False,-1
ARHGAP25,0.56554246,False,-1
ARHGAP26,0.61604726,False,-1
ARHGAP30,0.4661637,False,-1
ARHGAP31,0.4533916,False,-1
ARHGDIB,0.7838919,False,-1
ARHGEF10L,0.57825726,False,-1
ARHGEF6,0.99342173,False,-1
ARID3A,0.48684,False,-1
ARL15,0.48879588,False,-1
ARL5A,0.48929954,False,-1
ARRB2,0.987039,False,1
ASPH,0.4342498,False,-1
ASPN,0.66832304,False,-1
ATF3,0.9022721,False,-1
ATP11C,0.5500071,False,-1
ATP1B3,0.5226983,False,-1
B2M,0.00419124,False,0
B3GNT5,0.76015127,False,-1
B4GALT1,0.11763805,False,-1
BACH1,0.4054208,False,-1
BAG3,0.49468857,False,-1
BARD1,0.9253203,False,-1
BAZ1A,0.46752042,False,-1
BCAR3,0.4332054,False,-1
BCAS2,0.64633685,False,-1
BCL2,0.5579015,False,-1
BCL2A1,0.4813519,False,-1
BCL6,0.53087497,False,1
BHLHE41,0.9511726,False,-1
BIN2,0.98925215,False,1
BLNK,0.99228764,False,1
BNC2,0.9919533,False,-1
BROX,0.7496252,False,-1
BTG1,0.46182153,False,-1
BTG2,0.5729182,False,-1
C11orf65,0.8468389,False,-1
C12orf75,0.965756,False,-1
C1QA,0.99913377,False,1
C1QB,0.6203551,False,-1
C1QC,0.90977365,False,-1
C1RL,0.43595254,False,-1
C1orf112,0.7361031,False,-1
C1orf162,0.90292543,False,-1
C3,0.5797268,False,-1
C3AR1,0.9946772,False,1
C5AR1,0.61616707,False,-1
CA8,0.009769492,False,0
CAMKMT,0.48805383,True,1
CAP1,0.009424922,False,0
CARD11,0.98426557,False,-1
CASP1,0.43339664,False,-1
CASP10,0.46785456,False,-1
CASP4,0.97471935,False,1
CASS4,0.9543255,False,-1
CCDC26,0.59185976,False,-1
CCDC50,0.81547415,False,-1
CCL3,0.5992691,False,-1
CCL4,0.60538447,False,-1
CCL4L2,0.6153297,False,-1
CCND1,0.98776615,False,1
CCND3,0.013589952,False,0
CD163,0.5776516,False,-1
CD163L1,0.45631996,False,-1
CD300A,0.41985056,False,-1
CD4,0.0023478991,False,0
CD53,0.7457287,False,-1
CD55,0.66533315,False,-1
CD58,0.53222525,False,-1
CD69,0.8897408,False,-1
CD74,0.99628025,False,1
CD83,0.9846699,False,-1
CD86,0.9853957,False,1
CD93,0.4485572,False,-1
CDC14A,0.53435683,False,-1
CDKN1A,0.55733085,False,-1
CEACAM21,0.7345665,False,-1
CEBPA,0.9245455,False,-1
CEBPB,0.49199206,False,-1
CEBPD,0.99162287,False,1
CENPF,0.9810332,False,-1
CEP128,0.45381588,False,-1
CEP152,0.9692106,False,-1
CFLAR,0.9983746,False,1
CGNL1,0.97257704,False,-1
CH25H,0.7142601,False,1
CHD7,0.46638417,False,-1
CHST11,0.5442511,False,-1
CHST15,0.6192938,False,-1
CHSY1,0.47584468,False,-1
CIITA,0.6697193,False,-1
CLCN5,0.99365556,False,-1
CLEC2B,0.401813,False,-1
CLIC4,0.29209515,False,-1
CMAHP,0.5373753,False,-1
CMKLR1,0.7662941,False,-1
CMTM6,0.4626096,False,-1
CMTM7,0.6231935,False,-1
CNTLN,0.006593094,False,-1
COLGALT1,0.88091403,False,-1
COTL1,0.99579585,False,1
CPED1,0.986505,False,-1
CPVL,0.999323,False,1
CREB3L2,0.56385726,False,-1
CREB5,0.55272245,False,-1
CREBL2,0.949466,False,-1
CREM,0.9127402,False,-1
CSF1R,0.80857265,False,-1
CTSB,0.7349262,False,-1
CTSC,0.44624704,False,0
CTSH,0.27659115,False,-1
CTSS,0.4612249,True,1
CTTNBP2NL,0.4198987,False,-1
CX3CR1,0.9783458,False,-1
CXCR4,0.99274194,False,-1
CYFIP1,0.61722183,False,-1
CYTH4,0.77502364,True,1
CYTIP,0.73637056,True,0
DAP,0.97261703,False,-1
DDIT4,0.9398061,False,-1
DDX21,0.45654023,False,-1
DEF6,0.43440953,False,-1
DENND3,0.7352927,False,-1
DISC1,0.64038557,False,-1
DLGAP1,0.5770123,False,-1
DNAJB1,0.46029854,False,-1
DOCK11,0.46004665,False,-1
DOCK2,0.9959557,False,1
DOCK5,0.44989163,False,-1
DOCK8,0.9942753,False,1
DRAM1,0.42783666,False,-1
DSCAM,0.97134733,False,-1
DTNA,0.44093373,False,-1
DUSP1,0.97262007,False,-1
DUSP16,0.44270366,False,-1
DUSP22,0.9969216,False,1
EBI3,0.35054874,False,-1
EGR1,0.643987,False,-1
EGR3,0.6146763,False,-1
EHD4,0.4149086,False,-1
ELF1,0.9377143,False,-1
ELK3,0.8863802,False,-1
ELL2,0.6165275,False,-1
ELOVL5,0.48532826,False,-1
EMB,0.4280485,False,-1
EML4,0.44219774,False,-1
ENG,0.9839445,False,-1
ENTPD1,0.44725692,False,-1
EPS8,0.4263619,False,-1
EPSTI1,0.9897395,False,-1
ERMAP,0.50521,False,-1
ETS2,0.86539394,False,1
ETV6,0.68159705,False,-1
EZH2,0.91294074,False,-1
F13A1,0.2572177,False,-1
FAM110B,0.45579404,False,-1
FAM111A,0.9051956,False,-1
FAM114A1,0.41589767,False,-1
FAM126A,0.9883867,False,1
FAM20A,0.31307837,False,-1
FCGBP,0.6796224,False,-1
FCGR1A,0.99797076,False,1
FCGR1B,0.4051492,False,-1
FCGR1CP,0.4251229,False,-1
FCGR2A,0.99311686,False,1
FCGR3A,0.632007,False,-1
FGD2,0.602168,False,-1
FGD3,0.7691262,False,-1
FGD4,0.6285,False,-1
FGF14,0.56247056,True,1
FGL2,0.4622864,False,-1
FIRRE,0.47737667,False,-1
FKBP5,0.35005715,False,-1
FLI1,0.7451479,False,-1
FLT1,0.45388803,False,-1
FLVCR2,0.48713082,False,-1
FMN1,0.14256501,False,-1
FMNL1,0.0052075125,False,0
FNDC3B,0.4693527,False,-1
FOS,0.98843366,False,1
FOSB,0.9206912,False,1
FOSL2,0.2797952,False,0
FOXP2,0.6766667,True,0
FPR3,0.56000406,False,-1
FRMD3,0.43463013,False,-1
FSCN1,0.62988245,False,-1
FTH1,0.9286778,False,-1
