gene,score,validation,label
ABCA1,0.007474932,False,-1
ACSL1,0.47070307,False,-1
ADAM28,0.85184926,False,-1
ADAP2,3.356163e-05,False,-1
ADGRE5,0.6293922,False,-1
ALOX5,0.99362504,False,-1
ANKRD44,0.964519,False,-1
ANKS1A,0.734269,False,-1
ANXA1,0.9159992,False,-1
AOAH,0.2053016,False,-1
ARHGAP22,0.8192469,False,-1
ARHGAP26,0.99978465,False,-1
ARHGEF6,0.004742802,False,-1
ARID5A,0.10712281,False,-1
ARL15,0.54315466,False,-1
ARRDC3,0.7588158,False,-1
ATF3,0.9881593,False,-1
ATP1B3,0.04684438,False,-1
ATP8B4,0.7693639,False,-1
B2M,0.00985872,False,0
B4GALT1,0.6225867,False,-1
BACH1,0.839541,False,-1
BAG3,0.882961,False,-1
BCAR3,0.56785506,False,-1
BCAS2,0.6509673,False,-1
BCL2,7.2299554e-05,False,-1
BCL6,0.90477884,False,1
BHLHE41,0.089601755,False,-1
BLNK,0.8606004,False,1
BNC2,0.0711238,False,-1
BTG1,0.5900677,False,-1
C3,0.07139874,False,-1
C5AR1,0.84262156,False,-1
CARD11,0.9799042,False,-1
CCDC152,0.82390106,False,-1
CCDC26,0.56114155,False,-1
CCDC50,0.5511972,False,-1
CCL3,0.278688,False,-1
CCL4,0.15016189,False,-1
CCND3,0.5470292,False,0
CD69,0.4695873,False,-1
CD74,0.99045604,False,1
CD83,0.72800714,False,-1
CD86,0.9603095,False,1
CD9,0.6116868,False,-1
CDKN1A,0.089534104,False,-1
CEBPD,0.922353,False,1
CFLAR,0.55616724,False,1
CHST11,0.99909127,False,-1
CHST15,0.6042866,False,-1
CHSY1,0.9962923,False,-1
CIITA,0.8902728,False,-1
CLEC2B,0.66883916,False,-1
CLEC7A,0.9922328,False,1
CMAHP,0.32434607,False,-1
COL27A1,0.016497448,False,-1
CPED1,0.5594359,False,-1
CREM,0.901572,False,-1
CRIM1,0.17910598,False,-1
CSF1R,0.67136115,False,-1
CSGALNACT1,0.002641919,False,-1
CSRNP1,0.99997663,False,-1
CTSB,0.5818254,False,-1
CTTNBP2NL,0.7457798,False,-1
CYCS,0.7502494,False,1
CYTIP,0.24196827,True,0
DDIT4,0.013824926,False,-1
DIRC3,0.0002648298,False,-1
DNAJB1,0.79853874,False,-1
DOCK8,0.93494576,False,1
DUSP1,0.95434654,False,-1
DUSP10,0.8332262,False,-1
EGR1,0.9630334,False,-1
EGR3,0.00034293722,False,-1
EIF4A3,0.88951343,False,-1
ELF1,0.114897236,False,-1
ELL2,0.05157036,False,-1
EMB,0.1444242,False,-1
EMILIN2,0.8289604,False,-1
EML4,0.93552184,False,-1
ENTPD1,0.6094368,False,-1
EPSTI1,0.004053368,False,-1
ESR1,0.5413567,False,-1
ESYT2,0.6476867,False,-1
ETS2,0.9338556,False,1
ETV6,0.99354666,False,-1
EYA2,0.0074768015,False,-1
F13A1,0.53148437,False,-1
FAM20A,0.53149545,False,-1
FGF13,0.0027592727,False,-1
FLI1,0.56753105,False,-1
FLT1,0.9970487,False,-1
FMNL3,0.9832425,False,-1
FOS,0.9254249,False,1
FOSB,0.44731438,True,1
FOSL2,0.059802417,False,0
FSCN1,0.6225624,False,-1
FTH1,0.84270453,False,-1
GADD45B,0.75765353,False,-1
GBP2,0.42869833,False,-1
GLUL,0.83576196,False,-1
GNA13,0.8752264,False,-1
GPR183,0.32777065,False,-1
GPRIN3,0.9958091,False,-1
HDAC9,0.6037531,False,-1
HECA,0.77199256,False,-1
HERPUD1,0.13232613,False,0
HIF1A,0.30047178,False,-1
HK2,0.025259571,False,0
HLA-DPB1,0.08353721,False,0
HLA-DRA,0.8064679,False,-1
HLA-DRB1,0.7818891,False,-1
HMOX1,0.63382304,False,-1
HRH1,0.4034432,False,-1
HS3ST4,0.661409,False,-1
HSP90AA1,0.93152165,False,-1
HSPA1A,0.8901977,False,-1
HSPA5,0.2816133,False,-1
HSPB1,0.9322661,False,-1
HSPD1,0.810266,False,-1
HSPH1,0.96387047,False,1
ID2,0.990121,False,-1
IER2,0.7204892,False,-1
IER5,0.7103329,False,-1
IFI16,0.54812104,False,-1
IGF1,0.5535094,False,-1
IGSF21,0.9983728,False,-1
IKZF1,0.06504682,False,-1
IL10RA,0.54689926,False,-1
IL17RA,0.006334136,False,0
IL1RAP,0.99892634,False,1
INSIG1,0.76484644,True,1
IQGAP2,0.5482506,False,-1
IRAK2,0.26415628,False,-1
IRAK3,0.32285544,False,-1
IRF5,0.1272574,False,-1
IRF7,0.9275784,False,1
JUN,0.9814006,False,1
JUNB,0.89810234,False,1
KCNQ3,0.92255306,False,-1
KCTD12,0.63601637,False,-1
KLF2,0.99848264,False,1
KLF3,0.1275993,False,-1
KLF4,0.9450527,False,-1
KLF6,0.052497346,True,0
LAPTM5,0.3526497,False,-1
LDLR,0.7978497,False,-1
LGMN,0.94976205,False,-1
LINC01619,0.0055165887,False,-1
LITAF,0.81601244,False,-1
LPCAT2,0.9990701,False,-1
MAF,0.62641233,False,-1
MAFF,0.506208,False,-1
MAN1A1,0.6429099,False,-1
MCL1,0.9940965,False,-1
MEF2A,0.8007387,True,1
MPPED2,0.0004968755,False,-1
MS4A6A,0.5617698,False,-1
MSR1,0.99611354,False,1
MYLIP,0.010290695,False,-1
MYO1F,0.54628426,False,-1
NAMPT,0.9749374,False,1
NCK2,0.037135094,False,0
NCKAP1L,0.41689065,False,-1
NDRG1,0.000364863,False,0
NEAT1,0.9811493,False,-1
NEDD9,0.9657993,False,-1
NFATC1,0.099457994,False,-1
NFATC2,0.5627985,False,1
NFIL3,0.027037935,False,-1
NFKBIA,0.0008958947,False,0
NFKBID,0.62412167,False,-1
NFKBIZ,0.7952849,False,-1
NR4A1,0.27767363,False,0
NR4A2,0.98432875,False,-1
NR4A3,0.9899682,True,1
NRP1,0.0004110456,False,-1
OGFRL1,0.6087329,False,-1
OLMALINC,0.58642673,False,-1
OLR1,0.035874758,True,1
OTUD1,0.81733394,False,-1
P2RY12,0.9709727,True,1
P2RY14,0.64424074,False,-1
P3H2,0.5522104,False,-1
P4HA1,0.83063656,False,-1
PALD1,0.9845797,False,-1
PAPOLG,0.40426344,False,-1
PARP14,0.55368817,False,-1
PDGFC,0.5451362,False,-1
PDK1,0.01795658,True,1
PDLIM5,0.034991354,False,0
PER1,0.6473016,False,-1
PFKFB3,0.8809175,False,1
PIK3R5,0.24681109,False,-1
PLAUR,0.64992416,False,-1
PLEK,0.55340403,False,-1
PLEKHG2,0.64669716,False,-1
PLIN2,0.90535885,False,1
PLSCR1,0.9206707,False,-1
PLTP,0.96765,False,1
PLXND1,0.53517103,False,-1
PNP,0.74825233,False,-1
POU2F2,0.10336483,False,-1
PPARD,0.07089647,False,-1
PPP1CB,0.47850057,True,1
PPP1R15A,0.9271658,False,-1
PRKCH,0.016439369,False,-1
PTMA,0.015067971,False,0
RAB20,0.2930093,False,-1
RAPGEF1,0.14562935,False,-1
RASGEF1B,0.00095333555,False,-1
RBM47,0.110414796,False,-1
REL,0.07967356,False,0
RGCC,0.046800036,True,1
RGS1,0.08793757,False,-1
RGS10,0.007743719,False,0
RGS2,0.57509875,False,-1
RILPL2,0.7356674,False,-1
RIPK2,0.0022696715,False,0
RNF144B,0.7483289,False,-1
RUNX1,0.09486618,False,-1
RUNX2,0.9420738,False,-1
SAMD9L,0.99995947,False,-1
SAMHD1,0.5576207,False,-1
SAMSN1,0.3337445,False,-1
SCN9A,0.42055827,False,0
SDC2,0.9009976,False,1
SDK1,0.41101012,False,-1
SEC24D,0.94356394,False,-1
SFMBT2,0.018881327,False,-1
SGK1,0.253396,False,-1
SH3TC1,0.55833447,False,-1
SIPA1L2,0.046775002,False,0
SLC11A1,0.8569843,False,-1
SLC25A37,0.61176014,False,1
SLC2A3,0.017847728,False,-1
SLC38A2,0.7426524,False,-1
SLC39A8,0.012777719,False,0
SLC8A1,0.9265945,False,-1
SMAD3,0.048233803,False,0
SORL1,0.9966667,False,-1
SPI1,0.0710545,True,1
SPON1,0.01050043,False,-1
SPP1,0.0138734495,False,-1
SRGN,0.61428154,False,-1
ST6GAL1,0.052987058,True,1
ST6GALNAC3,0.75940764,False,-1
STX17-AS1,0.3314977,False,-1
SYTL3,0.093328044,False,-1
TBC1D14,0.9328535,False,-1
TEX14,0.9588791,False,-1
TFRC,0.92784876,False,-1
TGFBI,0.9873065,False,1
TGIF1,0.1498338,False,-1
TIPARP,0.79699427,False,-1
TMEM132D,0.018847216,False,-1
TMEM156,0.64652056,False,-1
TMEM163,0.9921598,False,-1
TMSB4X,0.99021226,False,-1
TNFAIP2,0.54868954,False,-1
TNFAIP8,0.13501823,False,-1
TNFRSF10D,0.6048904,False,-1
TNS1,0.99095166,False,-1
TNS3,0.9940795,False,1
TRPS1,0.21927473,False,-1
TSC22D3,0.9907177,False,1
UBASH3B,0.97526973,False,1
UBC,0.94826436,False,-1
USP53,0.036093123,False,-1
USP6NL,0.13163644,False,-1
USPL1,0.5723864,False,-1
UST,0.4138444,False,-1
VEGFA,0.096875325,False,-1
VSIG4,0.07135995,False,-1
WDFY4,0.0010978277,False,-1
WIPF1,0.542307,False,-1
WLS,0.12638888,False,-1
XBP1,0.10390729,False,-1
ZEB1,0.7616235,False,-1
ZFAND2A,0.6905062,False,-1
ZFP36L1,0.1914851,False,-1
ZFP36L2,0.99764925,False,-1
ZNF331,0.6806788,False,-1
ZNF710,0.22987802,False,-1
ZNF846,0.0002885459,False,-1
