gene,score,validation,label
ABCA1,0.024265286,False,-1
ACSL1,0.3743346,False,-1
ADAM28,0.7691195,False,-1
ADAP2,0.9999906,False,-1
ADGRE5,0.48441073,False,-1
ALOX5,0.99808073,False,-1
ANKRD44,0.832547,False,-1
ANKS1A,0.805633,False,-1
ANXA1,0.8305134,False,-1
AOAH,0.8283574,False,-1
ARHGAP22,0.91756994,False,-1
ARHGAP26,0.9928635,False,-1
ARHGEF6,0.95378643,False,-1
ARID5A,0.36119214,False,-1
ARL15,0.6667344,False,-1
ARRDC3,0.6279297,False,-1
ATF3,0.9892764,False,-1
ATP1B3,0.20478727,False,-1
ATP8B4,0.84527016,False,-1
B2M,0.010781984,False,0
B4GALT1,0.5334032,False,-1
BACH1,0.88235193,False,-1
BAG3,0.9072681,False,-1
BCAR3,0.80034757,False,-1
BCAS2,0.95038754,False,-1
BCL2,0.9967518,False,-1
BCL6,0.9029485,False,1
BHLHE41,0.45449886,False,-1
BLNK,0.9483335,False,1
BNC2,0.18781734,False,-1
BTG1,0.53098994,False,-1
C3,0.57879627,False,-1
C5AR1,0.83996737,False,-1
CARD11,0.9573593,False,-1
CCDC152,0.9156011,False,-1
CCDC26,0.42436844,False,-1
CCDC50,0.7888734,False,-1
CCL3,0.3360377,False,-1
CCL4,0.37084758,False,-1
CCND3,0.047154497,False,0
CD69,0.7738464,False,-1
CD74,0.9987319,True,1
CD83,0.6294955,False,-1
CD86,0.96961695,False,1
CD9,0.4851555,False,-1
CDKN1A,0.99017453,False,-1
CEBPD,0.9692301,False,1
CFLAR,0.9848371,False,1
CHST11,0.9851598,False,-1
CHST15,0.6393872,False,-1
CHSY1,0.96338296,False,-1
CIITA,0.9560164,False,-1
CLEC2B,0.6661586,False,-1
CLEC7A,0.886362,True,1
CMAHP,0.46171412,False,-1
COL27A1,0.04738112,False,-1
CPED1,0.9966503,False,-1
CREM,0.7100712,False,-1
CRIM1,0.31180948,False,-1
CSF1R,0.7134961,False,-1
CSGALNACT1,0.96131957,False,-1
CSRNP1,0.9999546,False,-1
CTSB,0.7135044,False,-1
CTTNBP2NL,0.8002311,False,-1
CYCS,0.9713378,False,1
CYTIP,0.005753625,False,0
DDIT4,0.29267097,False,-1
DIRC3,0.99322635,False,-1
DNAJB1,0.8965392,False,-1
DOCK8,0.9948317,False,1
DUSP1,0.8535617,False,-1
DUSP10,0.95906746,False,-1
EGR1,0.9567237,False,-1
EGR3,0.5966828,False,-1
EIF4A3,0.76682484,False,-1
ELF1,0.21490473,False,-1
ELL2,0.11951512,False,-1
EMB,0.6624622,False,-1
EMILIN2,0.8034753,False,-1
EML4,0.8016766,False,-1
ENTPD1,0.687324,False,-1
EPSTI1,0.9569847,False,-1
ESR1,0.6512432,False,-1
ESYT2,0.719236,False,-1
ETS2,0.89065886,False,1
ETV6,0.9733127,False,-1
EYA2,0.038763676,False,-1
F13A1,0.6864548,False,-1
FAM20A,0.6038857,False,-1
FGF13,0.96052885,False,-1
FLI1,0.801583,False,-1
FLT1,0.9805212,False,-1
FMNL3,0.9161612,False,-1
FOS,0.8422535,True,1
FOSB,0.89673436,False,1
FOSL2,0.10689493,False,0
FSCN1,0.4059251,False,-1
FTH1,0.5675454,False,-1
GADD45B,0.65548426,False,-1
GBP2,0.80637926,False,-1
