gene,score,validation,label
ACVR1,0.6948845,False,-1
AFAP1L2,0.95859396,False,-1
AR,0.5177569,False,-1
BDNF,0.4023213,False,-1
BHLHE40,0.6143556,False,-1
BHLHE41,0.6759414,False,-1
CALN1,0.40661559,False,-1
CASC15,0.61067075,False,-1
CCK,0.54234076,False,-1
CDH18,0.5747206,False,-1
CDKN1B,0.6711077,False,-1
CEBPB,0.6791921,False,-1
CEBPD,0.68952966,False,1
CHST11,0.4159802,False,-1
CHST15,0.80160904,False,-1
CHSY3,0.5830017,False,-1
CLU,0.8927372,False,-1
CNTN5,0.9169475,False,-1
CREB5,0.40704462,False,-1
CUX2,0.40704894,False,-1
CYCS,0.6773561,False,1
DIRC3,0.46963134,False,-1
DTNA,0.4613789,False,-1
DUSP6,0.65855205,False,1
EFNA5,0.9717553,False,1
EGR1,0.8410642,False,-1
EGR3,0.6881049,False,-1
ETS2,0.69099694,False,1
FGF10,0.40714058,True,1
FGF14,0.62526387,False,1
FLT3,0.9458105,False,-1
FNDC3B,0.18788669,False,-1
FOS,0.7244484,False,1
FOSB,0.6508331,True,1
FOSL2,0.40722197,False,0
FOXP2,0.54472554,False,0
FRMPD4,0.75319946,False,-1
FSTL5,0.7984183,False,-1
FTL,0.097583875,False,0
GALNT18,0.7122628,False,-1
GHR,0.40411058,False,-1
GRIP1,0.87596977,False,1
GRM3,0.65911126,False,-1
HERPUD1,0.082048036,False,0
HSP90AA1,0.7689352,False,-1
HSPA1A,0.8197504,False,-1
HSPA5,0.5088202,False,-1
HSPH1,0.5484154,True,1
HTR1F,0.7660435,True,1
ID2,0.6872465,False,-1
IER5,0.49879533,False,-1
IL1RAPL2,0.60378784,False,-1
IL6ST,0.6855488,False,1
ITPR2,0.88103426,False,1
JAM2,0.9571035,False,1
JDP2,0.7845653,False,-1
JUN,0.40841228,True,1
JUNB,0.7191608,False,1
KCNB2,0.7457421,False,-1
KCNH5,0.5625195,False,-1
KCNH7,0.40624928,False,-1
KHDRBS2,0.6786201,False,1
KHDRBS3,0.8369584,False,-1
KIAA1217,0.48932523,False,1
LDB2,0.78103745,False,-1
LGI1,0.11690853,False,0
LHFPL2,0.40680292,False,0
LRFN5,0.5340648,False,-1
LRRC4C,0.40615588,False,-1
LYPD6B,0.63601136,False,-1
MEF2A,0.8568059,False,1
MET,0.40559956,True,1
MIR2052HG,0.8272104,False,-1
MMP16,0.64840126,False,-1
MSI2,0.42093924,True,1
NAT8L,0.71156543,False,-1
NCALD,0.9606091,False,1
NFKBIA,0.80791867,True,0
NHS,0.31023544,False,0
NPAS4,0.71069217,False,-1
NR4A1,0.5217867,False,0
NTN4,0.45171556,False,1
NWD2,0.8556327,False,-1
OGFRL1,0.4750499,False,-1
PAG1,0.7458052,False,-1
PCDH11X,0.92773044,False,1
PCDH7,0.5754529,False,-1
PDZRN3,0.6491832,False,-1
PER1,0.6773455,False,-1
PHACTR1,0.74160737,False,-1
PIP5K1B,0.4784045,False,-1
PLCH1,0.40006486,False,-1
PLXNA4,0.46345392,False,-1
POU6F2,0.6331041,False,-1
PPARD,0.9550422,False,-1
PRDX1,0.5036357,False,-1
PROX1,0.40642127,False,-1
PRR16,0.546467,False,-1
PTMA,0.5784977,False,0
PTPRO,0.45544305,False,-1
RALYL,0.8394768,False,-1
RMST,0.40011877,False,-1
ROBO2,0.4074437,False,-1
RPS2,0.50302243,False,-1
RUNDC3B,0.9997956,False,-1
SEMA6D,0.82679194,False,-1
SGPP2,0.795975,False,-1
SHISA9,0.79337364,False,-1
SHROOM2,0.6732444,False,-1
SLC38A2,0.67419565,False,-1
SLC6A6,0.4824954,False,-1
SLC8A1,0.5851486,False,-1
SLIT2,0.406717,True,1
SNTG1,0.9459059,False,1
SYT1,0.673085,False,1
TACC1,0.17759818,False,-1
TANC1,0.80883545,False,-1
TCF7L2,0.30366662,False,1
TMSB10,0.8019949,False,-1
TOX,0.835835,False,-1
TPT1,0.80799454,False,-1
TRHDE,0.40767536,False,-1
TSC22D3,0.81261986,False,1
UBC,0.79866624,False,-1
UBL5,0.54858154,False,-1
UNC13C,0.16734195,False,0
UNC5D,0.9219058,False,-1
VGF,0.40220582,False,-1
XKR4,0.7271804,False,-1
YOD1,0.09977684,False,0
ZBTB7C,0.40377095,False,-1
ZMAT4,0.8125107,False,-1
ZNF462,0.40464097,False,-1
