gene,score,validation,label
ADAMTS9-AS2,0.6772318,False,-1
ADGRL2,0.3386244,False,-1
ARHGEF26-AS1,0.34638548,False,-1
BACH1,0.16720048,False,-1
BCHE,0.9669649,False,-1
CDH20,0.8569431,False,-1
CHST15,0.37472412,False,-1
CNTN4,0.39257002,False,-1
CNTN5,0.2379918,False,-1
COL12A1,0.94814384,False,1
COL25A1,0.43301374,False,-1
CREB5,0.9986879,False,-1
CSGALNACT1,0.11270611,False,-1
CTNNA2,0.97061735,False,1
DDR2,0.7836323,False,-1
DLGAP1,0.12923884,False,-1
DOK6,0.46868664,False,-1
EFNA5,0.60112154,True,1
EGFR,0.82662046,False,-1
ELL2,0.8186319,False,-1
ETV6,0.8602396,False,-1
FAT1,0.45908606,True,1
FGF10,0.96071833,False,1
FGF13,0.17885926,False,-1
FLRT2,0.5876995,False,-1
FMN1,0.30236492,False,-1
FRAS1,0.36306384,False,-1
FREM1,0.49292535,False,-1
FSTL4,0.8916373,False,-1
FSTL5,0.20123522,False,-1
GALNT18,0.83997643,False,-1
GPC6,0.87307405,True,1
GRM3,0.69964975,False,-1
GRM7,0.6023741,False,-1
GRM8,0.04311604,False,0
HCRTR2,0.9565748,False,1
HDAC9,0.5904046,False,-1
HS3ST5,0.33663002,False,-1
HSP90AA1,0.20887192,False,-1
JUN,0.8839264,False,1
KCNMB4,0.21551321,False,-1
KIT,0.838171,False,-1
LINC01122,0.42533952,False,-1
LRRC3B,0.89288336,False,-1
LUZP2,0.82277924,False,1
MAF,0.3843102,False,-1
MCTP1,0.42084426,False,-1
MGAT4C,0.38615128,False,-1
MIR4300HG,0.7801697,False,-1
MTUS2,0.6614914,False,-1
MYO1B,0.4994194,False,-1
NR2F2,0.32742128,False,-1
NRG1,0.6849282,False,-1
NRIP3,0.21098244,False,-1
PAX6,0.9706699,False,1
PBX3,0.8790955,False,-1
PCSK2,0.5951564,False,-1
PDGFD,0.34937176,False,-1
PDZRN3,0.31392148,False,-1
PDZRN4,0.88050526,False,-1
PLCXD3,0.87730163,False,-1
PLOD2,0.6527734,False,-1
PLXNA4,0.10197789,False,-1
POU6F2,0.76590663,False,-1
PPP1R1C,0.82874405,False,-1
PREX2,0.66225845,False,-1
PROX1,0.6872508,False,-1
PTMA,0.1652263,True,0
RALYL,0.9201067,False,-1
RARB,2.052638e-07,False,0
RBMS1,0.68577945,False,-1
RELN,0.48519683,False,-1
RGS6,0.95075315,False,1
SGCD,0.9747133,False,-1
SLC1A2,0.29029363,False,-1
SLC35F4,0.8787712,False,-1
SLC38A2,0.24050489,False,-1
SLC7A14,0.1087384,False,-1
SLC8A1,0.8345732,False,-1
SLIT3,0.9676239,False,1
SORCS3,0.96131104,False,1
SOX5,0.6024259,False,1
SV2C,0.53696084,False,-1
SVEP1,0.85549724,False,-1
TBC1D4,0.12845178,False,-1
TENM2,0.52723897,False,-1
TMEM132C,0.9633834,False,1
TMEM196,0.25708312,False,-1
TMSB4X,0.1544821,False,-1
TMTC1,0.51056725,False,-1
TPD52L1,0.38635233,False,-1
TRPC3,0.714836,False,-1
TRPM3,0.8924918,False,-1
TTN,0.8851227,False,1
UBC,0.21223806,False,-1
UNC13C,0.8496135,True,0
UNC5D,0.5171258,False,-1
UTRN,0.33234245,False,-1
WLS,0.7739529,False,-1
ZMAT4,0.77060145,False,-1
ZNF385D,0.78516066,False,-1
