gene,score,validation,label
ADAMTSL3,0.59458935,False,-1
ADGRL2,0.24630749,False,-1
ADRA1A,0.28074232,False,-1
ANK1,0.8350349,False,-1
ASIC2,0.18654743,False,-1
ATRNL1,0.42711094,False,-1
BCL2,0.5979832,False,-1
BTBD11,0.22027093,False,-1
CA2,0.8184564,False,-1
CACNB2,0.39730445,False,-1
CCBE1,0.9302545,False,-1
CDH13,0.46130958,True,1
CDH8,0.022282444,False,0
CDH9,0.31734276,False,-1
CEBPB,0.90534145,False,-1
CHRDL1,0.8307905,True,1
CHRM3,0.31565166,False,-1
CNTN4,0.34690312,False,-1
CNTNAP5,0.086856075,False,-1
COL25A1,0.00016989297,False,-1
CRIM1,0.7959711,False,-1
CTNNA2,0.27680504,True,1
DGKB,0.65880907,False,-1
DLGAP2,0.08745348,False,-1
DOK6,0.066359535,False,-1
DTNA,0.25692523,False,-1
EFNA5,0.52179176,False,1
EGFEM1P,0.33374107,False,-1
EGFR,0.43185416,False,-1
EGR1,0.9975141,False,-1
ETV1,0.8360947,False,-1
ETV6,0.3076036,False,-1
EYA4,0.9844147,False,1
FAT1,0.98773324,False,1
FMN1,0.35895148,False,-1
FOS,0.9959777,False,1
FOXO1,0.7532363,False,-1
FREM1,0.31441954,False,-1
GABRA2,0.34020266,False,-1
GAD2,0.57001615,False,-1
GALNT14,0.29008883,False,-1
GLRA2,0.16110465,False,0
GOLIM4,0.90065026,False,1
GRIK1,0.25611776,False,-1
GRIN3A,0.7090757,False,-1
HRH1,0.25723165,False,-1
HSPH1,0.99973506,False,1
ID2,0.023637548,False,-1
JUNB,0.900219,False,1
KAZN,0.91727227,False,1
KBTBD12,0.42120066,False,-1
KCNC2,0.4282598,False,-1
KCNN3,0.99996495,False,-1
KIAA1217,0.99887055,False,1
LDB2,0.28502193,False,-1
LINC00298,0.24928078,False,-1
LINC01122,0.8002191,False,-1
LRRC3B,0.560621,False,-1
LTBP1,0.40571326,False,-1
LYPD6B,0.6826371,False,-1
MAF,0.794604,False,-1
MAFB,0.17038399,False,-1
MCTP1,0.27116877,False,-1
MGAT4C,0.25522357,False,-1
MID1,0.8612247,False,1
MSI2,0.9418292,False,1
MTUS2,0.22099163,False,-1
MYRIP,0.17476024,False,-1
NCALD,0.6196099,False,1
NDST4,0.2944208,False,-1
NOS1,0.3572605,False,-1
NRG1,0.23307697,False,-1
NTNG1,0.9744071,False,-1
NXPH1,0.2939388,False,-1
NYAP2,0.74244136,False,-1
PBX3,0.4119349,False,-1
PCDH15,0.6508286,False,-1
PCDH7,0.20393708,False,-1
PDE10A,0.30275118,False,-1
PHACTR2,0.040993948,False,0
PIP5K1B,0.32698604,False,-1
PLCB4,0.77643037,False,-1
PLCXD3,0.85813326,False,-1
PMEPA1,0.016071485,False,-1
POU6F2,0.34182027,False,-1
PRELID2,0.13825797,False,-1
PRKG2,0.37010986,False,-1
PTMA,0.0072599044,False,0
PTPRM,0.6546987,False,-1
PTPRO,0.52300614,False,-1
PTPRT,0.2130376,False,-1
RALYL,0.31552252,False,-1
RARB,0.10156188,False,0
RBMS1,0.49171203,False,-1
RELN,0.3091959,False,-1
ROBO1,0.6803337,False,-1
RUNX2,0.72585195,False,-1
RYR2,0.23990943,True,1
SAMD3,0.43798044,False,-1
SEMA6D,0.5047975,False,-1
SGCD,0.9148469,False,-1
SLC24A3,0.9784735,False,1
SLIT2,0.92337275,False,1
SMAD3,0.28774118,True,0
SMAD9,0.92004734,False,-1
SNCAIP,0.5022119,False,-1
SORCS3,0.16273102,True,1
SOX13,0.9541491,False,-1
SOX5,0.88567835,False,1
SOX6,0.87067145,False,-1
SV2C,0.22103603,False,-1
SYNDIG1,0.12916121,False,-1
TCERG1L,0.19992894,False,-1
TENM2,0.983966,False,-1
TENM4,0.2591359,False,-1
TGFB2,0.9232885,False,-1
THSD7B,0.26829633,False,-1
TMEM132C,0.98411316,False,1
TOX,0.12946741,False,-1
TOX3,0.020401692,False,0
TPD52L1,0.34104297,False,-1
TRPS1,0.9190508,False,-1
UNC5D,0.34231156,False,-1
XKR4,0.29951346,False,-1
ZMAT4,0.03997138,False,-1
ZNF385B,0.106430925,False,-1
ZNF385D,0.26051122,False,-1
ZNF804A,0.9626026,False,1
ZNF804B,0.3961271,False,-1
