gene,score,validation,label
ABR,0.62903583,False,-1
ADAMTS6,0.69176203,False,-1
ADGRD1,0.52617174,False,-1
ALDH1A2,0.9658839,False,1
ANKFN1,0.34215793,False,-1
ATP1B3,0.9836194,False,-1
BCL6,0.94803256,False,1
BHLHE41,0.85872877,False,-1
BMPER,0.9867019,False,1
BTG1,0.89432794,False,-1
CA4,0.8977854,False,-1
CD55,0.9787851,False,-1
CDH10,0.5116223,False,-1
CDKN1B,0.9306347,False,-1
CEBPB,0.8925465,False,-1
CEMIP,0.5217003,False,-1
CHRM3,0.50086945,False,-1
CHST8,0.4991169,False,-1
CLMP,0.20000987,False,-1
CNTN3,0.9834305,False,-1
CNTNAP3,0.98269695,False,-1
COBLL1,0.6938956,False,-1
CREB5,0.9821206,False,-1
CYCS,0.9772562,False,1
DCC,0.0060817953,False,0
DOK6,0.621413,False,-1
DUSP16,0.8858093,False,-1
EFNA5,0.37123206,True,1
EGR1,0.5552047,False,-1
ETV6,0.2106286,False,-1
EYS,0.82664496,False,-1
FAU,0.90928423,False,-1
FGF14,0.9926715,False,1
FIGN,0.9588065,False,-1
FOS,0.54827774,False,1
FTL,0.038173232,False,0
GAD1,0.8553669,False,-1
GNG12-AS1,0.8184994,False,-1
GRIN2A,0.029072465,False,-1
HECA,0.9905811,False,-1
HERC2P9,0.6255918,False,-1
HGF,0.6355721,False,-1
HMGCS1,0.98038405,False,-1
HS3ST2,0.17917426,False,-1
HSP90AA1,0.94640595,False,-1
HSPH1,0.9995497,True,1
INPP4B,0.9460568,False,-1
JDP2,0.59721065,False,-1
JUN,0.9584374,False,1
KCNIP1,0.90604746,False,-1
KCNQ5,0.6794925,False,-1
KCTD8,0.976111,False,-1
KIAA1217,0.9835541,False,1
KIT,0.96468616,False,-1
KLHL13,0.17056756,False,-1
LEF1,0.24403197,False,-1
LMCD1-AS1,0.74382716,False,-1
LPAR1,0.9904384,False,-1
LRFN5,0.71884876,False,-1
MAFB,0.6314419,False,-1
MEF2A,0.94643956,False,1
MMP16,0.9672887,False,-1
MYBPC1,0.4651441,False,-1
NDST3,0.9845324,False,-1
NR4A1,0.54932356,False,0
NTN4,0.9402986,False,1
NTNG1,0.6264369,False,-1
NXPH1,0.9343855,False,-1
P3H2,0.87186795,False,-1
PAMR1,0.6608245,False,-1
PCSK6,0.69616586,False,-1
PDE10A,0.9953335,False,-1
PDE3A,0.097054906,False,-1
PDGFC,0.98222566,False,-1
PHACTR2,0.033824176,False,0
PHLDB2,0.99745864,False,-1
PMEPA1,0.6265519,False,-1
PRDM1,0.726241,False,-1
PTMA,0.012968281,False,0
PTPRM,0.53509843,False,-1
RALYL,0.98209816,False,-1
RBFOX3,0.9822957,False,-1
RBM20,0.9937937,False,-1
RPL18A,0.92689043,False,-1
RPL19,0.9595014,False,-1
RPL8,0.9019015,False,-1
RTTN,0.9874369,False,-1
SCG2,0.99179685,False,1
SEZ6L,0.99158853,False,-1
SHISA9,0.5575257,False,-1
SLC25A13,0.982691,False,-1
SLC35F3,0.40819368,False,-1
SLC38A2,0.94950104,False,-1
SLC4A4,0.98239547,False,-1
SLC7A1,0.0059959632,False,0
SLC7A14,0.8817956,False,-1
SLC7A2,0.5443666,False,-1
SMAD3,0.6048407,True,0
SMAP2,0.9859737,False,-1
SNCAIP,0.9526658,False,-1
SOX4,0.0054698815,False,0
SOX5,0.9683527,False,1
SULF1,0.17076719,False,-1
SVIL,0.78258467,False,-1
SYNDIG1,0.5865149,False,-1
TBC1D4,0.3212304,False,-1
TENM2,0.22070181,False,-1
TENM3,0.98192215,False,-1
TMSB4X,0.97658086,False,-1
TMTC2,0.5401325,False,-1
TNR,0.99053544,False,1
TOX3,0.8103143,True,0
TUBA1A,0.01687782,False,0
UBC,0.8861808,False,-1
WLS,0.2760151,False,-1
ZBTB7C,0.109660484,False,-1
ZNF804B,0.97546333,False,-1
