gene,score,validation,label
ABR,0.9897648,False,-1
ADAMTS6,0.6440221,False,-1
ADGRD1,0.7639033,False,-1
ALDH1A2,0.9736434,False,1
ANKFN1,0.39154312,False,-1
ATP1B3,0.9966126,False,-1
BCL6,0.97980165,False,1
BHLHE41,0.49181965,False,-1
BMPER,0.9833626,True,1
BTG1,0.9968555,False,-1
CA4,0.6044531,False,-1
CD55,0.9951014,False,-1
CDH10,0.737244,False,-1
CDKN1B,0.4828326,False,-1
CEBPB,0.9483219,False,-1
CEMIP,0.79762465,False,-1
CHRM3,0.719172,False,-1
CHST8,0.79268837,False,-1
CLMP,0.12951522,False,-1
CNTN3,0.9897078,False,-1
CNTNAP3,0.99688894,False,-1
COBLL1,0.8686689,False,-1
CREB5,0.48287606,False,-1
CYCS,0.94981,False,1
DCC,0.0015935329,False,0
DOK6,0.7571224,False,-1
DUSP16,0.4717938,False,-1
EFNA5,0.8506897,False,1
EGR1,0.59299713,False,-1
ETV6,0.44496217,False,-1
EYS,0.014434971,False,-1
FAU,0.37193024,False,-1
FGF14,0.9507441,True,1
FIGN,0.990982,False,-1
FOS,0.5000133,False,1
FTL,0.40231767,True,0
GAD1,0.5964617,False,-1
GNG12-AS1,0.016197119,False,-1
GRIN2A,0.14652646,False,-1
HECA,0.997322,False,-1
HERC2P9,0.98779464,False,-1
HGF,0.62982625,False,-1
HMGCS1,0.99256116,False,-1
HS3ST2,0.47792262,False,-1
HSP90AA1,0.45261255,False,-1
HSPH1,0.9999826,False,1
INPP4B,0.9023601,False,-1
JDP2,0.92019784,False,-1
JUN,0.5823047,False,1
KCNIP1,0.07697296,False,-1
KCNQ5,0.7744173,False,-1
KCTD8,0.9659791,False,-1
KIAA1217,0.99343467,False,1
KIT,0.86726755,False,-1
KLHL13,0.5734057,False,-1
LEF1,0.4860375,False,-1
LMCD1-AS1,0.99848,False,-1
LPAR1,0.9969042,False,-1
LRFN5,0.7822194,False,-1
MAFB,0.9242406,False,-1
MEF2A,0.97936046,False,1
MMP16,0.97931665,False,-1
MYBPC1,0.7578392,False,-1
NDST3,0.9856064,False,-1
NR4A1,0.43339023,False,0
NTN4,0.69058514,True,1
NTNG1,0.98778194,False,-1
NXPH1,0.15455833,False,-1
P3H2,0.9233596,False,-1
PAMR1,0.7566126,False,-1
PCSK6,0.46750894,False,-1
PDE10A,0.9989785,False,-1
PDE3A,0.25570184,False,-1
PDGFC,0.99202347,False,-1
PHACTR2,0.0869908,False,0
PHLDB2,0.9987373,False,-1
PMEPA1,0.9883106,False,-1
PRDM1,0.12528402,False,-1
PTMA,0.3885783,False,0
PTPRM,0.7530086,False,-1
RALYL,0.9917663,False,-1
RBFOX3,0.9891629,False,-1
RBM20,0.9987979,False,-1
RPL18A,0.23867254,False,-1
RPL19,0.35438183,False,-1
RPL8,0.51902354,False,-1
RTTN,0.9975546,False,-1
SCG2,0.9457108,False,1
SEZ6L,0.9975103,False,-1
SHISA9,0.7855301,False,-1
SLC25A13,0.99566925,False,-1
SLC35F3,0.5779789,False,-1
SLC38A2,0.436299,False,-1
SLC4A4,0.996385,False,-1
SLC7A1,0.38699123,False,0
SLC7A14,0.49370068,False,-1
SLC7A2,0.67572063,False,-1
SMAD3,0.8019416,True,0
SMAP2,0.996806,False,-1
SNCAIP,0.96457523,False,-1
SOX4,0.00030541763,False,0
SOX5,0.98405355,False,1
SULF1,0.4091893,False,-1
SVIL,0.024494303,False,-1
SYNDIG1,0.9275555,False,-1
TBC1D4,0.5087433,False,-1
TENM2,0.31637558,False,-1
TENM3,0.973565,False,-1
TMSB4X,0.3467682,False,-1
TMTC2,0.7167306,False,-1
TNR,0.92739034,False,1
TOX3,0.014475281,False,0
TUBA1A,0.003676629,False,0
UBC,0.5572739,False,-1
WLS,0.5234871,False,-1
ZBTB7C,0.5650449,False,-1
ZNF804B,0.98008496,False,-1
