gene,score,validation,label
A2M,0.5302815,False,1
AADACL2-AS1,0.31350288,False,0
ABCA10,0.4495379,False,0
ABCG2,0.5302815,False,1
ABHD15,0.31350288,False,0
ABLIM1,0.49781802,True,0
ACSL1,0.59231126,False,0
ACSS3,0.5302815,False,0
ADAM28,0.5302815,False,0
ADAMTS12,0.31350288,True,0
ADAMTS17,0.43040618,False,0
ADAMTS6,0.2921584,False,0
ADAMTS9,0.49601996,False,0
ADAMTSL1,0.36987212,False,0
ADAMTSL2,0.5302815,False,0
ADCY2,0.461628,False,0
ADCY8,0.44953787,False,0
ADD3-AS1,0.08196856,True,0
ADGRF5,0.07923511,False,0
ADGRG5,0.5302815,False,0
ADGRG6,0.5302815,False,0
ADGRL2,0.4495379,False,0
ADRA1A,0.44953787,True,0
ADRA1B,0.46923912,False,0
AFAP1L2,0.6663918,True,0
AGBL1,0.5583254,False,0
AHCYL1,0.43416572,False,0
AIF1L,0.2509143,False,0
AIM2,0.5302815,False,0
AKAP13,0.5452918,False,0
AKNA,0.44551167,False,0
AKR1C2,0.59231126,False,0
ALDH1A2,0.10517131,False,0
ALOX5,0.5302815,True,1
ALPK1,0.5302815,False,0
AMER2,0.10517136,False,0
ANGPT1,0.5666158,False,0
ANKRD18A,0.333559,False,0
ANKRD44,0.7530352,True,0
ANKS1A,0.5169356,False,0
ANTXR2,0.5302815,False,0
AOAH,0.5302815,False,0
APBB1IP,0.5302815,False,0
APCDD1L,0.5302815,False,0
APLN,0.5666158,False,0
APOL3,0.5302815,False,0
ARHGAP18,0.66639173,True,0
ARHGAP24,0.5302815,False,0
ARHGAP26,0.44953787,False,0
ARHGAP29,0.54604965,False,0
ARHGAP31,0.31350288,False,0
ARHGAP42,0.4495379,True,0
ARHGDIB,0.07923513,False,0
ARHGEF38,0.10804818,False,0
ARID5A,0.10517131,False,0
ARL15,0.5368858,False,0
ARRDC3,0.22750893,False,0
ARRDC3-AS1,0.49602,False,0
ARSJ,0.5302815,False,1
ASIC2,0.4495379,True,0
ASIC4,0.5302815,False,0
ATF3,0.333559,False,0
ATOH8,0.69215643,False,0
ATP10A,0.31350288,False,0
ATP11C,0.44490987,False,0
ATP13A5,0.5302815,False,0
ATRNL1,0.49422857,True,0
B2M,0.10517133,False,0
B4GALT1,0.5302815,True,0
BAALC,0.49601993,False,0
BACE2,0.6287582,False,1
BACH1,0.10517136,True,0
BANK1,0.59231126,False,0
BARD1,0.75303525,False,0
BCAS1,0.08196845,True,0
BCAS2,0.20513389,False,0
BCHE,0.6594662,False,1
BCL11B,0.4001689,True,0
BCL6,0.60243547,False,0
BGN,0.47731975,False,0
BHLHE41,0.44490987,False,0
BIN2,0.5302815,False,0
BIRC3,0.2541095,False,0
BMF,0.5302815,False,0
BMPER,0.59231126,False,0
BNC2,0.5302815,False,0
BSG,0.59231126,False,0
BTBD11,0.46686152,False,0
BTG1,0.10517131,False,0
BTG2,0.5990581,False,0
BTG3,0.32623696,True,0
BTK,0.54604965,False,0
BTN3A2,0.31350288,False,0
C10orf90,0.5302815,False,0
C12orf75,0.5302815,False,0
C1QB,0.5302815,False,0
C1QL1,0.333559,True,0
C1R,0.5302815,False,0
C22orf34,0.31350288,True,0
C3,0.5302815,False,0
C5orf64,0.5302815,True,0
C8orf34-AS1,0.5302815,False,0
CACHD1,0.07923513,False,0
CACNB2,0.6594661,False,0
CADPS2,0.75303525,False,1
CALCRL,0.333559,False,0
CAP1,0.5302815,False,0
CAPN13,0.5302815,True,0
CARNS1,0.5302815,False,0
CASP4,0.5302815,False,0
CBLB,0.5003854,False,0
CBLN2,0.59231126,True,0
CCDC141,0.044952188,False,0
CCDC152,0.5302815,True,0
CCDC97,0.5302815,True,0
CCK,0.08196848,False,0
CCL2,0.31350288,True,1
CCND1,0.333559,False,0
CCNG2,0.38324517,False,0
CD109,0.59231126,True,0
CD14,0.5302815,False,1
CD22,0.5302815,False,0
CD320,0.5211689,False,0
CD36,0.6921563,False,1
CD40,0.5302815,False,0
CD53,0.28604695,False,0
CD58,0.5302815,False,0
CD63,0.6921563,False,0
CD74,0.5302815,False,0
CD86,0.31350288,False,0
CD96,0.31350288,False,0
CDC14A,0.44490987,True,0
CDH10,0.71039355,False,0
CDH12,0.461628,False,0
CDH13,0.55724823,False,0
CDH18,0.49422857,True,0
CDH19,0.5302815,False,0
CDH20,0.4495379,False,0
CDH23,0.5302815,False,0
CDH4,0.7530351,False,0
CDH5,0.333559,True,0
CDH6,0.5003854,True,0
CDH7,0.49422857,False,0
CDH8,0.44953787,False,0
CDH9,0.47731975,False,0
CDHR3,0.18555377,True,0
CDK19,0.333559,True,0
