gene,score,validation,label
ADCY2,0.6150849,True,1
ADGRL2,0.49339682,False,-1
ADRA1A,0.3203166,False,-1
ALDH1A2,0.9561135,False,1
ALK,0.052701663,False,0
ANOS1,0.39787576,False,-1
B3GAT2,0.45528385,False,-1
BICC1,0.28513533,False,-1
BRINP3,0.54097813,False,-1
BTBD11,0.57759684,False,-1
CDH10,0.5068731,False,-1
CDH12,0.38761514,False,-1
CDH8,0.49295107,True,0
CLMP,0.5635437,False,-1
CNR1,0.2988926,False,-1
CNTN3,0.7055273,False,-1
CNTN4,0.46546507,False,-1
CNTN5,0.55007213,False,-1
COL12A1,0.35260004,False,1
CPNE4,0.48469567,False,-1
CRYBG3,0.33124605,False,-1
CUX2,0.29721,False,-1
DCC,0.06348468,False,0
DISC1,0.53375804,False,-1
DLC1,0.5057051,False,-1
DLGAP1,0.7581876,False,-1
DOK6,0.6208569,False,-1
DUSP10,0.55270857,False,-1
EGR1,0.18002203,False,-1
EPHA6,0.45210248,False,-1
EPS8,0.47538152,False,-1
ETV1,0.44130263,False,-1
FAM110B,0.50404245,False,-1
FAT1,0.9565045,False,1
FAT4,0.5026118,False,-1
FOS,0.95816326,False,1
FREM1,0.48313376,False,-1
FSTL1,0.23172751,False,-1
FSTL5,0.4366476,False,-1
GABRG1,0.5837806,False,-1
GABRG3,0.9225285,False,1
GFRA1,0.8566068,False,1
GHR,0.51748407,False,-1
GLRA2,0.012547225,False,0
GRIK1,0.6422081,False,-1
GRIK3,0.08157531,False,0
GRIN3A,0.16858599,False,-1
GRIP1,0.8333959,False,1
HCN1,0.57724994,False,-1
HDAC9,0.5069919,False,-1
HECW1,0.9612214,False,1
HGF,0.5222063,False,-1
HTR1F,0.48554352,True,1
HTR2C,0.35027257,True,1
HTR4,0.44636515,True,1
ITPR2,0.9198909,False,1
KAZN,0.97672564,False,1
KCND2,0.8083274,False,-1
KCNIP1,0.6655062,False,-1
KCNQ5,0.6627311,False,-1
KIAA1217,0.98537517,False,1
KIF26B,0.46168557,False,-1
LINC01122,0.60748583,False,-1
LINGO2,0.042386662,False,0
LIPC,0.96917063,False,1
LRRC3B,0.54964006,False,-1
LUZP2,0.5994647,True,1
MAF,0.38184553,False,-1
MAFB,0.48664212,False,-1
MAML2,0.5736421,False,-1
MAN1A1,0.49582022,False,-1
MCC,0.47871444,False,-1
MCTP1,0.56881595,False,-1
MID1,0.16039357,True,1
MME,0.42945942,False,-1
MPPED2,0.5245492,False,-1
MSR1,0.9658432,False,1
MTUS2,0.7807904,False,-1
MYO16,0.966504,False,1
MYO5B,0.1793406,False,-1
NGF,0.41413695,False,-1
NOTCH2,0.017420532,False,0
NRP1,0.60715175,False,-1
NXPH2,0.44710025,False,-1
PCDH7,0.3318913,False,-1
PCSK5,0.25974372,False,-1
PDE1C,0.6315771,False,-1
PHACTR2,0.550605,True,0
PLCB4,0.34604087,False,-1
PLD5,0.6031593,False,-1
PLOD2,0.26534703,False,-1
PLXNA4,0.4436229,False,-1
PRKCQ,0.43929493,False,-1
PRKG1,0.1802945,False,-1
RARB,0.3546843,False,0
RERG,0.50428784,False,-1
RGS5,0.55740154,False,-1
RIT2,0.11673153,False,0
RNF152,0.063021995,False,-1
ROBO1,0.6435984,False,-1
ROBO2,0.4806014,False,-1
RUNX2,0.39858592,False,-1
SDK1,0.4526014,False,-1
SEMA6A,0.4174654,False,-1
SFMBT2,0.059739877,False,-1
SGCZ,0.41889286,False,-1
SH3RF3,0.41302422,False,-1
SLC24A3,0.4435755,True,1
SLC27A6,0.6764894,False,-1
SLC8A1,0.5752516,False,-1
SLC9A2,0.49823573,False,-1
SNTG1,0.97494227,False,1
SOX6,0.73323834,False,-1
ST6GALNAC3,0.36905244,False,-1
STAC,0.22330508,False,-1
SULF1,0.34671733,False,-1
SYNDIG1,0.4440943,False,-1
TAC1,0.42679664,False,-1
THSD4,0.7826349,False,1
THSD7A,0.5417041,False,-1
TMEM132D,0.43970424,False,-1
TMEM164,0.5398678,False,-1
TOX,0.49172708,False,-1
TOX2,0.5765583,False,-1
UTRN,0.49173665,False,-1
ZEB1,0.51962423,False,-1
ZMAT4,0.6674165,False,-1
ZNF385B,0.525677,False,-1
ZNF804A,0.96202844,False,1
