gene,score,validation,label
ABCA1,0.908023,False,-1
ABCA6,0.32392734,False,-1
ABCA8,0.9483698,False,1
ABCA9,0.75149906,False,-1
ABCC9,0.4105681,False,1
ABHD3,0.37298137,False,-1
ADAMTS1,0.9268868,False,1
ADAMTS4,0.97339475,False,1
ADAMTS9,0.33589503,False,-1
ADAMTS9-AS1,0.052763764,False,-1
ADGRD1,0.13927011,False,-1
ADGRF5,0.9636621,False,-1
ADGRL2,0.8460807,False,-1
APOLD1,0.859528,False,-1
ARHGAP26,0.14068037,False,-1
ARHGAP6,0.7690138,False,-1
ASPN,0.10623354,False,-1
ATF3,0.43670812,False,-1
ATP1A2,0.451109,False,-1
ATP1B3,0.8663594,False,-1
AXL,0.5806486,False,-1
BACH1,0.6262092,False,-1
BAZ1A,0.79593474,False,-1
BCL3,0.959178,False,1
BCL6,0.8380577,False,1
BGN,0.8218979,False,1
BHLHE40,0.8286023,False,-1
BICC1,0.4655974,False,-1
BTG2,0.63563675,False,-1
C1QTNF1,0.79777265,False,-1
C1R,0.47106004,False,-1
C1RL,0.9977888,False,-1
CACHD1,0.10391304,False,-1
CACNA2D3,0.9908352,False,-1
CALD1,0.023682294,False,0
CASC15,0.8894391,False,-1
CCL2,0.99943453,False,-1
CCND3,0.12814963,False,0
CDC42EP4,0.56476516,False,-1
CDH6,0.9956174,False,-1
CDKN1A,0.54797024,False,-1
CEBPB,0.95678276,False,-1
CEBPD,0.47219303,False,1
CEMIP,0.48039836,False,-1
CNTN4,0.74644256,False,-1
COL18A1,0.7877482,True,1
COL1A2,0.06728147,False,-1
COL4A1,0.3323164,False,0
COL4A2,0.3752938,True,0
COL4A4,0.51704276,False,1
COL6A2,0.7866323,False,-1
COLEC12,0.075683236,False,-1
CPED1,0.5694714,False,-1
CREB3L2,0.5157899,False,-1
CREM,0.85971093,False,-1
CRISPLD2,0.79758924,False,1
CSRNP1,0.61169463,False,-1
CYCS,0.6963848,False,1
CYFIP1,0.8638926,False,-1
DDIT4,0.48851824,False,-1
DENND3,0.9517822,False,-1
DGKB,0.8177139,False,-1
DISC1,0.41028515,False,-1
DLEU1,0.8139854,True,0
DUSP1,0.9789354,False,-1
DUSP5,0.78847253,False,-1
EBF1,0.80027336,False,-1
EDNRA,0.36164823,False,-1
EGFR,0.34753373,False,-1
EGR1,0.6938737,False,-1
EGR3,0.6692268,False,-1
ELF1,0.8624551,False,-1
ELL2,0.81866723,False,-1
EMCN,0.07485163,False,-1
ENPEP,0.88740647,False,1
EPAS1,0.5106438,False,-1
EPOR,0.9967231,False,1
ESYT2,0.87504184,False,-1
ETS1,0.9767546,False,-1
FGFR1,0.9924892,False,1
FHL5,0.6608544,False,-1
FIGN,0.77337825,False,-1
FKBP5,0.97717035,False,-1
FLNA,0.8306633,False,-1
FLT1,0.7702688,False,-1
FNDC3B,0.9643231,False,-1
FOS,0.50613445,False,1
FOSB,0.64870435,False,1
