gene,score,validation,label
ABCA9,0.9309059,False,-1
ABI3BP,0.43698072,False,-1
ACKR3,0.3910567,False,-1
ADAMTS1,0.38994938,False,1
ADAMTS4,0.39218765,False,1
ADAMTS9,0.40637484,False,-1
ADAMTS9-AS1,0.16079004,False,-1
ADAMTSL3,0.97598094,False,-1
ADGRL2,0.9946115,False,-1
ADIRF,0.37276787,False,-1
ANGPT1,0.31617403,False,-1
APOLD1,0.3554473,False,-1
ARHGAP26,0.39240906,False,-1
ARHGEF10L,0.24534197,False,-1
ARHGEF28,0.4689067,False,-1
ARHGEF4,0.39157656,False,-1
ARRDC2,0.38956282,False,-1
ATF3,0.39014858,False,-1
ATP1B3,0.39447296,False,-1
AXL,0.40648866,False,-1
BCAS2,0.3911568,False,-1
BCL6,0.8397565,False,1
BGN,0.38810045,False,1
BHLHE40,0.39268008,False,-1
BMPR1B,0.85833013,False,-1
BNC2,0.3995514,False,-1
BTG2,0.39167038,False,-1
C2CD2,0.16960274,False,-1
C8orf34,0.986334,False,-1
CADPS2,0.38912103,False,-1
CD9,0.39189512,False,-1
CDH13,0.9727241,False,1
CDKN1A,0.3918844,False,-1
CEBPB,0.38935682,False,-1
CEBPD,0.37042412,True,1
CLMN,0.5611439,False,1
COL11A1,0.40159672,False,1
COL18A1,0.9924238,False,1
COL1A2,0.39111888,False,-1
COL4A1,0.08377539,False,0
COL8A1,0.4318566,False,-1
CPM,0.96611774,False,-1
CREBL2,0.41122565,False,-1
CREM,0.3921351,False,-1
CRIM1,0.16589986,False,-1
CRISPLD2,0.3914961,True,1
CSPG4,0.38936338,False,-1
CYCS,0.9987943,False,1
CYP1B1,0.46635032,True,0
DAAM2,0.37040567,False,-1
DACH1,0.2459043,False,-1
DENND3,0.37597117,False,-1
DGKH,0.3935302,False,-1
DPYSL3,0.46234882,False,1
DUSP1,0.4008224,False,-1
EGR1,0.38955632,False,-1
ELL2,0.3267192,False,-1
ENPP2,0.6090177,False,1
EPAS1,0.4062872,False,-1
ERG,0.4167726,False,-1
ERRFI1,0.9317796,False,-1
ETS1,0.39000958,False,-1
ETS2,0.9345799,False,1
EYA1,0.3900474,False,-1
EYA2,0.9474222,False,-1
FILIP1,0.39076388,False,-1
FLI1,0.40153217,False,-1
FMO2,0.38409913,False,-1
FN1,0.39265636,False,-1
FOS,0.39032993,False,1
FOSB,0.39055893,True,1
FOSL2,0.3952014,False,0
FOXC1,0.3935721,False,-1
FOXO1,0.7334966,False,-1
FOXP2,0.38912776,False,0
