gene,score,validation,label
A2M,0.6112912,False,1
AATK,0.65254873,True,0
ABCA1,0.7173653,False,1
ABCA2,0.50865185,False,1
ABLIM1,0.28632304,True,0
ABR,0.4663818,False,0
ACAD10,0.32952598,True,0
ACVR1,0.54480886,False,0
ADAMTS18,0.6112912,False,0
ADAMTSL1,0.6112912,True,0
ADGRL2,0.397186,True,0
ADIPOR2,0.61847854,False,0
ADPGK,0.5609975,False,0
AHCYL1,0.6112912,False,0
AHCYL2,0.5802575,False,0
AKAP12,0.50920326,False,0
ALOX5,0.590147,False,1
ANK1,0.4663818,False,0
ANKDD1A,0.6112912,False,0
ANKRD44,0.5283538,False,0
ANKS1A,0.5901496,False,0
ANKUB1,0.32952598,False,0
ANOS1,0.6112912,False,0
APAF1,0.4663818,True,0
APOLD1,0.35542613,False,0
ARHGAP26,0.4100481,False,0
ARHGAP29,0.564764,False,0
ARHGEF10L,0.43355393,False,0
ARHGEF28,0.4663818,False,0
ARL15,0.32952598,False,0
ARRDC3,0.6112912,False,0
ASIC2,0.4585056,True,0
ASPH,0.36032155,False,0
ATP1B3,0.47191516,False,0
B4GALT1,0.4663818,False,0
BACH1,0.28632304,True,0
BCL6,0.42690116,False,0
BEST3,0.28632304,False,0
BHLHE41,0.4412411,False,0
BMP2K,0.71736526,True,0
BMPER,0.32952598,False,0
BRINP3,0.30391884,False,0
BTBD11,0.28632304,False,0
BTG1,0.44779783,False,0
C1QTNF7,0.4663818,False,0
C21orf62-AS1,0.28632304,False,0
C4orf19,0.6112912,True,0
C8orf34,0.38292715,False,0
CA10,0.48808518,False,0
CACNA2D3,0.5547181,False,0
CACNB2,0.6112912,False,0
CALCB,0.5609974,False,0
CALD1,0.5056538,False,0
CALN1,0.57944703,False,0
CAMK2G,0.5653453,False,0
CCDC50,0.7173653,False,0
CCDC88C,0.55704904,False,0
CCND3,0.47714117,False,0
CCNG2,0.5854754,False,0
CD55,0.6112912,False,0
CDH10,0.30391884,False,0
CDH12,0.4443774,True,0
CDH20,0.4663818,True,0
CDH23,0.47709763,False,0
CDH4,0.5649039,True,0
CDH7,0.50234973,False,0
CDK19,0.5802575,False,0
CDR2L,0.40543953,False,0
CERCAM,0.47673148,False,0
CFLAR,0.44710562,False,0
CHD7,0.32952598,False,0
CHST11,0.61990106,False,0
CHSY1,0.4412411,False,0
CLCN5,0.57231474,False,0
CLDND1,0.7173654,False,0
CLSTN2,0.4663818,False,1
CLU,0.50234973,True,1
CNN3,0.37373102,True,0
CNP,0.5427189,False,0
CNR1,0.6112912,False,0
CNTN2,0.37373102,False,0
CNTN5,0.57028055,True,0
CNTN6,0.50234973,False,0
COL18A1,0.28632304,False,0
COL27A1,0.5303066,False,0
COLGALT2,0.50865185,False,0
CPE,0.48837173,False,0
CRB1,0.4412411,False,0
CREM,0.28632304,False,0
CTNNA2,0.32952598,False,0
CTTNBP2NL,0.4412411,True,0
CUBN,0.7173654,True,0
DAB1,0.5086518,False,0
DDAH1,0.5388437,True,0
DDX3Y,0.4663818,False,0
DGKG,0.32952598,False,0
DGKH,0.4412411,False,0
DHCR24,0.55704904,False,1
DLC1,0.28632304,False,0
DLEU1,0.46173534,False,0
DLGAP1,0.53022283,False,0
DPYSL5,0.55704904,False,0
DRAIC,0.71736526,False,0
DSCAM,0.53498083,False,0
DTNA,0.4663818,False,0
DUSP16,0.44417658,True,0
EBF1,0.54333544,False,0
EFNA5,0.48879427,False,1
EGFEM1P,0.5854754,False,0
ELAVL2,0.5799777,False,0
ELOVL5,0.6112912,False,0
ELOVL7,0.5609975,False,0
ENOX2,0.6112912,False,0
ENPP2,0.28632304,False,0
ENTPD1-AS1,0.7173654,False,0
EPHA5,0.4270308,True,0
EPHA6,0.4412411,False,0
EPHA7,0.6112912,False,0
EPHB1,0.5454975,False,0
EPN2,0.53022283,True,0
EPS8,0.6112912,False,0
